Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyFilesOperationsPgpImplTest,testCanReadMultipleKeysFrom1File,Magic Number,The method contains a magic number: 2,121
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl,createNewKey,Long Identifier,The length of the field masterKeySignerHashingAlgorithm is 31.,90
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl,createNewKey,Long Statement,The length of the statement "BcPGPContentSignerBuilder keySignerBuilderBc=new BcPGPContentSignerBuilder(algorithmNameToTag(masterKeyPurpose)`hashAlgorithmNameToTag(masterKeySignerHashingAlgorithm));" is 169.,90
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl,createNewKey,Long Statement,The length of the statement "PGPDigestCalculator digestCalc=new BcPGPDigestCalculatorProvider().get(hashAlgorithmNameToTag(secretKeyHashingAlgorithm));" is 122.,90
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl,createNewKey,Long Statement,The length of the statement "BcPBESecretKeyEncryptorBuilder encryptorBuilderBC=new BcPBESecretKeyEncryptorBuilder(symmetricKeyAlgorithmNameToTag(getSecretKeyEncryptionAlgorithmForOptionalPassphrase(emptyPassphraseConsent))`digestCalc);" is 206.,90
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl,createNewKey,Long Statement,The length of the statement "PGPKeyRingGenerator keyPairGeneratorBc=new PGPKeyRingGenerator(PGPSignature.POSITIVE_CERTIFICATION`masterKeyBc`userName`digestCalc`null`null`keySignerBuilderBc`keyEncryptorBc);" is 176.,90
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl,createNewKey,Long Statement,The length of the statement "throw new IllegalArgumentException("Hanlding of parameter creation for " + encryptionKeyAlgorithm + " is not implemented");" is 123.,90
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl,assertParamsValid,Long Statement,The length of the statement "if (StringUtils.hasText(params.getPassphrase()) && ctx.validateNotEmpty(params.getPassphraseAgain()`CreateKeyParams.FN_PASSPHRASE_AGAIN)) {" is 139.,212
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl,assertParamsValid,Long Statement,The length of the statement "ctx.equals(params.getPassphrase()`"term." + CreateKeyParams.FN_PASSPHRASE`params.getPassphraseAgain()`"term." + CreateKeyParams.FN_PASSPHRASE_AGAIN`CreateKeyParams.FN_PASSPHRASE_AGAIN);" is 185.,212
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl,getMasterKeySignerHashingAlgorithm,Long Identifier,The length of the field masterKeySignerHashingAlgorithm is 31.,310
