Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyFilesOperationsPgpImplTest,beforeAll,3,1,0,39,0,,
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyFilesOperationsPgpImplTest,afterAll,3,1,0,44,0,,
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyFilesOperationsPgpImplTest,buildFixture,4,1,0,49,0,,
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyFilesOperationsPgpImplTest,testReadKeyFromFileExpectCanReadPrivateKey,7,1,0,54,1,,
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyFilesOperationsPgpImplTest,testCanExportAndImportSameKeyAsc,10,1,0,63,1,,
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyFilesOperationsPgpImplTest,testCanExportPublicFromPrivateKey,13,1,0,75,1,,
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyFilesOperationsPgpImplTest,testCanExportAndImportSameKeyBpg,10,1,0,100,1,,
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyFilesOperationsPgpImplTest,testReadKeyFromFileExpectCanReadPublicKey,7,1,0,112,1,,
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyFilesOperationsPgpImplTest,testCanReadMultipleKeysFrom1File,5,1,0,121,1,,
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyFilesOperationsPgpImplTest,testWhenReadinPublicAndPrivateWillResultIn1Key,6,1,0,128,1,,
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImplTest,testAlgorithmNameToTag,3,1,0,10,1,,
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImplTest,testAlgorithmNameToTagExpectFail,3,1,0,15,0,,
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl,KeyGeneratorServicePgpImpl,3,1,0,86,0,,
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl,createNewKey,32,3,2,90,0,org.pgptool.gui.encryption.implpgp.KeyGeneratorServicePgpImpl,org.pgptool.gui.encryption.implpgp.KeyGeneratorServicePgpImpl
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl,toCharArray,6,2,1,148,0,,
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl,getSecretKeyEncryptionAlgorithmForOptionalPassphrase,6,2,1,155,0,,
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl,symmetricKeyAlgorithmNameToTag,3,1,1,162,0,org.pgptool.gui.encryption.implpgp.KeyGeneratorServicePgpImpl,org.pgptool.gui.encryption.implpgp.KeyGeneratorServicePgpImpl
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl,hashAlgorithmNameToTag,3,1,1,166,0,org.pgptool.gui.encryption.implpgp.KeyGeneratorServicePgpImpl,org.pgptool.gui.encryption.implpgp.KeyGeneratorServicePgpImpl
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl,algorithmNameToTag,3,1,1,170,0,org.pgptool.gui.encryption.implpgp.KeyGeneratorServicePgpImpl,org.pgptool.gui.encryption.implpgp.KeyGeneratorServicePgpImpl
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl,getStaticFieldValue,11,1,2,174,0,,
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl,buildKey,9,1,1,184,0,,
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl,getOrGenerateKeyPair,7,2,1,195,0,,
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl,assertParamsValid,16,5,2,212,0,,
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl,expectNewKeyCreation,9,2,0,235,0,org.pgptool.gui.encryption.implpgp.KeyGeneratorServicePgpImpl,org.pgptool.gui.encryption.implpgp.KeyGeneratorServicePgpImpl
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl,getEncryptionKeyAlgorithm,3,1,0,247,0,,
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl,setEncryptionKeyAlgorithm,3,1,1,251,0,,
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl,getMasterKeyParameters,6,2,0,256,0,,
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl,getMasterKeyAlgorithm,3,1,0,263,0,,
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl,setMasterKeyAlgorithm,4,1,1,267,0,,
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl,getMasterKeySize,3,1,0,273,0,,
