Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyFilesOperationsPgpImplTest,testReadKeyFromFileExpectCanReadPrivateKey,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyFilesOperationsPgpImplTest,testCanExportAndImportSameKeyAsc,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyFilesOperationsPgpImplTest,testCanExportPublicFromPrivateKey,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyFilesOperationsPgpImplTest,testCanExportAndImportSameKeyBpg,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyFilesOperationsPgpImplTest,testReadKeyFromFileExpectCanReadPublicKey,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyFilesOperationsPgpImplTest,testWhenReadinPublicAndPrivateWillResultIn1Key,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
pgptool-0.5.9.2,org.pgptool.gui.tools,PathUtilsTest,testExtractBasePath,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
pgptool-0.5.9.2,org.pgptool.gui.tools,PathUtilsTest,testExtractBasePath,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
pgptool-0.5.9.2,integr.org.pgptool.gui.encryption,KeyRingServiceTest,testKeyRingServiceExpectCanFindKeyAfterSerialization,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
pgptool-0.5.9.2,integr.org.pgptool.gui.encryption,EncryptionDecryptionTests,testDecryptBinary,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
pgptool-0.5.9.2,integr.org.pgptool.gui.encryption,EncryptionDecryptionTests,testDecryptArmored,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
pgptool-0.5.9.2,integr.org.pgptool.gui.encryption,EncryptionDecryptionTests,testDecryptSigned,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
pgptool-0.5.9.2,integr.org.pgptool.gui.encryption,EncryptionDecryptionTests,testDecryptSignedArmored,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
pgptool-0.5.9.2,integr.org.pgptool.gui.encryption,EncryptionDecryptionTests,testDecryptSigned3,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
