Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl.ProactivelyGenerateMasterKeyPair,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl.KeyPairParams,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,EncryptionServicePgpImpl,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
pgptool-0.5.9.2,org.pgptool.gui.ui.encryptone,EncryptOnePm,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
pgptool-0.5.9.2,org.pgptool.gui.tools,FileUtilsEx.FileCreatorLogic,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
pgptool-0.5.9.2,integr.org.pgptool.gui.encryption,KeyRingServiceTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
pgptool-0.5.9.2,integr.org.pgptool.gui.encryption,EncryptionDecryptionTests,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
pgptool-0.5.9.2,org.jdesktop.swingx.imported,JXLabel.MultiLineSupport,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
pgptool-0.5.9.2,org.pgptool.gui.ui.decrypttext,DecryptTextPm,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
pgptool-0.5.9.2,org.pgptool.gui.ui.importkey,KeyImporterPm,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
pgptool-0.5.9.2,org.pgptool.gui.ui.tools,TextEditUxUtils.Cut,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
pgptool-0.5.9.2,org.pgptool.gui.ui.tools,TextEditUxUtils.Copy,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
pgptool-0.5.9.2,org.pgptool.gui.ui.tools,TextEditUxUtils.Paste,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
pgptool-0.5.9.2,org.pgptool.gui.ui.tools,TextEditUxUtils.SelectAll,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
pgptool-0.5.9.2,org.pgptool.gui.ui.tools,UiUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: log (70)
pgptool-0.5.9.2,org.pgptool.gui.ui.encrypttext,EncryptTextPm,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
pgptool-0.5.9.2,org.pgptool.gui.ui.decryptonedialog,DecryptOneDialogPm,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
pgptool-0.5.9.2,org.pgptool.gui.ui.decryptonedialog,DecryptOneDialogPm.Intent,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
pgptool-0.5.9.2,org.pgptool.gui.ui.decryptone,DecryptOnePm,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17
pgptool-0.5.9.2,org.pgptool.gui.ui.encryptbackmultiple,EncryptBackMultiplePm,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 22
pgptool-0.5.9.2,org.pgptool.gui.ui.encryptbackmultiple,EncryptBackMultiplePm.BatchEncryptionResult,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
pgptool-0.5.9.2,org.pgptool.gui.ui.root,RootPm,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 29
pgptool-0.5.9.2,org.pgptool.gui.ui.getkeypassworddialog,GetKeyPasswordDialogPm.GetKeyPasswordPo,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
pgptool-0.5.9.2,org.pgptool.gui.ui.mainframe,MainFramePm,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
pgptool-0.5.9.2,org.pgptool.gui.ui.mainframe,MainFrameView,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
pgptool-0.5.9.2,org.pgptool.gui.ui.keyslist,KeysListPm,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
pgptool-0.5.9.2,org.pgptool.gui.ui.keyslist,KeysExporterUiImpl,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
pgptool-0.5.9.2,org.pgptool.gui.tempfolderfordecrypted.impl,DecryptedTempFolderImpl,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
pgptool-0.5.9.2,org.pgptool.gui.app,EntryPoint,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: log (59); INSTANCE (60); usageLoggerStatic (61); rootPmStatic (67)
pgptool-0.5.9.2,org.pgptool.gui.app,EntryPoint,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
pgptool-0.5.9.2,org.pgptool.gui.hintsforusage.hints,MightNeedPublicKeysHint,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
pgptool-0.5.9.2,org.pgptool.gui.hintsforusage.hints,CreateOrImportPrivateKeyHint,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
pgptool-0.5.9.2,org.pgptool.gui.hintsforusage.hints,PrivateKeyBackupHint.PrivateKeyBackupReminderData,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
pgptool-0.5.9.2,org.pgptool.gui.hintsforusage.hints,PrivateKeyBackupHint.KeyCreatedEvent,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
pgptool-0.5.9.2,org.pgptool.gui.hintsforusage.hints,PrivateKeyBackupHint.PrivateKeyExportedEvent,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
pgptool-0.5.9.2,org.pgptool.gui.autoupdate.api,NewVersionChecker,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: VERSION_UNRESOLVED (23)
pgptool-0.5.9.2,org.pgptool.gui.usage.api,UsageLoggerDelegator,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: log (24)
