Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,TextEditorActivityEspressoTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: activityRule; context; uri
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,AboutActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DIR_SEPARATOR; TAG_ASYNC_HELPER; dataUtils; path; mReturnIntent; openzip; mRingtonePickerIntent; skinStatusBar; floatingActionButton; mainActivityHelper; operation; oparrayList; oparrayListList; oppathe; oppathe1; oppatheList; urisToBeSaved; PASTEHELPER_BUNDLE; KEY_DRAWER_SELECTED; KEY_OPERATION_PATH; KEY_OPERATED_ON_PATH; KEY_OPERATIONS_PATH_LIST; KEY_OPERATION; appbar; drawer; mainActivity; zippath; openProcesses; materialDialog; backPressedToExitOnce; toast; intent; indicator_layout; appBarLayout; fabBgView; utilsHandler; cloudHandler; cloudLoaderAsyncTask; cloudCursorData; REQUEST_CODE_SAF; KEY_INTENT_PROCESS_VIEWER; TAG_INTENT_FILTER_FAILED_OPS; TAG_INTENT_FILTER_GENERAL; ARGS_KEY_LOADER; KEY_INTENT_LOAD_LIST; KEY_INTENT_LOAD_LIST_FILE; ARGS_INTENT_ACTION_VIEW_MIME_FOLDER; CLOUD_AUTHENTICATOR_GDRIVE; CLOUD_AUTHENTICATOR_REDIRECT_URI; currentTab; shellInteractive; handler; handlerThread; REQUEST_CODE_CLOUD_LIST_KEYS; REQUEST_CODE_CLOUD_LIST_KEY; pasteHelper; DEFAULT_FALLBACK_STORAGE_PATH; INTERNAL_SHARED_STORAGE; mOtgReceiver; receiver2; mainActivity; floatingActionButton
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: CompressedItemViewHolder; RoundedImageView; Utils; HybridFileParcelable; MainActivity; DataUtils; AppConfig; UtilitiesProvider; ColorPreferenceHelper; UtilsHandler; SmbUtil; CryptUtil; HybridFile; OnFileFound; LayoutElementParcelable; Icons; CompressedHelper; Decompressor; ExtractService; MimeTypes; OTGUtil; RootHelper; FileUtils; PermissionsActivity; GeneralDialogCreation; ThemedActivity; ColorPickerDialog; CountItemsOrAndSizeTask; GenerateHashesTask; GenericCopyUtil; CloudUtil; CloudStreamer; CloudStreamServer; Streamer; CloudHandler; CloudSheetFragment; SmbSearchDialog; SubnetScanner; SftpConnectDialog; MainFragment; RecyclerAdapter; ItemViewHolder; ThemedTextView; SpecialViewHolder; AnimUtils; ColorUtils; DividerItemDecoration; FastScroller; LoadFilesListTask; PasteHelper; SearchWorkerFragment; SearchAsyncTask; Tab; MainActivityHelper; TabFragment; Indicator; TabHandler; ZipService; FileUtil; Operations; SshClientUtils; SshConnectionPool; EncryptDecryptUtils; EncryptService; LoadFolderSpaceDataTask; FingerprintHandler; AppsListFragment; AppsAdapter; AppHolder; CopyService; HiddenAdapter; ErrorActivity; AppBar; SearchView; BottomBar; Drawer; Billing; CloudLoaderAsyncTask; CompressedExplorerFragment; CompressedExplorerAdapter; CompressedObjectParcelable; RenameBookmark; SmbConnectDialog; EditTextColorStateUtil; FtpServerFragment; FtpService; FtpNotification
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 61 public methods
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,Hub-like Modularization,The tool detected the smell in this class because this class has high number of incoming as well as outgoing dependencies. Incoming dependecies: MainActivityTest; MainActivity.FabActionListener; PreferencesActivity; RootHelperTest; FileUtil; PasteHelper; FileUtils; EncryptDecryptUtils; CompressedExplorerFragment; AppsListFragment; TabFragment; ProcessViewerFragment; MainFragment; DeleteTask; CloudLoaderAsyncTask; MoveFiles; PrepareCopyTask; CopyService; CopyService.DoInBackground; ZipService; ZipService.CompressAsyncTask; AbstractProgressiveService; ExtractService; ExtractService.DoWork; DecryptService; DecryptService.BackgroundTask; EncryptService; EncryptService.BackgroundTask; Utils; MainActivityHelper; UsbOtgTest; SingletonUsbOtgTest; SshClientUtils; CloudUtil; AppConfigTest; ItemPopupMenu; GeneralDialogCreation; SearchView; AppBar; BottomBar; Drawer. Outgoing dependencies: DataUtils; MainActivityHelper; AppBar; Drawer; UtilsHandler; CloudHandler; CloudLoaderAsyncTask; PasteHelper; HybridFile; CompressedExplorerFragment; TabFragment; MainFragment; RenameBookmark; SmbConnectDialog; SftpConnectDialog; HybridFileParcelable; OpenMode; FtpServerFragment; AppConstants; OTGUtil; PreferencesConstants; CopyService; CloudContract; CloudSheetFragment; AppConfig; FileUtils; TabHandler; Utils; FileUtil; SingletonUsbOtg; StorageNaming; SshConnectionPool; GeneralDialogCreation; ServiceWatcherUtil; RootHelper; PreferenceUtils
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity.FabActionListener,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mainActivity; floatingActionButton
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity.FabActionListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,DatabaseViewerActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: path; listView; arrayList; arrayAdapter; c; pathFile; delete; toolbar; sqLiteDatabase
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,PreferencesActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: START_PREFERENCE; COLORS_PREFERENCE; FOLDERS_PREFERENCE; QUICKACCESS_PREFERENCE; ADVANCEDSEARCH_PREFERENCE; restartActivity; selectedItem; currentFragment; KEY_CURRENT_FRAG_OPEN; NUMBER_OF_PREFERENCES; fragmentsListViewParcelables
