Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,TextEditorActivityEspressoTest,testOpenFile,Long Statement,The length of the statement "Intent intent=new Intent(context`TextEditorActivity.class).setAction(Intent.ACTION_VIEW).addCategory(Intent.CATEGORY_DEFAULT).setType("text/plain").setData(uri);" is 161.,62
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivityTest,tearDown,Long Statement,The length of the statement "if (Build.VERSION.SDK_INT >= N) shadowOf(ApplicationProvider.getApplicationContext().getSystemService(StorageManager.class)).resetStorageVolumeList();" is 150.,92
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivityTest,testUpdateSmbExceptionShouldNotThrowNPE,Long Statement,The length of the statement "activity.addConnection(false`oldName`path`SmbUtil.getSmbEncryptedPath(ApplicationProvider.getApplicationContext()`path)`null`null);" is 131.,99
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivityTest,testUpdateSmbExceptionShouldNotThrowNPE,Long Statement,The length of the statement "activity.addConnection(true`newName`path`SmbUtil.getSmbEncryptedPath(ApplicationProvider.getApplicationContext()`path)`oldName`path);" is 133.,99
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivityTest,testUpdateSmbExceptionShouldNotThrowNPE,Long Statement,The length of the statement "await().atMost(5`TimeUnit.SECONDS).until(() -> AppConfig.getInstance().getUtilsHandler().getSmbList().get(0)[0].equals(newName));" is 129.,99
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivityTest,testUpdateSmbExceptionShouldNotThrowNPE,Magic Number,The method contains a magic number: 5,99
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivityTest,testUpdateSmbExceptionShouldNotThrowNPE,Magic Number,The method contains a magic number: 5,99
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,TextEditorActivityTest,generateActivity,Long Statement,The length of the statement "ActivityController<TextEditorActivity> controller=Robolectric.buildActivity(TextEditorActivity.class`intent).create().start().visible();" is 136.,101
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,PreferencesActivityTest,testGetBooleanWithSavedValue,Long Statement,The length of the statement "SharedPreferences preferences=PreferenceManager.getDefaultSharedPreferences(ApplicationProvider.getApplicationContext());" is 121.,121
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,AboutActivity,onClick,Complex Method,Cyclomatic complexity of the method is 19,184
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,AboutActivity,onClick,Long Statement,The length of the statement "LibsBuilder libsBuilder=new LibsBuilder().withLibraries("commonscompress"`"apachemina"`"volley").withActivityTitle(getString(R.string.libraries)).withAboutIconShown(true).withAboutVersionShownName(true).withAboutVersionShownCode(false).withAboutDescription(getString(R.string.about_amaze)).withAboutSpecial1(getString(R.string.license)).withAboutSpecial1Description(getString(R.string.amaze_license)).withLicenseShown(true);" is 424.,184
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,AboutActivity,onClick,Magic Number,The method contains a magic number: 5,184
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,invalidateFragmentAndBundle,Magic Number,The method contains a magic number: 2,352
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,checkForExternalPermission,Complex Method,Cyclomatic complexity of the method is 9,402
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,checkForExternalPermission,Magic Number,The method contains a magic number: 2,402
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,checkForExternalIntent,Complex Method,Cyclomatic complexity of the method is 10,442
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,checkForExternalIntent,Long Identifier,The length of the field ARGS_INTENT_ACTION_VIEW_MIME_FOLDER is 35.,442
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,initFabToSave,Long Statement,The length of the statement "Utils.showThemedSnackbar(this`getString(R.string.select_save_location)`BaseTransientBottomBar.LENGTH_INDEFINITE`R.string.save`() -> saveExternalIntent(uris));" is 158.,513
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,saveExternalIntent,Long Statement,The length of the statement "Toast.makeText(MainActivity.this`getResources().getString(R.string.saving) + " to " + getCurrentMainFragment().getCurrentPath()`Toast.LENGTH_LONG).show();" is 154.,523
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,saveExternalIntentExtras,Long Statement,The length of the statement "AppConfig.getInstance().runInBackground(() -> FileUtil.mktextfile(data.toString()`getCurrentMainFragment().getCurrentPath()`fileName));" is 135.,561
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,getStorageDirectories,Long Statement,The length of the statement "volumes.add(new StorageDirectoryParcelable("/"`getResources().getString(R.string.root_directory)`R.drawable.ic_drawer_root_white));" is 131.,601
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,getStorageDirectoriesNew,Long Statement,The length of the statement "if (!volume.getState().equalsIgnoreCase(Environment.MEDIA_MOUNTED) && !volume.getState().equalsIgnoreCase(Environment.MEDIA_MOUNTED_READ_ONLY)) {" is 145.,619
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,getStorageDirectoriesLegacy,Complex Conditional,The conditional expression "/storage/emulated/legacy".equals(file) || "/storage/emulated/0".equals(file) || "/mnt/sdcard".equals(file) is complex.,654
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,getStorageDirectoriesLegacy,Complex Method,Cyclomatic complexity of the method is 18,654
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,getStorageDirectoriesLegacy,Empty catch clause,The method has an empty catch block.,654
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,onBackPressed,Complex Method,Cyclomatic complexity of the method is 12,758
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,exit,Magic Number,The method contains a magic number: 2000,819
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,onPrepareOptionsMenu,Complex Conditional,The conditional expression fragment instanceof AppsListFragment || fragment instanceof ProcessViewerFragment || fragment instanceof FtpServerFragment is complex.,889
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,onPrepareOptionsMenu,Complex Method,Cyclomatic complexity of the method is 10,889
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,onPrepareOptionsMenu,Empty catch clause,The method has an empty catch block.,889
