Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,TextEditorActivityEspressoTest,setUp,5,1,0,54,0,,
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,TextEditorActivityEspressoTest,testOpenFile,11,2,0,62,1,,
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivityTest,setUp,7,2,0,83,0,,
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivityTest,tearDown,3,2,0,92,0,,
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivityTest,testUpdateSmbExceptionShouldNotThrowNPE,29,1,0,99,1,,
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,TextEditorActivityTest,tearDown,3,1,0,66,0,,
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,TextEditorActivityTest,testOpenFileUri,7,1,0,71,1,,
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,TextEditorActivityTest,testOpenContentUri,12,1,0,82,1,,
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,TextEditorActivityTest,generateActivity,6,1,1,101,0,,
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,TextEditorActivityTest,simulateFile,12,2,0,110,0,,
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,PreferencesActivityTest,setUp,4,1,0,96,0,,
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,PreferencesActivityTest,tearDown,3,1,0,102,0,,
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,PreferencesActivityTest,testGetBooleanWithNoSavedValue,12,3,0,107,1,,
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,PreferencesActivityTest,testGetBooleanWithSavedValue,15,3,0,121,1,,
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,AboutActivity,onCreate,41,4,1,85,0,com.amaze.filemanager.ui.activities.AboutActivity,com.amaze.filemanager.ui.activities.AboutActivity
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,AboutActivity,calculateHeaderViewParams,12,1,0,142,0,,
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,AboutActivity,onOptionsItemSelected,8,2,1,165,0,,
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,AboutActivity,switchIcons,6,2,0,175,0,,
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,AboutActivity,onClick,69,19,1,184,0,,
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,AboutActivity,onDestroy,7,2,0,283,0,,
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,onCreate,57,5,1,269,0,com.amaze.filemanager.ui.activities.MainActivity,com.amaze.filemanager.ui.activities.MainActivity
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,onSubscribe,2,1,1,335,0,,
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,onComplete,4,1,0,338,0,com.amaze.filemanager.ui.activities.MainActivity,com.amaze.filemanager.ui.activities.MainActivity
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,onError,3,1,1,344,0,,
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,invalidateFragmentAndBundle,41,6,1,352,0,com.amaze.filemanager.ui.activities.MainActivity,com.amaze.filemanager.ui.activities.MainActivity
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,checkForExternalPermission,32,9,0,402,0,,
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,checkForExternalIntent,49,10,1,442,0,com.amaze.filemanager.ui.activities.MainActivity,com.amaze.filemanager.ui.activities.MainActivity
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,initFabToSave,3,1,1,513,0,,
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,saveExternalIntent,25,4,1,523,0,com.amaze.filemanager.ui.activities.MainActivity,com.amaze.filemanager.ui.activities.MainActivity
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,saveExternalIntentExtras,12,3,0,561,0,,
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,clearFabActionItems,5,1,0,578,0,,
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,initializeInteractiveShell,8,2,0,584,0,,
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,getStorageDirectories,13,3,0,601,0,com.amaze.filemanager.ui.activities.MainActivity,com.amaze.filemanager.ui.activities.MainActivity
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,getStorageDirectoriesNew,28,6,0,619,0,,
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,getStorageDirectoriesLegacy,83,18,0,654,0,com.amaze.filemanager.ui.activities.MainActivity,com.amaze.filemanager.ui.activities.MainActivity
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,onBackPressed,58,12,0,758,0,com.amaze.filemanager.ui.activities.MainActivity,com.amaze.filemanager.ui.activities.MainActivity
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,invalidatePasteSnackbar,5,2,1,813,0,,
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,exit,16,3,0,819,0,com.amaze.filemanager.ui.activities.MainActivity,com.amaze.filemanager.ui.activities.MainActivity
