Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,TextEditorActivityEspressoTest,testOpenFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivityTest,testUpdateSmbExceptionShouldNotThrowNPE,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivityTest,testUpdateSmbExceptionShouldNotThrowNPE,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,PreferencesActivityTest,testGetBooleanWithNoSavedValue,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,PreferencesActivityTest,testGetBooleanWithSavedValue,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
AmazeFileManager-3.5.2,com.amaze.filemanager.database,UtilsHandlerTest,testEncodeEncryptUri1,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
AmazeFileManager-3.5.2,com.amaze.filemanager.database,UtilsHandlerTest,testEncodeEncryptUri2,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
AmazeFileManager-3.5.2,com.amaze.filemanager.database,UtilsHandlerTest,testEncodeEncryptUri3,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
AmazeFileManager-3.5.2,com.amaze.filemanager.database,UtilsHandlerTest,testEncodeEncryptUri4,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
AmazeFileManager-3.5.2,com.amaze.filemanager.asynchronous.asynctasks.ssh,PemToKeyPairTaskTest2,testUnencryptedKeyToKeyPair,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
AmazeFileManager-3.5.2,com.amaze.filemanager.asynchronous.asynctasks.ssh,PemToKeyPairTaskTest2,testEncryptedKeyToKeyPair,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
AmazeFileManager-3.5.2,com.amaze.filemanager.asynchronous.asynctasks.ssh,PemToKeyPairTaskTest,testUnencryptedKeyToKeyPair,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
AmazeFileManager-3.5.2,com.amaze.filemanager.asynchronous.asynctasks.ssh,PemToKeyPairTaskTest,testEncryptedKeyToKeyPair,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
AmazeFileManager-3.5.2,com.amaze.filemanager.asynchronous.services.ftp,FtpServiceStaticMethodsTest,testGetLocalInetAddressMustNotBeEmpty,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
AmazeFileManager-3.5.2,com.amaze.filemanager.asynchronous.services.ftp,FtpServiceStaticMethodsTest,testGetLocalInetAddressMustNotBeEmpty,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
AmazeFileManager-3.5.2,com.amaze.filemanager.asynchronous.services.ftp,FtpServiceStaticMethodsTest,testGetLocalInetAddressMustBeAPAddress,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
AmazeFileManager-3.5.2,com.amaze.filemanager.asynchronous.services.ftp,FtpServiceStaticMethodsTest,testGetLocalInetAddressMustBeAPAddress,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
AmazeFileManager-3.5.2,com.amaze.filemanager.filesystem,HybridFileParcelableTest,getName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
AmazeFileManager-3.5.2,com.amaze.filemanager.filesystem,HybridFileParcelableTest,setName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
