Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: currentTab (254); shellInteractive (256); handler (257)
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 36
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,TextEditorActivity,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
AmazeFileManager-3.5.2,com.amaze.filemanager.database,SortHandler,Law of Demeter violation,The tool detected the smell in this method (getSortType) because the method voilates the law of Demeter. The long chain of method invocations is : com.amaze.filemanager.database.SortHandler.getInstance; com.amaze.filemanager.database.SortHandler.findEntry
AmazeFileManager-3.5.2,com.amaze.filemanager.filesystem,Operations,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
AmazeFileManager-3.5.2,com.amaze.filemanager.filesystem,FileUtil,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
AmazeFileManager-3.5.2,com.amaze.filemanager.filesystem,HybridFile,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
AmazeFileManager-3.5.2,com.amaze.filemanager.filesystem.files,GenericCopyUtil,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
AmazeFileManager-3.5.2,com.amaze.filemanager.filesystem.files,FileUtils,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 20
AmazeFileManager-3.5.2,com.amaze.filemanager.filesystem.files,EncryptDecryptUtils,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.fragments,CompressedExplorerFragment,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.fragments,AppsListFragment,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.fragments,TabFragment,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.fragments,ProcessViewerFragment,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.fragments,MainFragment,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 31
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.views,WarnableTextInputValidator.ReturnState,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
AmazeFileManager-3.5.2,com.amaze.filemanager.asynchronous.asynctasks,WriteFileAbstractionTest.BlockAllOutputStreamsFileUtil,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
AmazeFileManager-3.5.2,com.amaze.filemanager.asynchronous.asynctasks,WriteFileAbstractionTest.BypassMountPartitionRootUtils,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
AmazeFileManager-3.5.2,com.amaze.filemanager.asynchronous.asynctasks,WriteFileAbstractionTest.ShellNotRunningRootUtils,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
AmazeFileManager-3.5.2,com.amaze.filemanager.asynchronous.asynctasks,LoadFilesListTask,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
AmazeFileManager-3.5.2,com.amaze.filemanager.asynchronous.asynctasks,DeleteTask,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
AmazeFileManager-3.5.2,com.amaze.filemanager.asynchronous.asynctasks,MoveFiles,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
AmazeFileManager-3.5.2,com.amaze.filemanager.asynchronous.asynctasks,PrepareCopyTask,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
AmazeFileManager-3.5.2,com.amaze.filemanager.asynchronous.asynctasks,ReadFileTask.ReturnedValues,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
AmazeFileManager-3.5.2,com.amaze.filemanager.utils,MainActivityHelper,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SEARCH_TEXT (83)
AmazeFileManager-3.5.2,com.amaze.filemanager.utils,MainActivityHelper,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 21
