Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,TextEditorActivityEspressoTest,3,1,2,2,21,3,0,0,0.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/androidTest/java/com/amaze/filemanager/ui/activities/TextEditorActivityEspressoTest.java,42
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivityTest,0,0,3,3,41,5,0,0,-1.0,0,4,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/test/java/com/amaze/filemanager/ui/activities/MainActivityTest.java,66
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,TextEditorActivityTest,2,0,5,3,44,6,0,0,0.4,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/test/java/com/amaze/filemanager/ui/activities/TextEditorActivityTest.java,57
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,PreferencesActivityTest,3,0,4,4,39,8,0,0,0.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/test/java/com/amaze/filemanager/ui/activities/PreferencesActivityTest.java,63
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,AboutActivity,23,0,6,2,177,30,0,0,0.3333333333333333,0,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/ui/activities/AboutActivity.java,52
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity,62,30,81,61,0,287,0,0,0.1111111111111111,41,36,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/ui/activities/MainActivity.java,153
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,MainActivity.FabActionListener,2,0,0,0,26,0,0,0,-1.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/ui/activities/MainActivity.java,2021
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,DatabaseViewerActivity,9,2,7,4,98,14,0,0,0.0,2,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/ui/activities/DatabaseViewerActivity.java,45
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,PreferencesActivity,11,5,16,14,205,40,0,0,0.375,4,6,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/ui/activities/PreferencesActivity.java,65
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,TextEditorActivity,24,7,20,12,0,68,0,0,0.1,2,10,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/ui/activities/TextEditorActivity.java,76
AmazeFileManager-3.5.2,com.amaze.filemanager.database,UtilsHandlerTest,2,0,7,6,38,8,0,0,0.0,0,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/androidTest/java/com/amaze/filemanager/database/UtilsHandlerTest.java,43
AmazeFileManager-3.5.2,com.amaze.filemanager.database,SortHandler,2,0,7,6,47,9,0,0,0.0,4,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/database/SortHandler.java,41
AmazeFileManager-3.5.2,com.amaze.filemanager.database,SortHandler.SortHandlerHolder,1,0,0,0,3,0,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/database/SortHandler.java,50
AmazeFileManager-3.5.2,com.amaze.filemanager.database,CloudHandler,10,8,6,6,44,10,0,0,0.0,9,4,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/database/CloudHandler.java,37
