Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
AntennaPod-2.1.1,de.danoeh.antennapod.core.syndication.namespace.atom,AtomTextTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: input; expectedOutput
AntennaPod-2.1.1,de.danoeh.antennapod.core.syndication.namespace.atom,AtomText,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TYPE_TEXT; TYPE_HTML; TYPE_XHTML; type; content
AntennaPod-2.1.1,de.danoeh.antennapod.core.syndication.namespace.atom,AtomText,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: DownloaderUpdate; Feed; FeedPreferences; FeedFilter; FeedItem; FeedMedia; Playable; PlaybackPreferences; ExternalMedia; ChapterUtils; ChapterReader; EmbeddedChapterImage; VorbisCommentChapterReader; Chapter; PodDBAdapter; DownloadStatus; UserPreferences; SubscriptionsFilter; AutoUpdateManager; FeedUpdateWorker; ClientConfig; NetworkUtils; AntennapodHttpClient; DBWriter; DownloadRequester; DownloadService; DownloadServiceNotification; Downloader; DownloaderFactory; FeedSyncTask; FeedParserTask; FeedHandler; FeedHandlerResult; TypeGetter; UnsupportedFeedtypeException; SyndHandler; HandlerState; SyndElement; Namespace; NSAtom; AtomText; NSRSS20; NSITunes; NSContent; NSSimpleChapters; NSMedia; NSDublinCore; DBTasks; DBReader; SyncService; GpodnetService; GpodnetPreferences; LocalFeedUpdater; FeedItemEvent; MediaDownloadedHandler; DownloadEvent; ItemEnqueuePositionCalculator; PlaybackService; PlaybackServiceMediaPlayer; PlaybackServiceTaskManager; ShakeListener; QueueEvent; PlaybackServiceFlavorHelper; PlaybackServiceStateManager; PlaybackServiceNotificationBuilder; TimeSpeedConverter; MediaButtonReceiver; ImageResourceUtils; PlaybackVolumeUpdater; PlayerWidgetJobService; PlayerWidget; PlaybackSpeedUtils; FeedSearcher; FeedItemPermutors; FavoritesEvent; ChapterMerger; FeedItemFilter
AntennaPod-2.1.1,de.danoeh.antennapod.core.syndication.namespace.atom,NSAtom,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TAG; NSTAG; NSURI; FEED; ID; TITLE; ENTRY; LINK; UPDATED; AUTHOR; AUTHOR_NAME; CONTENT; SUMMARY; IMAGE_LOGO; IMAGE_ICON; SUBTITLE; PUBLISHED; TEXT_TYPE; LINK_HREF; LINK_REL; LINK_TYPE; LINK_TITLE; LINK_LENGTH; LINK_REL_ALTERNATE; LINK_REL_ARCHIVES; LINK_REL_ENCLOSURE; LINK_REL_PAYMENT; LINK_REL_NEXT; LINK_TYPE_ATOM; LINK_TYPE_HTML; LINK_TYPE_XHTML; LINK_TYPE_RSS; isText; isFeed; isFeedItem
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,CollectionTestUtil,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,DownloadError,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: code; resId
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,InvalidFeedException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,NetworkUtils,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: DownloaderUpdate; Feed; FeedPreferences; FeedFilter; FeedItem; FeedMedia; Playable; PlaybackPreferences; ExternalMedia; ChapterUtils; ChapterReader; EmbeddedChapterImage; VorbisCommentChapterReader; Chapter; PodDBAdapter; DownloadStatus; UserPreferences; SubscriptionsFilter; AutoUpdateManager; FeedUpdateWorker; ClientConfig; NetworkUtils; AntennapodHttpClient; DBWriter; DownloadRequester; DownloadService; DownloadServiceNotification; Downloader; DownloaderFactory; FeedSyncTask; FeedParserTask; FeedHandler; FeedHandlerResult; TypeGetter; UnsupportedFeedtypeException; SyndHandler; HandlerState; SyndElement; Namespace; NSAtom; AtomText; NSRSS20; NSITunes; NSContent; NSSimpleChapters; NSMedia; NSDublinCore; DBTasks; DBReader; SyncService; GpodnetService; GpodnetPreferences; LocalFeedUpdater; FeedItemEvent; MediaDownloadedHandler; DownloadEvent; ItemEnqueuePositionCalculator; PlaybackService; PlaybackServiceMediaPlayer; PlaybackServiceTaskManager; ShakeListener; QueueEvent; PlaybackServiceFlavorHelper; PlaybackServiceStateManager; PlaybackServiceNotificationBuilder; TimeSpeedConverter; MediaButtonReceiver; ImageResourceUtils; PlaybackVolumeUpdater; PlayerWidgetJobService; PlayerWidget; PlaybackSpeedUtils; FeedSearcher; FeedItemPermutors; FavoritesEvent; ChapterMerger; FeedItemFilter
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,LangUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: UTF_8; languages
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,RewindAfterPauseUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ELAPSED_TIME_FOR_SHORT_REWIND; ELAPSED_TIME_FOR_MEDIUM_REWIND; ELAPSED_TIME_FOR_LONG_REWIND; SHORT_REWIND; MEDIUM_REWIND; LONG_REWIND
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,SortOrder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: code; scope
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,SortOrder,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: code; scope
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,SortOrder.Scope,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,SortOrder.Scope,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,FileNameGenerator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MAX_FILENAME_LENGTH; MD5_HEX_LENGTH; validChars
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,Flavors,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: FLAVOR
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,Flavors,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: FLAVOR
AntennaPod-2.1.1,de.danoeh.antennapod.core.service.download,DefaultDownloaderFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
AntennaPod-2.1.1,de.danoeh.antennapod.core.service.download,ProxyConfig,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: type; host; port; username; password; DEFAULT_PORT
AntennaPod-2.1.1,de.danoeh.antennapod.core.service.download,DownloadRequest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: destination; source; title; username; password; lastModified; deleteOnFailure; feedfileId; feedfileType; arguments; progressPercent; soFar; size; statusMsg; mediaEnqueued; initiatedByUser; CREATOR; destination; source; title; username; password; lastModified; deleteOnFailure; feedfileId; feedfileType; arguments; initiatedByUser
AntennaPod-2.1.1,de.danoeh.antennapod.core.service.download,DownloadRequest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 30 public methods
AntennaPod-2.1.1,de.danoeh.antennapod.core.service.download,DownloadRequest.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
AntennaPod-2.1.1,de.danoeh.antennapod.core.service.download,DownloadRequest.Builder,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: destination; source; title; username; password; lastModified; deleteOnFailure; feedfileId; feedfileType; arguments; initiatedByUser
AntennaPod-2.1.1,de.danoeh.antennapod.core.service.download,DownloadServiceNotification,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: DownloaderUpdate; Feed; FeedPreferences; FeedFilter; FeedItem; FeedMedia; Playable; PlaybackPreferences; ExternalMedia; ChapterUtils; ChapterReader; EmbeddedChapterImage; VorbisCommentChapterReader; Chapter; PodDBAdapter; DownloadStatus; UserPreferences; SubscriptionsFilter; AutoUpdateManager; FeedUpdateWorker; ClientConfig; NetworkUtils; AntennapodHttpClient; DBWriter; DownloadRequester; DownloadService; DownloadServiceNotification; Downloader; DownloaderFactory; FeedSyncTask; FeedParserTask; FeedHandler; FeedHandlerResult; TypeGetter; UnsupportedFeedtypeException; SyndHandler; HandlerState; SyndElement; Namespace; NSAtom; AtomText; NSRSS20; NSITunes; NSContent; NSSimpleChapters; NSMedia; NSDublinCore; DBTasks; DBReader; SyncService; GpodnetService; GpodnetPreferences; LocalFeedUpdater; FeedItemEvent; MediaDownloadedHandler; DownloadEvent; ItemEnqueuePositionCalculator; PlaybackService; PlaybackServiceMediaPlayer; PlaybackServiceTaskManager; ShakeListener; QueueEvent; PlaybackServiceFlavorHelper; PlaybackServiceStateManager; PlaybackServiceNotificationBuilder; TimeSpeedConverter; MediaButtonReceiver; ImageResourceUtils; PlaybackVolumeUpdater; PlayerWidgetJobService; PlayerWidget; PlaybackSpeedUtils; FeedSearcher; FeedItemPermutors; FavoritesEvent; ChapterMerger; FeedItemFilter
