Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
AntennaPod-2.1.1,de.danoeh.antennapod.core.syndication.namespace.atom,AtomTextTest,initParameters,3,1,0,28,0,,
AntennaPod-2.1.1,de.danoeh.antennapod.core.syndication.namespace.atom,AtomTextTest,testProcessingHtml,5,1,0,43,1,,
AntennaPod-2.1.1,de.danoeh.antennapod.core.syndication.namespace.atom,AtomText,AtomText,4,1,3,17,0,,
AntennaPod-2.1.1,de.danoeh.antennapod.core.syndication.namespace.atom,AtomText,getProcessedContent,14,4,0,22,0,,
AntennaPod-2.1.1,de.danoeh.antennapod.core.syndication.namespace.atom,AtomText,setContent,3,1,1,35,0,,
AntennaPod-2.1.1,de.danoeh.antennapod.core.syndication.namespace.atom,NSAtom,handleElementStart,79,22,3,68,0,,
AntennaPod-2.1.1,de.danoeh.antennapod.core.syndication.namespace.atom,NSAtom,handleElementEnd,78,22,2,150,0,,
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,DateUtilsTest,testParseDateWithMicroseconds,7,1,0,23,1,,
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,DateUtilsTest,testParseDateWithCentiseconds,7,1,0,32,1,,
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,DateUtilsTest,testParseDateWithDeciseconds,8,1,0,41,1,,
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,DateUtilsTest,testParseDateWithMicrosecondsAndTimezone,7,1,0,51,1,,
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,DateUtilsTest,testParseDateWithCentisecondsAndTimezone,7,1,0,60,1,,
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,DateUtilsTest,testParseDateWithDecisecondsAndTimezone,8,1,0,69,1,,
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,DateUtilsTest,testParseDateWithTimezoneName,7,1,0,79,1,,
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,DateUtilsTest,testParseDateWithTimezoneName2,7,1,0,88,1,,
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,DateUtilsTest,testParseDateWithTimeZoneOffset,7,1,0,97,1,,
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,DateUtilsTest,testAsctime,7,1,0,106,1,,
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,DateUtilsTest,testMultipleConsecutiveSpaces,7,1,0,115,1,,
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,DateUtilsTest,testParseDateWithNoTimezonePadding,7,1,0,124,1,,
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,DateUtilsTest,testParseDateWithForCest,12,1,0,139,1,,
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,DateUtilsTest,testParseDateWithIncorrectWeekday,7,1,0,160,1,,
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,DateUtilsTest,testParseDateWithBadAbbreviation,7,1,0,169,1,,
