Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
AntennaPod-2.1.1,de.danoeh.antennapod.core.syndication.namespace.atom,NSAtom,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
AntennaPod-2.1.1,de.danoeh.antennapod.core.service.download,DownloadRequest.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
AntennaPod-2.1.1,de.danoeh.antennapod.core.service.download,DownloadService,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: isRunning (111)
AntennaPod-2.1.1,de.danoeh.antennapod.core.service.download,DownloadService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 22
AntennaPod-2.1.1,de.danoeh.antennapod.core.service.download,HttpDownloader,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
AntennaPod-2.1.1,de.danoeh.antennapod.core.storage,ItemEnqueuePositionCalculatorTest.BasicTest,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
AntennaPod-2.1.1,de.danoeh.antennapod.core.storage,ItemEnqueuePositionCalculatorTest.AfterCurrentlyPlayingTest,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
AntennaPod-2.1.1,de.danoeh.antennapod.core.storage,ItemEnqueuePositionCalculatorTest.ItemEnqueuePositionCalculatorPreserveDownloadOrderTest,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
AntennaPod-2.1.1,de.danoeh.antennapod.core.storage,DBTasks,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18
AntennaPod-2.1.1,de.danoeh.antennapod.core.storage,DBReader,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
AntennaPod-2.1.1,de.danoeh.antennapod.core.storage,DBReader.NavDrawerData,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
AntennaPod-2.1.1,de.danoeh.antennapod.core.storage,DBWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 30
AntennaPod-2.1.1,de.danoeh.antennapod.core.storage,DownloadRequester,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
AntennaPod-2.1.1,de.danoeh.antennapod.core.storage,APDownloadAlgorithm,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
AntennaPod-2.1.1,de.danoeh.antennapod.core.storage,PodDBAdapter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
AntennaPod-2.1.1,de.danoeh.antennapod.core.storage,PodDBAdapter.PodDbErrorHandler,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
AntennaPod-2.1.1,de.danoeh.antennapod.core.feed,LocalFeedUpdaterTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
AntennaPod-2.1.1,de.danoeh.antennapod.core.feed,Feed,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
AntennaPod-2.1.1,de.danoeh.antennapod.core.feed,SubscriptionsFilterGroup.ItemProperties,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
AntennaPod-2.1.1,de.danoeh.antennapod.core.feed,FeedItemFilterGroup.ItemProperties,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
AntennaPod-2.1.1,de.danoeh.antennapod.core.feed,FeedMedia,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
AntennaPod-2.1.1,de.danoeh.antennapod.core.feed,LocalFeedUpdater,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
AntennaPod-2.1.1,de.danoeh.antennapod.core.service.playback,PlaybackVolumeUpdaterTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
AntennaPod-2.1.1,de.danoeh.antennapod.core.service.playback,RemotePSMP,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
AntennaPod-2.1.1,de.danoeh.antennapod.core.service.playback,PlaybackServiceFlavorHelper,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
AntennaPod-2.1.1,de.danoeh.antennapod.core.service.playback,PlaybackServiceMediaPlayer.PSMPInfo,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
