Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
AntennaPod-2.1.1,de.danoeh.antennapod.core.syndication.namespace.atom,AtomTextTest,2,2,2,2,15,2,0,0,1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/AntennaPod-2.1.1/core/src/androidTest/java/de/danoeh/antennapod/core/syndication/namespace/atom/AtomTextTest.java,15
AntennaPod-2.1.1,de.danoeh.antennapod.core.syndication.namespace.atom,AtomText,5,2,3,3,34,6,0,0,0.0,2,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/AntennaPod-2.1.1/core/src/main/java/de/danoeh/antennapod/core/syndication/namespace/atom/AtomText.java,8
AntennaPod-2.1.1,de.danoeh.antennapod.core.syndication.namespace.atom,NSAtom,35,2,2,2,197,44,0,0,0.0,1,11,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/AntennaPod-2.1.1/core/src/main/java/de/danoeh/antennapod/core/syndication/namespace/atom/NSAtom.java,19
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,DateUtilsTest,0,0,16,16,131,16,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/AntennaPod-2.1.1/core/src/androidTest/java/de/danoeh/antennapod/core/util/DateUtilsTest.java,13
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,URIUtilTest,0,0,2,2,14,2,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/AntennaPod-2.1.1/core/src/test/java/de/danoeh/antennapod/core/util/URIUtilTest.java,7
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,FeedItemUtilTest,6,0,4,3,30,4,0,0,0.5,0,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/AntennaPod-2.1.1/core/src/test/java/de/danoeh/antennapod/core/util/FeedItemUtilTest.java,17
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,CollectionTestUtil,0,0,4,4,20,4,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/AntennaPod-2.1.1/core/src/test/java/de/danoeh/antennapod/core/util/CollectionTestUtil.java,7
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,LongLongMapTest,0,0,4,4,50,6,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/AntennaPod-2.1.1/core/src/test/java/de/danoeh/antennapod/core/util/LongLongMapTest.java,9
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,ConverterTest,0,0,4,4,25,4,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/AntennaPod-2.1.1/core/src/test/java/de/danoeh/antennapod/core/util/ConverterTest.java,7
AntennaPod-2.1.1,de.danoeh.antennapod.core.util,RewindAfterPauseUtilTest,0,0,5,5,35,5,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/AntennaPod-2.1.1/core/src/test/java/de/danoeh/antennapod/core/util/RewindAfterPauseUtilTest.java,7
