Project Name,Package Name,Architecture Smell,Cause of the Smell
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 38
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): it.feio.android.omninotes; it.feio.android.omninotes.helpers; it.feio.android.omninotes.utils.date; it.feio.android.omninotes.helpers.date; it.feio.android.omninotes.db
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Constants; ReminderHelper; ParcelableUtil; PasswordHelper; ConstantsBase; Security; GeocodeHelper; ShortcutHelper; TextHelper; StorageHelper; Navigation; KeyboardUtils; Constants; ParcelableUtilTest; GeocodeHelperTest; ConnectionManager; ReminderHelperTest; SecurityTest; BitmapHelperTest; BitmapHelper; Constants; Constants; SystemHelper; FileHelper]; [TagsHelperTest; TagsHelper]; [Fonts]; [FileProviderHelper]; [LoadingDialog]; [AlphaManager]; [AssetUtils]; [ResourcesUtils]; [ResourcesUtils.ResourceIdentifiers]; [MiscUtils]; [Display]; [ColorsUtil]; [AnimationsHelper]; [IntentChecker]. LCC (Lack of Component Cohesion) = 0.37
Omni-Notes-6.0.5,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 8.88. All the dependencies among components: from: it.feio.android.omninotes.utils to: it.feio.android.omninotes.models; from: it.feio.android.omninotes.utils to: it.feio.android.omninotes; from: it.feio.android.omninotes.utils to: it.feio.android.omninotes.helpers; from: it.feio.android.omninotes.utils to: it.feio.android.omninotes.utils.date; from: it.feio.android.omninotes.utils to: it.feio.android.omninotes.helpers.date; from: it.feio.android.omninotes.utils to: it.feio.android.omninotes.factory; from: it.feio.android.omninotes.utils to: it.feio.android.omninotes.db; from: it.feio.android.omninotes.utils to: it.feio.android.omninotes.models.listeners; from: it.feio.android.omninotes.helpers to: it.feio.android.omninotes.models; from: it.feio.android.omninotes.helpers to: it.feio.android.omninotes.utils; from: it.feio.android.omninotes.helpers to: it.feio.android.omninotes.utils.notifications; from: it.feio.android.omninotes.helpers to: it.feio.android.omninotes.db; from: it.feio.android.omninotes.helpers to: it.feio.android.omninotes; from: it.feio.android.omninotes.helpers to: it.feio.android.omninotes.async; from: it.feio.android.omninotes.helpers to: it.feio.android.omninotes.models.listeners; from: it.feio.android.omninotes.helpers to: it.feio.android.omninotes.helpers.count; from: it.feio.android.omninotes to: it.feio.android.omninotes.async.bus; from: it.feio.android.omninotes to: it.feio.android.omninotes.utils; from: it.feio.android.omninotes to: it.feio.android.omninotes.models; from: it.feio.android.omninotes to: it.feio.android.omninotes.helpers; from: it.feio.android.omninotes to: it.feio.android.omninotes.db; from: it.feio.android.omninotes to: it.feio.android.omninotes.async; from: it.feio.android.omninotes to: it.feio.android.omninotes.models.views; from: it.feio.android.omninotes to: it.feio.android.omninotes.models.listeners; from: it.feio.android.omninotes to: it.feio.android.omninotes.intro; from: it.feio.android.omninotes to: it.feio.android.omninotes.utils.date; from: it.feio.android.omninotes to: it.feio.android.omninotes.helpers.date; from: it.feio.android.omninotes to: it.feio.android.omninotes.models.adapters; from: it.feio.android.omninotes to: it.feio.android.omninotes.models.holders; from: it.feio.android.omninotes to: it.feio.android.omninotes.async.notes; from: it.feio.android.omninotes.db to: it.feio.android.omninotes.models; from: it.feio.android.omninotes.db to: it.feio.android.omninotes.utils; from: it.feio.android.omninotes.db to: it.feio.android.omninotes; from: it.feio.android.omninotes.db to: it.feio.android.omninotes.helpers; from: it.feio.android.omninotes.db to: it.feio.android.omninotes.async.upgrade; from: it.feio.android.omninotes.helpers.count to: it.feio.android.omninotes; from: it.feio.android.omninotes.helpers.count to: it.feio.android.omninotes.models; from: it.feio.android.omninotes.helpers.count to: it.feio.android.omninotes.helpers; from: it.feio.android.omninotes.utils.date to: it.feio.android.omninotes.helpers.date; from: it.feio.android.omninotes.utils.date to: it.feio.android.omninotes.models.listeners; from: it.feio.android.omninotes.utils.date to: it.feio.android.omninotes.utils; from: it.feio.android.omninotes.utils.date to: it.feio.android.omninotes.helpers; from: it.feio.android.omninotes.utils.date to: it.feio.android.omninotes; from: it.feio.android.omninotes.widget to: it.feio.android.omninotes.db; from: it.feio.android.omninotes.widget to: it.feio.android.omninotes.helpers; from: it.feio.android.omninotes.widget to: it.feio.android.omninotes.utils; from: it.feio.android.omninotes.widget to: it.feio.android.omninotes; from: it.feio.android.omninotes.widget to: it.feio.android.omninotes.models; from: it.feio.android.omninotes.intro to: it.feio.android.omninotes.utils; from: it.feio.android.omninotes.intro to: it.feio.android.omninotes; from: it.feio.android.omninotes.async.upgrade to: it.feio.android.omninotes.db; from: it.feio.android.omninotes.async.upgrade to: it.feio.android.omninotes.utils; from: it.feio.android.omninotes.async.upgrade to: it.feio.android.omninotes.helpers; from: it.feio.android.omninotes.async.upgrade to: it.feio.android.omninotes; from: it.feio.android.omninotes.async to: it.feio.android.omninotes.models.misc; from: it.feio.android.omninotes.async to: it.feio.android.omninotes.utils; from: it.feio.android.omninotes.async to: it.feio.android.omninotes; from: it.feio.android.omninotes.async to: it.feio.android.omninotes.helpers; from: it.feio.android.omninotes.async to: it.feio.android.omninotes.models.listeners; from: it.feio.android.omninotes.async to: it.feio.android.omninotes.models; from: it.feio.android.omninotes.async to: it.feio.android.omninotes.models.views; from: it.feio.android.omninotes.async to: it.feio.android.omninotes.utils.notifications; from: it.feio.android.omninotes.async to: it.feio.android.omninotes.db; from: it.feio.android.omninotes.async.bus to: it.feio.android.omninotes.helpers; from: it.feio.android.omninotes.async.notes to: it.feio.android.omninotes.models; from: it.feio.android.omninotes.async.notes to: it.feio.android.omninotes.db; from: it.feio.android.omninotes.async.notes to: it.feio.android.omninotes.utils; from: it.feio.android.omninotes.async.notes to: it.feio.android.omninotes; from: it.feio.android.omninotes.async.notes to: it.feio.android.omninotes.models.listeners; from: it.feio.android.omninotes.async.notes to: it.feio.android.omninotes.utils.date; from: it.feio.android.omninotes.async.notes to: it.feio.android.omninotes.helpers; from: it.feio.android.omninotes.models.misc to: it.feio.android.omninotes.async.bus; from: it.feio.android.omninotes.models.misc to: it.feio.android.omninotes.db; from: it.feio.android.omninotes.models.misc to: it.feio.android.omninotes.helpers; from: it.feio.android.omninotes.models.holders to: it.feio.android.omninotes.models.views; from: it.feio.android.omninotes.models.adapters to: it.feio.android.omninotes.utils; from: it.feio.android.omninotes.models.adapters to: it.feio.android.omninotes.models; from: it.feio.android.omninotes.models.adapters to: it.feio.android.omninotes.models.views; from: it.feio.android.omninotes.models.adapters to: it.feio.android.omninotes.helpers; from: it.feio.android.omninotes.models.adapters to: it.feio.android.omninotes.helpers.date; from: it.feio.android.omninotes.models.adapters to: it.feio.android.omninotes.utils.date; from: it.feio.android.omninotes.models.adapters to: it.feio.android.omninotes.models.holders; from: it.feio.android.omninotes.models.adapters to: it.feio.android.omninotes.async; from: it.feio.android.omninotes.models.views to: it.feio.android.omninotes.models.listeners; from: it.feio.android.omninotes.models.views to: it.feio.android.omninotes.helpers; from: it.feio.android.omninotes.models.views to: it.feio.android.omninotes.utils; from: it.feio.android.omninotes.models.views to: it.feio.android.omninotes; from: it.feio.android.omninotes.models.listeners to: it.feio.android.omninotes.models; from: it.feio.android.omninotes.extensions to: it.feio.android.omninotes.models; from: it.feio.android.omninotes.extensions to: it.feio.android.omninotes.utils; from: it.feio.android.omninotes.extensions to: it.feio.android.omninotes.db; from: it.feio.android.omninotes.extensions to: it.feio.android.omninotes.utils.date; from: it.feio.android.omninotes.extensions to: it.feio.android.omninotes.helpers; from: it.feio.android.omninotes.receiver to: it.feio.android.omninotes.models; from: it.feio.android.omninotes.receiver to: it.feio.android.omninotes.utils.notifications; from: it.feio.android.omninotes.receiver to: it.feio.android.omninotes.utils; from: it.feio.android.omninotes.receiver to: it.feio.android.omninotes; from: it.feio.android.omninotes.receiver to: it.feio.android.omninotes.helpers; from: it.feio.android.omninotes.receiver to: it.feio.android.omninotes.services; from: it.feio.android.omninotes.receiver to: it.feio.android.omninotes.db; from: it.feio.android.omninotes.receiver to: it.feio.android.omninotes.async; from: it.feio.android.omninotes.helpers.date to: it.feio.android.omninotes.utils; from: it.feio.android.omninotes.helpers.date to: it.feio.android.omninotes.helpers; from: it.feio.android.omninotes.helpers.date to: it.feio.android.omninotes; from: it.feio.android.omninotes.helpers.date to: it.feio.android.omninotes.utils.date; from: it.feio.android.omninotes.services to: it.feio.android.omninotes.async.bus; from: it.feio.android.omninotes.services to: it.feio.android.omninotes.models; from: it.feio.android.omninotes.services to: it.feio.android.omninotes.helpers; from: it.feio.android.omninotes.services to: it.feio.android.omninotes.db; from: it.feio.android.omninotes.services to: it.feio.android.omninotes.utils.date; from: it.feio.android.omninotes.services to: it.feio.android.omninotes.
Omni-Notes-6.0.5,it.feio.android.omninotes.helpers,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): it.feio.android.omninotes.db; it.feio.android.omninotes; it.feio.android.omninotes.async; it.feio.android.omninotes.helpers.count
Omni-Notes-6.0.5,it.feio.android.omninotes.helpers,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [GeocodeProviderFactory; GeocodeProviderBaseFactory; GeocodeProviderFactory]; [BackupHelperTest; BackupHelper; SpringImportHelper; LogDelegate]; [AppVersionHelperTest; AppVersionHelper]; [LanguageHelperTest; LanguageHelper]; [NotesHelperTest; NotesHelper]; [GeocodeProviderFactory]; [GeocodeProviderFactory]; [AttachmentsHelper]; [PermissionsHelper]. LCC (Lack of Component Cohesion) = 0.53
Omni-Notes-6.0.5,it.feio.android.omninotes.helpers,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: it.feio.android.omninotes.helpers; it.feio.android.omninotes.helpers.count; it.feio.android.omninotes.helpers
Omni-Notes-6.0.5,it.feio.android.omninotes,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 32
Omni-Notes-6.0.5,it.feio.android.omninotes,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): it.feio.android.omninotes.async; it.feio.android.omninotes.models.adapters; it.feio.android.omninotes.async.notes
Omni-Notes-6.0.5,it.feio.android.omninotes,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CategoryLifecycleTest; BaseEspressoTest; FabLifecycleTest; BaseAndroidTestCase; FabCameraNoteTest; AutoBackupTest]; [RemindersLifecycleTest; OmniNotes; SnoozeActivity; DetailFragment; ListFragment; CategoryActivity; BaseActivity; PasswordActivity; NavigationDrawerFragment; MainActivity; SettingsFragment; SketchFragment; SettingsActivity; BaseFragment; AboutActivity]; [BaseUnitTest]; [ResourceAwareTest]; [ShortcutActivity]; [NoteInfosActivity]; [FontSizeListPreference]; [GalleryActivity]; [StatsActivity]; [StatsActivity.StatsTask]; [DetailFragment.OnGeoUtilResultListenerImpl]; [DetailFragment.AttachmentOnClickListener]; [ListFragment.ModeCallback]. LCC (Lack of Component Cohesion) = 0.41
