Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,GeocodeHelperTest,testGetAddressFromCoordinates,Magic Number,The method contains a magic number: 43.799328,32
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,GeocodeHelperTest,testGetAddressFromCoordinates,Magic Number,The method contains a magic number: 11.171552,32
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,ReminderHelperTest,buildNote,Magic Number,The method contains a magic number: 1000,73
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,BitmapHelperTest,setUp,Magic Number,The method contains a magic number: 100,49
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,BitmapHelperTest,setUp,Magic Number,The method contains a magic number: 200,49
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,BitmapHelperTest,setUp,Magic Number,The method contains a magic number: 100,49
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,BitmapHelperTest,getBitmapFromAttachment_backgroundThread,Magic Number,The method contains a magic number: 100,60
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,BitmapHelperTest,getBitmapFromAttachment_backgroundThread,Magic Number,The method contains a magic number: 100,60
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,BitmapHelperTest,getBitmapFromAttachment_mainThread,Magic Number,The method contains a magic number: 100,67
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,BitmapHelperTest,getBitmapFromAttachment_mainThread,Magic Number,The method contains a magic number: 100,67
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,TagsHelperTest,setup,Long Statement,The length of the statement "note.setContent("Random content with " + TAG1 + " "+ TAG2+ " "+ TAG3+ "(and another with similar prefix: "+ TAG4+ ") and "+ TAG5);" is 130.,46
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,TagsHelperTest,retrievesTagsFromNote,Magic Number,The method contains a magic number: 4,55
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,TagsHelperTest,removesTagsFromNote,Magic Number,The method contains a magic number: 4,76
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,SystemHelper,copyToClipboard,Long Statement,The length of the statement "android.content.ClipboardManager clipboard=(android.content.ClipboardManager)context.getSystemService(Activity.CLIPBOARD_SERVICE);" is 130.,64
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,ReminderHelper,checkReminder,Long Statement,The length of the statement "return PendingIntent.getBroadcast(context`getRequestCode(note)`new Intent(context`AlarmReceiver.class)`PendingIntent.FLAG_NO_CREATE) != null;" is 141.,62
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,ReminderHelper,getRequestCode,Magic Number,The method contains a magic number: 1000L,71
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,ReminderHelper,showReminderMessage,Long Statement,The length of the statement "new Handler(OmniNotes.getAppContext().getMainLooper()).post(() -> Toast.makeText(OmniNotes.getAppContext()`OmniNotes.getAppContext().getString(R.string.alarm_set_on) + " " + DateHelper.getDateTimeShort(OmniNotes.getAppContext()`reminder)`Toast.LENGTH_LONG).show());" is 265.,88
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,Fonts,overrideTextSize,Long Statement,The length of the statement "int index=Arrays.asList(privateContext.getResources().getStringArray(R.array.text_size_values)).indexOf(prefs.getString("settings_text_size"`"default"));" is 153.,33
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,FileHelper,getPath,Complex Method,Cyclomatic complexity of the method is 9,40
