Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,ParcelableUtilTest,setUp,5,1,0,39,0,,
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,ParcelableUtilTest,unmarshall,3,1,0,46,1,,
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,ParcelableUtilTest,marshall,3,1,0,51,1,,
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,GeocodeHelperTest,testGetAddressFromCoordinates,8,2,0,32,1,,
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,ReminderHelperTest,shouldGetRequestCode,9,1,0,34,1,,
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,ReminderHelperTest,shouldAddReminder,6,1,0,45,1,,
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,ReminderHelperTest,shouldNotAddReminderWithPassedTime,7,1,0,53,1,,
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,ReminderHelperTest,shouldRemoveReminder,9,1,0,62,1,,
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,ReminderHelperTest,buildNote,7,1,0,73,0,,
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,SecurityTest,testEncrypt,4,1,0,36,1,,
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,SecurityTest,testDecrypt,5,1,0,42,1,,
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,SecurityTest,testDecryptUnencrypted,4,1,0,49,1,,
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,BitmapHelperTest,setUp,7,1,0,49,0,,
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,BitmapHelperTest,getBitmapFromAttachment_backgroundThread,5,1,0,60,1,,
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,BitmapHelperTest,getBitmapFromAttachment_mainThread,8,1,0,67,1,,
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,TagsHelperTest,setup,4,1,0,46,0,,
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,TagsHelperTest,retrievesTagsFromNote,6,1,0,55,1,,
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,TagsHelperTest,retrievesTagsFromNoteMultilanguage,8,1,0,64,1,,
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,TagsHelperTest,removesTagsFromNote,10,1,0,76,1,,
