Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
Omni-Notes-6.0.5,it.feio.android.omninotes.helpers,SpringImportHelper,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
Omni-Notes-6.0.5,it.feio.android.omninotes.helpers,BackupHelper,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
Omni-Notes-6.0.5,it.feio.android.omninotes,NavigationDrawerFragment,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
Omni-Notes-6.0.5,it.feio.android.omninotes,MainActivity,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18
Omni-Notes-6.0.5,it.feio.android.omninotes,SettingsFragment,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18
Omni-Notes-6.0.5,it.feio.android.omninotes,DetailFragment,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 36
Omni-Notes-6.0.5,it.feio.android.omninotes,ListFragment,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 29
Omni-Notes-6.0.5,it.feio.android.omninotes.db,DbHelper,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
Omni-Notes-6.0.5,it.feio.android.omninotes.widget,ListRemoteViewsFactory,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
Omni-Notes-6.0.5,it.feio.android.omninotes.async.upgrade,UpgradeProcessor,Law of Demeter violation,The tool detected the smell in this method (process) because the method voilates the law of Demeter. The long chain of method invocations is : it.feio.android.omninotes.async.upgrade.UpgradeProcessor.getMethodsToLaunch; it.feio.android.omninotes.async.upgrade.UpgradeProcessor.getInstance
Omni-Notes-6.0.5,it.feio.android.omninotes.async,UpdaterTask,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
Omni-Notes-6.0.5,it.feio.android.omninotes.async,DataBackupIntentService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
Omni-Notes-6.0.5,it.feio.android.omninotes.async.notes,SaveNoteTask,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
Omni-Notes-6.0.5,it.feio.android.omninotes.models.adapters,AttachmentAdapter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
Omni-Notes-6.0.5,it.feio.android.omninotes.models.adapters,NoteAdapter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
Omni-Notes-6.0.5,it.feio.android.omninotes.receiver,AlarmReceiver,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
