Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,Constants,4,0,0,0,6,0,0,1,-1.0,50,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/beta/java/it/feio/android/omninotes/utils/Constants.java,4
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,ParcelableUtilTest,2,0,3,3,15,3,0,0,0.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/androidTest/java/it/feio/android/omninotes/utils/ParcelableUtilTest.java,33
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,GeocodeHelperTest,0,0,1,1,10,2,0,0,-1.0,0,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/androidTest/java/it/feio/android/omninotes/utils/GeocodeHelperTest.java,29
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,ReminderHelperTest,0,0,5,4,40,5,0,0,-1.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/androidTest/java/it/feio/android/omninotes/utils/ReminderHelperTest.java,31
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,SecurityTest,3,0,3,3,18,3,0,0,0.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/androidTest/java/it/feio/android/omninotes/utils/SecurityTest.java,28
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,BitmapHelperTest,2,1,3,3,24,3,0,0,0.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/androidTest/java/it/feio/android/omninotes/utils/BitmapHelperTest.java,41
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,TagsHelperTest,6,0,5,5,45,5,0,0,0.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/test/java/it/feio/android/omninotes/utils/TagsHelperTest.java,35
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,Constants,4,0,0,0,6,0,0,1,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/foss/java/it/feio/android/omninotes/utils/Constants.java,19
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,Constants,4,0,0,0,6,0,0,1,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/play/java/it/feio/android/omninotes/utils/Constants.java,19
Omni-Notes-6.0.5,it.feio.android.omninotes.utils,SystemHelper,0,0,3,3,32,5,0,0,-1.0,4,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/utils/SystemHelper.java,26
