Project Name,Package Name,Architecture Smell,Cause of the Smell
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TripRequestTest]; [OTPGeocoding]; [TripRequest]; [BikeRentalLoad]; [ServerSelector; ServerChecker]; [RequestTimesForTrips]; [MetadataRequest]. LCC (Lack of Component Cohesion) = 0.88
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): edu.usf.cutr.opentripplanner.android.fragments; edu.usf.cutr.opentripplanner.android.tasks; edu.usf.cutr.opentripplanner.android.sqlite; edu.usf.cutr.opentripplanner.android.util
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: edu.usf.cutr.opentripplanner.android; edu.usf.cutr.opentripplanner.android.fragments; edu.usf.cutr.opentripplanner.android
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: edu.usf.cutr.opentripplanner.android; edu.usf.cutr.opentripplanner.android.tasks; edu.usf.cutr.opentripplanner.android
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: edu.usf.cutr.opentripplanner.android; edu.usf.cutr.opentripplanner.android.sqlite; edu.usf.cutr.opentripplanner.android
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: edu.usf.cutr.opentripplanner.android; edu.usf.cutr.opentripplanner.android.util; edu.usf.cutr.opentripplanner.android
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: edu.usf.cutr.opentripplanner.android; edu.usf.cutr.opentripplanner.android.util; edu.usf.cutr.opentripplanner.android.pois; edu.usf.cutr.opentripplanner.android
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [JacksonConfig]; [ExpandableListFragment]; [DirectionsGenerator; ConversionUtils; CustomInfoWindowAdapter; TripInfo]; [PlacesAutoCompleteAdapter; CustomAddress; LocationUtil]; [DateTimeDialog]; [RangeSeekBar]; [RangeSeekBar.OnRangeSeekBarChangeListener]; [RangeSeekBar.Thumb]; [RangeSeekBar.NumberType]; [RightDrawableOnTouchListener]; [BikeRentalStationInfo]; [DirectionExpandableListAdapter]; [DirectionExpandableListAdapter.DirectionHolder]. LCC (Lack of Component Cohesion) = 0.72
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TraverseModeSpinnerItem]; [OptimizeSpinnerItem]; [Server]; [OTPBundle]; [ArriveBySpinnerItem]; [Direction]. LCC (Lack of Component Cohesion) = 1.0
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.listeners,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ServerSelectorCompleteListener]; [OTPGeocodingListener]; [TripRequestCompleteListener]; [RequestTimesForTripsCompleteListener]; [ServerCheckerCompleteListener]; [MetadataRequestCompleteListener]; [BikeRentalLoadCompleteListener]; [DateCompleteListener]; [OtpFragment]. LCC (Lack of Component Cohesion) = 1.0
