Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,OTPGeocoding,OTPGeocoding,Long Parameter List,The method has 6 parameters. ,56
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,OTPGeocoding,onCancelled,Long Statement,The length of the statement "geocoderAlert.setTitle(R.string.geocoder_results_title).setMessage(R.string.geocoder_results_no_results_message).setCancelable(false).setPositiveButton(context.getResources().getString(android.R.string.ok)`new DialogInterface.OnClickListener(){" is 244.,77
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,TripRequest,TripRequest,Long Parameter List,The method has 5 parameters. ,79
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,TripRequest,onPreExecute,Long Statement,The length of the statement "progressDialog=ProgressDialog.show(activityRetrieved`""`resources.getText(R.string.task_progress_tripplanner_progress)`true);" is 125.,92
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,TripRequest,doInBackground,Long Statement,The length of the statement "String prefix=PreferenceManager.getDefaultSharedPreferences(context).getString(OTPApp.PREFERENCE_KEY_FOLDER_STRUCTURE_PREFIX`OTPApp.FOLDER_STRUCTURE_PREFIX_NEW);" is 161.,104
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,TripRequest,onCancelled,Long Statement,The length of the statement "geocoderAlert.setTitle(R.string.tripplanner_results_title).setMessage(R.string.tripplanner_error_request_timeout).setCancelable(false).setPositiveButton(android.R.string.ok`new DialogInterface.OnClickListener(){" is 211.,124
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,TripRequest,onPostExecute,Complex Conditional,The conditional expression response != null && response.getPlan() != null && response.getPlan().getItinerary().get(0) != null is complex.,152
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,TripRequest,onPostExecute,Complex Conditional,The conditional expression response != null && response.getError() != null && errorCode != Message.PLAN_OK.getId() is complex.,152
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,TripRequest,onPostExecute,Complex Method,Cyclomatic complexity of the method is 8,152
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,TripRequest,getErrorMessage,Complex Conditional,The conditional expression errorCode == Message.UNDERSPECIFIED_TRIANGLE.getId() || errorCode == Message.TRIANGLE_NOT_AFFINE.getId() || errorCode == Message.TRIANGLE_OPTIMIZE_TYPE_NOT_SET.getId() || errorCode == Message.TRIANGLE_VALUES_NOT_SET.getId() is complex.,202
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,TripRequest,getErrorMessage,Complex Method,Cyclomatic complexity of the method is 16,202
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,TripRequest,getErrorMessage,Long Statement,The length of the statement "else if (errorCode == Message.UNDERSPECIFIED_TRIANGLE.getId() || errorCode == Message.TRIANGLE_NOT_AFFINE.getId() || errorCode == Message.TRIANGLE_OPTIMIZE_TYPE_NOT_SET.getId() || errorCode == Message.TRIANGLE_VALUES_NOT_SET.getId()) {" is 235.,202
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,TripRequest,requestPlan,Complex Method,Cyclomatic complexity of the method is 8,248
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,TripRequest,requestPlan,Long Statement,The length of the statement "updatedString=params.replace(TraverseMode.BICYCLE.toString()`TraverseMode.BICYCLE.toString() + OTPApp.OTP_RENTAL_QUALIFIER);" is 124.,248
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,TripRequest,requestPlan,Long Statement,The length of the statement "updatedString=params.replace(TraverseMode.BICYCLE.toString()`TraverseMode.BICYCLE.toString() + "` " + TraverseMode.WALK.toString());" is 132.,248
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,BikeRentalLoad,doInBackground,Long Statement,The length of the statement "String prefix=PreferenceManager.getDefaultSharedPreferences(context).getString(OTPApp.PREFERENCE_KEY_FOLDER_STRUCTURE_PREFIX`OTPApp.FOLDER_STRUCTURE_PREFIX_NEW);" is 161.,69
