Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,TripRequestTest,0,0,1,1,4,1,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/OpenTripPlanner-for-Android-2.1.5/opentripplanner-android/src/androidTest/java/edu/usf/cutr/opentripplanner/android/tasks/TripRequestTest.java,35
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,OTPGeocoding,7,0,6,2,44,7,0,0,0.5,1,4,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/OpenTripPlanner-for-Android-2.1.5/opentripplanner-android/src/main/java/edu/usf/cutr/opentripplanner/android/tasks/OTPGeocoding.java,36
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,TripRequest,8,0,9,2,235,46,0,0,0.2222222222222222,0,4,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/OpenTripPlanner-for-Android-2.1.5/opentripplanner-android/src/main/java/edu/usf/cutr/opentripplanner/android/tasks/TripRequest.java,54
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,BikeRentalLoad,5,0,4,1,62,8,0,0,0.5,1,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/OpenTripPlanner-for-Android-2.1.5/opentripplanner-android/src/main/java/edu/usf/cutr/opentripplanner/android/tasks/BikeRentalLoad.java,42
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,ServerSelector,11,1,11,4,339,61,0,0,0.0,1,6,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/OpenTripPlanner-for-Android-2.1.5/opentripplanner-android/src/main/java/edu/usf/cutr/opentripplanner/android/tasks/ServerSelector.java,62
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,RequestTimesForTrips,4,0,4,1,66,10,0,0,0.5,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/OpenTripPlanner-for-Android-2.1.5/opentripplanner-android/src/main/java/edu/usf/cutr/opentripplanner/android/tasks/RequestTimesForTrips.java,45
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,ServerChecker,10,0,6,2,176,27,0,0,0.0,4,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/OpenTripPlanner-for-Android-2.1.5/opentripplanner-android/src/main/java/edu/usf/cutr/opentripplanner/android/tasks/ServerChecker.java,44
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.tasks,MetadataRequest,5,0,4,1,82,13,0,0,0.0,1,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/OpenTripPlanner-for-Android-2.1.5/opentripplanner-android/src/main/java/edu/usf/cutr/opentripplanner/android/tasks/MetadataRequest.java,42
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.test,BoundsTest,10,1,2,1,120,2,0,0,0.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/OpenTripPlanner-for-Android-2.1.5/opentripplanner-android/src/androidTest/java/edu/usf/cutr/opentripplanner/android/test/BoundsTest.java,12
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.maps,CustomUrlTileProvider,1,0,2,2,16,2,0,0,0.0,1,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/OpenTripPlanner-for-Android-2.1.5/opentripplanner-android/src/main/java/edu/usf/cutr/opentripplanner/android/maps/CustomUrlTileProvider.java,24
