Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
SeeWeather-2.03,com.xiecc.seeWeather,ApplicationTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SeeWeather-2.03,com.xiecc.seeWeather.component,RetrofitSingleton,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: apiService; retrofit; okHttpClient; TAG; context
SeeWeather-2.03,com.xiecc.seeWeather.common,FileSizeUtil,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SIZETYPE_B; SIZETYPE_KB; SIZETYPE_MB; SIZETYPE_GB
SeeWeather-2.03,com.xiecc.seeWeather.common,PLog,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PATH; PLOG_FILE_NAME; PLOG_WRITE_TO_FILE
SeeWeather-2.03,com.xiecc.seeWeather.common,PLog,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: CrashHandler; PLog; BaseApplication
SeeWeather-2.03,com.xiecc.seeWeather.common,ACache,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TIME_HOUR; TIME_DAY; MAX_SIZE; MAX_COUNT; mInstanceMap; mCache; cacheSize; cacheCount; sizeLimit; countLimit; lastUsageDates; cacheDir; mSeparator
SeeWeather-2.03,com.xiecc.seeWeather.common,ACache,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 29 public methods
SeeWeather-2.03,com.xiecc.seeWeather.common,ACache.ACacheManager,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SeeWeather-2.03,com.xiecc.seeWeather.common,ACache.ACacheManager,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: cacheSize; cacheCount; sizeLimit; countLimit; lastUsageDates; cacheDir
SeeWeather-2.03,com.xiecc.seeWeather.common,ACache.Utils,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mSeparator
