Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
SeeWeather-2.03,com.xiecc.seeWeather,ExampleUnitTest,addition_isCorrect,Magic Number,The method contains a magic number: 4,11
SeeWeather-2.03,com.xiecc.seeWeather,ExampleUnitTest,addition_isCorrect,Magic Number,The method contains a magic number: 2,11
SeeWeather-2.03,com.xiecc.seeWeather,ExampleUnitTest,addition_isCorrect,Magic Number,The method contains a magic number: 2,11
SeeWeather-2.03,com.xiecc.seeWeather.component,RetrofitSingleton,init,Long Statement,The length of the statement "retrofit=new Retrofit.Builder().addConverterFactory(GsonConverterFactory.create(gson)).baseUrl(ApiInterface.HOST).callbackExecutor(executor).addCallAdapterFactory(RxJavaCallAdapterFactory.create()).build();" is 206.,33
SeeWeather-2.03,com.xiecc.seeWeather.component,RetrofitSingleton,disposeFailureInfo,Complex Conditional,The conditional expression t.toString().contains("GaiException") || t.toString().contains("SocketTimeoutException") || t.toString().contains("UnknownHostException") is complex.,75
SeeWeather-2.03,com.xiecc.seeWeather.component,RetrofitSingleton,disposeFailureInfo,Long Statement,The length of the statement "if (t.toString().contains("GaiException") || t.toString().contains("SocketTimeoutException") || t.toString().contains("UnknownHostException")) {" is 144.,75
SeeWeather-2.03,com.xiecc.seeWeather.common,CheckVersion,checkVersion,Long Statement,The length of the statement "RetrofitSingleton.getApiService(context).mVersionAPI(Setting.API_TOKEN).subscribeOn(Schedulers.io()).observeOn(AndroidSchedulers.mainThread()).subscribe(new Observer<VersionAPI>(){" is 180.,26
SeeWeather-2.03,com.xiecc.seeWeather.common,CheckVersion,showUpdateDialog,Long Statement,The length of the statement "new AlertDialog.Builder(context).setTitle(title).setMessage(versionAPI.changelog).setPositiveButton("下载"`new DialogInterface.OnClickListener(){" is 143.,74
SeeWeather-2.03,com.xiecc.seeWeather.common,FileSizeUtil,FormetFileSize,Magic Number,The method contains a magic number: 1024,107
SeeWeather-2.03,com.xiecc.seeWeather.common,FileSizeUtil,FormetFileSize,Magic Number,The method contains a magic number: 1048576,107
