Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
SeeWeather-2.03,com.xiecc.seeWeather,ApplicationTest,ApplicationTest,3,1,0,10,0,,
SeeWeather-2.03,com.xiecc.seeWeather,ExampleUnitTest,addition_isCorrect,3,1,0,11,1,,
SeeWeather-2.03,com.xiecc.seeWeather.component,ApiInterface,mWeatherAPI,0,1,2,16,0,,
SeeWeather-2.03,com.xiecc.seeWeather.component,ApiInterface,mVersionAPI,0,1,1,19,0,,
SeeWeather-2.03,com.xiecc.seeWeather.component,RetrofitSingleton,init,6,1,1,33,0,,
SeeWeather-2.03,com.xiecc.seeWeather.component,RetrofitSingleton,getApiService,5,2,1,54,0,com.xiecc.seeWeather.component.RetrofitSingleton,com.xiecc.seeWeather.component.RetrofitSingleton
SeeWeather-2.03,com.xiecc.seeWeather.component,RetrofitSingleton,getRetrofit,5,2,1,61,0,com.xiecc.seeWeather.component.RetrofitSingleton,com.xiecc.seeWeather.component.RetrofitSingleton
SeeWeather-2.03,com.xiecc.seeWeather.component,RetrofitSingleton,getOkHttpClient,5,2,1,68,0,com.xiecc.seeWeather.component.RetrofitSingleton,com.xiecc.seeWeather.component.RetrofitSingleton
SeeWeather-2.03,com.xiecc.seeWeather.component,RetrofitSingleton,disposeFailureInfo,9,2,3,75,0,,
SeeWeather-2.03,com.xiecc.seeWeather.common,Util,getVersion,12,1,1,15,0,,
SeeWeather-2.03,com.xiecc.seeWeather.common,Util,getVersionCode,12,1,1,34,0,,
SeeWeather-2.03,com.xiecc.seeWeather.common,Util,isNetworkConnected,10,3,1,52,0,,
SeeWeather-2.03,com.xiecc.seeWeather.common,CheckVersion,checkVersion,32,5,2,26,0,com.xiecc.seeWeather.common.CheckVersion,com.xiecc.seeWeather.common.CheckVersion
SeeWeather-2.03,com.xiecc.seeWeather.common,CheckVersion,onCompleted,2,1,0,32,0,,
SeeWeather-2.03,com.xiecc.seeWeather.common,CheckVersion,onError,3,1,1,36,0,,
SeeWeather-2.03,com.xiecc.seeWeather.common,CheckVersion,onNext,22,5,1,41,0,com.xiecc.seeWeather.common.CheckVersion,com.xiecc.seeWeather.common.CheckVersion
SeeWeather-2.03,com.xiecc.seeWeather.common,CheckVersion,showUpdateDialog,13,1,2,74,0,,
SeeWeather-2.03,com.xiecc.seeWeather.common,CheckVersion,onClick,7,1,2,80,0,,
SeeWeather-2.03,com.xiecc.seeWeather.common,Time,getNowYMDHMSTime,5,1,0,9,0,,
SeeWeather-2.03,com.xiecc.seeWeather.common,Time,getNowMDHMSTime,5,1,0,22,0,,
SeeWeather-2.03,com.xiecc.seeWeather.common,Time,getNowYMD,5,1,0,34,0,,
SeeWeather-2.03,com.xiecc.seeWeather.common,Time,getYMD,5,1,1,47,0,,
SeeWeather-2.03,com.xiecc.seeWeather.common,FileSizeUtil,getFileOrFilesSize,17,2,2,18,0,com.xiecc.seeWeather.common.FileSizeUtil,com.xiecc.seeWeather.common.FileSizeUtil
SeeWeather-2.03,com.xiecc.seeWeather.common,FileSizeUtil,getAutoFileOrFilesSize,17,2,1,43,0,com.xiecc.seeWeather.common.FileSizeUtil,com.xiecc.seeWeather.common.FileSizeUtil
SeeWeather-2.03,com.xiecc.seeWeather.common,FileSizeUtil,getFileSize,13,2,1,67,0,,
SeeWeather-2.03,com.xiecc.seeWeather.common,FileSizeUtil,getFileSizes,13,3,1,87,0,com.xiecc.seeWeather.common.FileSizeUtil,com.xiecc.seeWeather.common.FileSizeUtil
SeeWeather-2.03,com.xiecc.seeWeather.common,FileSizeUtil,FormetFileSize,21,5,1,107,0,,
SeeWeather-2.03,com.xiecc.seeWeather.common,FileSizeUtil,FormetFileSize,0,5,2,133,0,,
SeeWeather-2.03,com.xiecc.seeWeather.common,PLog,e,4,2,2,26,0,com.xiecc.seeWeather.common.PLog,com.xiecc.seeWeather.common.PLog
SeeWeather-2.03,com.xiecc.seeWeather.common,PLog,w,4,2,2,38,0,com.xiecc.seeWeather.common.PLog,com.xiecc.seeWeather.common.PLog
SeeWeather-2.03,com.xiecc.seeWeather.common,PLog,d,4,2,2,50,0,com.xiecc.seeWeather.common.PLog,com.xiecc.seeWeather.common.PLog
SeeWeather-2.03,com.xiecc.seeWeather.common,PLog,i,4,2,2,62,0,com.xiecc.seeWeather.common.PLog,com.xiecc.seeWeather.common.PLog
SeeWeather-2.03,com.xiecc.seeWeather.common,PLog,writeLogtoFile,16,1,3,75,0,com.xiecc.seeWeather.common.PLog,com.xiecc.seeWeather.common.PLog
SeeWeather-2.03,com.xiecc.seeWeather.common,PLog,delFile,6,2,0,116,0,,
SeeWeather-2.03,com.xiecc.seeWeather.common,PLog,isExist,6,2,1,127,0,,
SeeWeather-2.03,com.xiecc.seeWeather.common,ACache,get,3,1,1,61,0,com.xiecc.seeWeather.common.ACache,com.xiecc.seeWeather.common.ACache
SeeWeather-2.03,com.xiecc.seeWeather.common,ACache,get,4,1,2,66,0,,
SeeWeather-2.03,com.xiecc.seeWeather.common,ACache,get,3,1,1,72,0,,
SeeWeather-2.03,com.xiecc.seeWeather.common,ACache,get,4,1,3,77,0,,
SeeWeather-2.03,com.xiecc.seeWeather.common,ACache,get,8,2,3,83,0,com.xiecc.seeWeather.common.ACache,com.xiecc.seeWeather.common.ACache
SeeWeather-2.03,com.xiecc.seeWeather.common,ACache,myPid,3,1,0,93,0,,
SeeWeather-2.03,com.xiecc.seeWeather.common,ACache,ACache,6,2,3,98,0,,
SeeWeather-2.03,com.xiecc.seeWeather.common,ACache,put,23,2,2,110,0,,
SeeWeather-2.03,com.xiecc.seeWeather.common,ACache,put,3,1,3,138,0,com.xiecc.seeWeather.common.ACache,com.xiecc.seeWeather.common.ACache
