Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
SeeWeather-2.03,com.xiecc.seeWeather,ApplicationTest,0,0,1,1,8,1,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/SeeWeather-2.03/app/src/androidTest/java/com/xiecc/seeWeather/ApplicationTest.java,6
SeeWeather-2.03,com.xiecc.seeWeather,ExampleUnitTest,0,0,1,1,8,1,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/SeeWeather-2.03/app/src/test/java/com/xiecc/seeWeather/ExampleUnitTest.java,7
SeeWeather-2.03,com.xiecc.seeWeather.component,ApiInterface,1,0,2,0,8,2,0,0,-1.0,1,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/component/ApiInterface.java,9
SeeWeather-2.03,com.xiecc.seeWeather.component,RetrofitSingleton,5,1,5,5,43,9,0,0,0.0,3,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/component/RetrofitSingleton.java,17
SeeWeather-2.03,com.xiecc.seeWeather.common,Util,0,0,3,3,52,5,0,0,-1.0,3,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/common/Util.java,10
SeeWeather-2.03,com.xiecc.seeWeather.common,CheckVersion,1,0,6,6,51,14,0,0,0.6666666666666666,2,5,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/common/CheckVersion.java,19
SeeWeather-2.03,com.xiecc.seeWeather.common,Time,0,0,4,4,39,4,0,0,-1.0,1,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/common/Time.java,7
SeeWeather-2.03,com.xiecc.seeWeather.common,FileSizeUtil,4,4,6,2,0,19,0,0,0.0,1,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/common/FileSizeUtil.java,8
SeeWeather-2.03,com.xiecc.seeWeather.common,PLog,3,3,7,6,88,13,0,0,0.0,4,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/common/PLog.java,10
SeeWeather-2.03,com.xiecc.seeWeather.common,ACache,13,2,31,29,651,51,0,0,0.12903225806451613,2,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/common/ACache.java,49
