Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing_hashPin_Test,argon2_hashed_pin_password,Long Statement,The length of the statement "MasterKey masterKey=new MasterKey(Hex.fromStringCondensed("202122232425262728292a2b2c2d2e2f303132333435363738393a3b3c3d3e3f"));" is 127.,17
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing_hashPin_Test,argon2_hashed_pin_password,Long Statement,The length of the statement "assertArrayEquals(Hex.fromStringCondensed("ab7e8499d21f80a6600b3b9ee349ac6d72c07e3359fe885a934ba7aa844429f8")`kbsData.getKbsAccessKey());" is 137.,17
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing_hashPin_Test,argon2_hashed_pin_password,Long Statement,The length of the statement "assertArrayEquals(Hex.fromStringCondensed("3f33ce58eb25b40436592a30eae2a8fabab1899095f4e2fba6e2d0dc43b4a2d9cac5a3931748522393951e0e54dec769")`kbsData.getCipherText());" is 167.,17
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing_hashPin_Test,argon2_hashed_pin_another_password,Long Statement,The length of the statement "MasterKey masterKey=new MasterKey(Hex.fromStringCondensed("88a787415a2ecd79da0d1016a82a27c5c695c9a19b88b0aa1d35683280aa9a67"));" is 127.,35
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing_hashPin_Test,argon2_hashed_pin_another_password,Long Statement,The length of the statement "assertArrayEquals(Hex.fromStringCondensed("301d9dd1e96f20ce51083f67d3298fd37b97525de8324d5e12ed2d407d3d927b")`kbsData.getKbsAccessKey());" is 137.,35
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing_hashPin_Test,argon2_hashed_pin_another_password,Long Statement,The length of the statement "assertArrayEquals(Hex.fromStringCondensed("9d9b05402ea39c17ff1c9298c8a0e86784a352aa02a74943bf8bcf07ec0f4b574a5b786ad0182c8d308d9eb06538b8c9")`kbsData.getCipherText());" is 167.,35
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing_hashPin_Test,argon2_hashed_pin_password_with_spaces_diacritics_and_non_arabic_numerals,Long Statement,The length of the statement "MasterKey masterKey=new MasterKey(Hex.fromStringCondensed("9571f3fde1e58588ba49bcf82be1b301ca3859a6f59076f79a8f47181ef952bf"));" is 127.,53
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing_hashPin_Test,argon2_hashed_pin_password_with_spaces_diacritics_and_non_arabic_numerals,Long Statement,The length of the statement "assertArrayEquals(Hex.fromStringCondensed("ab645acdccc1652a48a34b2ac6926340ff35c03034013f68760f20013f028dd8")`kbsData.getKbsAccessKey());" is 137.,53
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing_hashPin_Test,argon2_hashed_pin_password_with_spaces_diacritics_and_non_arabic_numerals,Long Statement,The length of the statement "assertArrayEquals(Hex.fromStringCondensed("11c0ba1834db15e47c172f6c987c64bd4cfc69c6047dd67a022afeec0165a10943f204d5b8f37b3cb7bab21c6dfc39c8")`kbsData.getCipherText());" is 167.,53
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing_hashPin_Test,argon2_hashed_pin_password_with_spaces_diacritics_and_non_arabic_numerals,Long Statement,The length of the statement "assertEquals("577939bccb2b6638c39222d5a97998a867c5e154e30b82cc120f2dd07a3de987"`kbsData.getMasterKey().deriveRegistrationLock());" is 129.,53
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing_hashPin_Test,argon2_hashed_pin_password_with_just_non_arabic_numerals,Long Statement,The length of the statement "MasterKey masterKey=new MasterKey(Hex.fromStringCondensed("0432d735b32f66d0e3a70d4f9cc821a8529521a4937d26b987715d8eff4e4c54"));" is 127.,73
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing_hashPin_Test,argon2_hashed_pin_password_with_just_non_arabic_numerals,Long Statement,The length of the statement "assertArrayEquals(Hex.fromStringCondensed("d2fedabd0d4c17a371491c9722578843a26be3b4923e28d452ab2fc5491e794b")`kbsData.getKbsAccessKey());" is 137.,73
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing_hashPin_Test,argon2_hashed_pin_password_with_just_non_arabic_numerals,Long Statement,The length of the statement "assertArrayEquals(Hex.fromStringCondensed("877ef871ef1fc668401c717ef21aa12e8523579fb1ff4474b76f28c2293537c80cc7569996c9e0229bea7f378e3a824e")`kbsData.getCipherText());" is 167.,73
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing_hashPin_Test,argon2_hashed_pin_password_with_just_non_arabic_numerals,Long Statement,The length of the statement "assertEquals("23a75cb1df1a87df45cc2ed167c2bdc85ab1220b847c88761b0005cac907fce5"`kbsData.getMasterKey().deriveRegistrationLock());" is 129.,73
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing,hashPin,Long Statement,The length of the statement "return new Argon2.Builder(Version.V13).type(Type.Argon2id).memoryCost(MemoryCost.MiB(16)).parallelism(1).iterations(32).hashLength(64).build().hash(password`hashSession.hashSalt()).getHash();" is 191.,21
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing,hashPin,Magic Number,The method contains a magic number: 16,21
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing,hashPin,Magic Number,The method contains a magic number: 32,21
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing,hashPin,Magic Number,The method contains a magic number: 64,21
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing,localPinHash,Long Statement,The length of the statement "return new Argon2.Builder(Version.V13).type(Type.Argon2i).memoryCost(MemoryCost.KiB(256)).parallelism(1).iterations(50).hashLength(32).build().hash(normalized`Util.getSecretBytes(16)).getEncoded();" is 197.,39
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing,localPinHash,Magic Number,The method contains a magic number: 256,39
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing,localPinHash,Magic Number,The method contains a magic number: 50,39
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing,localPinHash,Magic Number,The method contains a magic number: 32,39
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing,localPinHash,Magic Number,The method contains a magic number: 16,39
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,RegistrationLockReminders,scheduleReminder,Long Statement,The length of the statement "long timeSinceLastReminder=System.currentTimeMillis() - TextSecurePreferences.getRegistrationLockLastReminderTime(context);" is 123.,34
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,RegistrationLockReminders,scheduleReminder,Long Statement,The length of the statement "long timeSinceLastReminder=TextSecurePreferences.getRegistrationLockLastReminderTime(context) + TimeUnit.MINUTES.toMillis(5);" is 125.,34
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,RegistrationLockReminders,scheduleReminder,Magic Number,The method contains a magic number: 5,34
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,RegistrationLockV1Dialog,showLegacyPinReminder,Long Statement,The length of the statement "AlertDialog dialog=new AlertDialog.Builder(context`ThemeUtil.isDarkTheme(context) ? R.style.Theme_Signal_AlertDialog_Dark_Cornered : R.style.Theme_Signal_AlertDialog_Light_Cornered).setView(R.layout.registration_lock_reminder_view).setCancelable(true).setOnCancelListener(d -> RegistrationLockReminders.scheduleReminder(context`false)).create();" is 345.,74
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,RegistrationLockV1Dialog,showLegacyPinReminder,Long Statement,The length of the statement "SpannableString reminderText=new SpannableString(context.getString(R.string.RegistrationLockDialog_registration_lock_is_enabled_for_your_phone_number));" is 152.,74
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,RegistrationLockV1Dialog,showLegacyPinReminder,Long Statement,The length of the statement "new AlertDialog.Builder(context).setTitle(R.string.RegistrationLockDialog_forgotten_pin).setMessage(R.string.RegistrationLockDialog_registration_lock_helps_protect_your_phone_number_from_unauthorized_registration_attempts).setPositiveButton(android.R.string.ok`null).create().show();" is 283.,74
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,RegistrationLockV1Dialog,showLegacyPinReminder,Long Statement,The length of the statement "reminder.setText(new SpannableStringBuilder(reminderIntro).append(" ").append(reminderText).append(" ").append(forgotText));" is 124.,74
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,RegistrationLockV1Dialog,showLegacyPinReminder,Magic Number,The method contains a magic number: .80,74
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,RegistrationLockV1Dialog,onClick,Long Statement,The length of the statement "new AlertDialog.Builder(context).setTitle(R.string.RegistrationLockDialog_forgotten_pin).setMessage(R.string.RegistrationLockDialog_registration_lock_helps_protect_your_phone_number_from_unauthorized_registration_attempts).setPositiveButton(android.R.string.ok`null).create().show();" is 283.,101
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,RegistrationLockV1Dialog,showRegistrationLockPrompt,Long Statement,The length of the statement "AlertDialog dialog=new AlertDialog.Builder(context).setTitle(R.string.RegistrationLockDialog_registration_lock).setView(R.layout.registration_lock_dialog_view).setPositiveButton(R.string.RegistrationLockDialog_enable`null).setNegativeButton(android.R.string.cancel`null).create();" is 280.,136
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,RegistrationLockV1Dialog,showRegistrationLockPrompt,Long Statement,The length of the statement "Toast.makeText(context`context.getString(R.string.RegistrationLockDialog_the_registration_lock_pin_must_be_at_least_d_digits`KbsConstants.MINIMUM_PIN_LENGTH)`Toast.LENGTH_LONG).show();" is 184.,136
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,RegistrationLockV1Dialog,showRegistrationUnlockPrompt,Long Statement,The length of the statement "AlertDialog dialog=new AlertDialog.Builder(context).setTitle(R.string.RegistrationLockDialog_disable_registration_lock_pin).setView(R.layout.registration_unlock_dialog_view).setPositiveButton(R.string.RegistrationLockDialog_disable`null).setNegativeButton(android.R.string.cancel`null).create();" is 295.,211
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,SignalPinReminderDialog,show,Long Statement,The length of the statement "AlertDialog dialog=new AlertDialog.Builder(context`ThemeUtil.isDarkTheme(context) ? R.style.Theme_Signal_AlertDialog_Dark_Cornered_ColoredAccent : R.style.Theme_Signal_AlertDialog_Light_Cornered_ColoredAccent).setView(R.layout.kbs_pin_reminder_view).setCancelable(false).setOnCancelListener(d -> RegistrationLockReminders.scheduleReminder(context`false)).create();" is 364.,46
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,SignalPinReminderDialog,show,Long Statement,The length of the statement "SpannableString reminderText=new SpannableString(context.getString(R.string.KbsReminderDialog__to_help_you_memorize_your_pin));" is 127.,46
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,SignalPinReminderDialog,show,Magic Number,The method contains a magic number: .80,46
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,SignalPinReminderDialog,getPinWatcherCallback,Long Parameter List,The method has 5 parameters. ,129
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,CursorRecyclerViewAdapterTest,setUp,Magic Number,The method contains a magic number: 100,23
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,CursorRecyclerViewAdapterTest,testSanityCount,Magic Number,The method contains a magic number: 100,42
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,CursorRecyclerViewAdapterTest,testHeaderCount,Magic Number,The method contains a magic number: 101,47
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,CursorRecyclerViewAdapterTest,testHeaderCount,Magic Number,The method contains a magic number: 100,47
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,CursorRecyclerViewAdapterTest,testFooterCount,Magic Number,The method contains a magic number: 101,57
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,CursorRecyclerViewAdapterTest,testFooterCount,Magic Number,The method contains a magic number: 100,57
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,CursorRecyclerViewAdapterTest,testFooterCount,Magic Number,The method contains a magic number: 99,57
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,CursorRecyclerViewAdapterTest,testHeaderFooterCount,Magic Number,The method contains a magic number: 102,66
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,CursorRecyclerViewAdapterTest,testHeaderFooterCount,Magic Number,The method contains a magic number: 101,66
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,CursorRecyclerViewAdapterTest,testHeaderFooterCount,Magic Number,The method contains a magic number: 100,66
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,FlipperSqlCipherAdapter,getTableData,Long Parameter List,The method has 6 parameters. ,55
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,FlipperSqlCipherAdapter,getTableStructure,Long Statement,The length of the statement "structureValues.add(Arrays.asList(columnName`cursor.getString(cursor.getColumnIndex("type"))`cursor.getInt(cursor.getColumnIndex("notnull")) == 0`getObjectFromColumnIndex(cursor`cursor.getColumnIndex("dflt_value"))`cursor.getInt(cursor.getColumnIndex("pk")) == 1`foreignKey));" is 276.,71
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,FlipperSqlCipherAdapter,getTableStructure,Long Statement,The length of the statement "indexesValues.add(Arrays.asList(indexName`indexesCursor.getInt(indexesCursor.getColumnIndex("unique")) == 1`TextUtils.join("`"`indexedColumnNames)));" is 149.,71
Signal-Android-4.60.5,org.thoughtcrime.securesms.database,FlipperSqlCipherAdapter,executeSQL,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@6af035a1,138
