Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing_hashPin_Test,argon2_hashed_pin_password,13,1,0,17,1,,
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing_hashPin_Test,argon2_hashed_pin_another_password,13,1,0,35,1,,
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing_hashPin_Test,argon2_hashed_pin_password_with_spaces_diacritics_and_non_arabic_numerals,14,1,0,53,1,,
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing_hashPin_Test,argon2_hashed_pin_password_with_just_non_arabic_numerals,14,1,0,73,1,,
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing,PinHashing,2,1,0,18,0,,
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing,hashPin,11,1,2,21,0,,
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing,localPinHash,9,1,1,39,0,,
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing,verifyLocalPinHash,9,1,2,56,0,,
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,RegistrationLockReminders,needsReminder,5,1,1,27,0,,
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,RegistrationLockReminders,scheduleReminder,15,3,2,34,0,,
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,RegistrationLockV1Dialog,showReminderIfNecessary,16,5,1,52,0,org.thoughtcrime.securesms.lock.RegistrationLockV1Dialog,org.thoughtcrime.securesms.lock.RegistrationLockV1Dialog
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,RegistrationLockV1Dialog,showLegacyPinReminder,29,3,1,74,0,org.thoughtcrime.securesms.lock.RegistrationLockV1Dialog,org.thoughtcrime.securesms.lock.RegistrationLockV1Dialog
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,RegistrationLockV1Dialog,onClick,4,1,1,101,0,,
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,RegistrationLockV1Dialog,getV1PinWatcher,12,2,2,121,0,,
