Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing_hashPin_Test,0,0,4,4,56,4,0,0,-1.0,0,5,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Signal-Android-4.60.5/app/src/androidTest/java/org/thoughtcrime/securesms/lock/PinHashing_hashPin_Test.java,15
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,PinHashing,0,0,4,3,33,4,0,0,-1.0,2,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/lock/PinHashing.java,16
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,RegistrationLockReminders,2,1,2,2,33,4,0,0,1.0,4,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/lock/RegistrationLockReminders.java,15
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,RegistrationLockV1Dialog,1,0,12,4,160,28,0,0,0.5,1,10,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/lock/RegistrationLockV1Dialog.java,48
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,SignalPinReminders,8,1,3,3,47,4,0,0,0.6666666666666666,2,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/lock/SignalPinReminders.java,14
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,SignalPinReminderDialog,4,0,7,6,138,12,0,0,0.42857142857142855,1,7,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/lock/SignalPinReminderDialog.java,42
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,SignalPinReminderDialog.V1PinVerifier,1,0,0,0,16,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/lock/SignalPinReminderDialog.java,160
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,SignalPinReminderDialog.V2PinVerifier,1,0,0,0,18,0,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/lock/SignalPinReminderDialog.java,182
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,SignalPinReminderDialog.PinVerifier,0,0,0,0,8,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/lock/SignalPinReminderDialog.java,207
Signal-Android-4.60.5,org.thoughtcrime.securesms.lock,SignalPinReminderDialog.Callback,0,0,0,0,5,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/lock/SignalPinReminderDialog.java,211
