Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeNoCamera,Magic Number,The method contains a magic number: 1080,10
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeNoCamera,Magic Number,The method contains a magic number: 1920,10
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeNoCamera,Magic Number,The method contains a magic number: 160,10
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeNoCamera,Magic Number,The method contains a magic number: 30,10
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeNoCamera,Magic Number,The method contains a magic number: 100,10
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeNoCamera,Magic Number,The method contains a magic number: 1080,10
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeNoCamera,Magic Number,The method contains a magic number: 1920,10
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeNoCamera,Magic Number,The method contains a magic number: 160,10
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeResize,Magic Number,The method contains a magic number: 1080,17
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeResize,Magic Number,The method contains a magic number: 1920,17
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeResize,Magic Number,The method contains a magic number: 160,17
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeResize,Magic Number,The method contains a magic number: 30,17
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeResize,Magic Number,The method contains a magic number: 75,17
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeResize,Magic Number,The method contains a magic number: 810,17
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeResize,Magic Number,The method contains a magic number: 1440,17
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeResize,Magic Number,The method contains a magic number: 160,17
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeFitsInCamera,Magic Number,The method contains a magic number: 1080,24
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeFitsInCamera,Magic Number,The method contains a magic number: 1920,24
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeFitsInCamera,Magic Number,The method contains a magic number: 160,24
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeFitsInCamera,Magic Number,The method contains a magic number: 1920,24
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeFitsInCamera,Magic Number,The method contains a magic number: 1080,24
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeFitsInCamera,Magic Number,The method contains a magic number: 30,24
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeFitsInCamera,Magic Number,The method contains a magic number: 100,24
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeFitsInCamera,Magic Number,The method contains a magic number: 1080,24
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeFitsInCamera,Magic Number,The method contains a magic number: 1920,24
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeFitsInCamera,Magic Number,The method contains a magic number: 160,24
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeFitsInCameraLandscape,Magic Number,The method contains a magic number: 1920,31
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeFitsInCameraLandscape,Magic Number,The method contains a magic number: 1080,31
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeFitsInCameraLandscape,Magic Number,The method contains a magic number: 160,31
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeFitsInCameraLandscape,Magic Number,The method contains a magic number: 1920,31
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeFitsInCameraLandscape,Magic Number,The method contains a magic number: 1080,31
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeFitsInCameraLandscape,Magic Number,The method contains a magic number: 30,31
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeFitsInCameraLandscape,Magic Number,The method contains a magic number: 100,31
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeFitsInCameraLandscape,Magic Number,The method contains a magic number: 1920,31
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeFitsInCameraLandscape,Magic Number,The method contains a magic number: 1080,31
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeFitsInCameraLandscape,Magic Number,The method contains a magic number: 160,31
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCamera,Magic Number,The method contains a magic number: 2160,38
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCamera,Magic Number,The method contains a magic number: 3840,38
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCamera,Magic Number,The method contains a magic number: 160,38
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCamera,Magic Number,The method contains a magic number: 1920,38
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCamera,Magic Number,The method contains a magic number: 1080,38
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCamera,Magic Number,The method contains a magic number: 30,38
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCamera,Magic Number,The method contains a magic number: 100,38
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCamera,Magic Number,The method contains a magic number: 1080,38
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCamera,Magic Number,The method contains a magic number: 1920,38
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCamera,Magic Number,The method contains a magic number: 160,38
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraLandscape,Magic Number,The method contains a magic number: 3840,45
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraLandscape,Magic Number,The method contains a magic number: 2160,45
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraLandscape,Magic Number,The method contains a magic number: 160,45
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraLandscape,Magic Number,The method contains a magic number: 1920,45
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraLandscape,Magic Number,The method contains a magic number: 1080,45
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraLandscape,Magic Number,The method contains a magic number: 30,45
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraLandscape,Magic Number,The method contains a magic number: 100,45
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraLandscape,Magic Number,The method contains a magic number: 1920,45
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraLandscape,Magic Number,The method contains a magic number: 1080,45
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraLandscape,Magic Number,The method contains a magic number: 160,45
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScaling,Magic Number,The method contains a magic number: 1200,52
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScaling,Magic Number,The method contains a magic number: 1920,52
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScaling,Magic Number,The method contains a magic number: 160,52
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScaling,Magic Number,The method contains a magic number: 1920,52
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScaling,Magic Number,The method contains a magic number: 1080,52
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScaling,Magic Number,The method contains a magic number: 30,52
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScaling,Magic Number,The method contains a magic number: 100,52
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScaling,Magic Number,The method contains a magic number: 1080,52
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScaling,Magic Number,The method contains a magic number: 1728,52
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScaling,Magic Number,The method contains a magic number: 160,52
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScalingResizesFirst,Magic Number,The method contains a magic number: 1200,59
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScalingResizesFirst,Magic Number,The method contains a magic number: 1920,59
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScalingResizesFirst,Magic Number,The method contains a magic number: 160,59
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScalingResizesFirst,Magic Number,The method contains a magic number: 1920,59
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScalingResizesFirst,Magic Number,The method contains a magic number: 1080,59
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScalingResizesFirst,Magic Number,The method contains a magic number: 30,59
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScalingResizesFirst,Magic Number,The method contains a magic number: 75,59
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScalingResizesFirst,Magic Number,The method contains a magic number: 900,59
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScalingResizesFirst,Magic Number,The method contains a magic number: 1440,59
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScalingResizesFirst,Magic Number,The method contains a magic number: 160,59
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScalingLandscape,Magic Number,The method contains a magic number: 1920,66
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScalingLandscape,Magic Number,The method contains a magic number: 1200,66
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScalingLandscape,Magic Number,The method contains a magic number: 160,66
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScalingLandscape,Magic Number,The method contains a magic number: 1920,66
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScalingLandscape,Magic Number,The method contains a magic number: 1080,66
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScalingLandscape,Magic Number,The method contains a magic number: 30,66
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScalingLandscape,Magic Number,The method contains a magic number: 100,66
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScalingLandscape,Magic Number,The method contains a magic number: 1728,66
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScalingLandscape,Magic Number,The method contains a magic number: 1080,66
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScalingLandscape,Magic Number,The method contains a magic number: 160,66
Telecine-1.6.2,com.jakewharton.telecine,TelecineShortcutConfigureActivity,onCreate,Long Statement,The length of the statement "analytics.send(new HitBuilders.EventBuilder().setCategory(Analytics.CATEGORY_SHORTCUT).setAction(Analytics.ACTION_SHORTCUT_ADDED).build());" is 139.,14
Telecine-1.6.2,com.jakewharton.telecine,VideoSizePercentageAdapter,getSelectedPosition,Magic Number,The method contains a magic number: 100,12
Telecine-1.6.2,com.jakewharton.telecine,VideoSizePercentageAdapter,getSelectedPosition,Magic Number,The method contains a magic number: 75,12
Telecine-1.6.2,com.jakewharton.telecine,VideoSizePercentageAdapter,getSelectedPosition,Magic Number,The method contains a magic number: 50,12
Telecine-1.6.2,com.jakewharton.telecine,VideoSizePercentageAdapter,getSelectedPosition,Magic Number,The method contains a magic number: 2,12
Telecine-1.6.2,com.jakewharton.telecine,VideoSizePercentageAdapter,getSelectedPosition,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@e2f6a45,12
Telecine-1.6.2,com.jakewharton.telecine,VideoSizePercentageAdapter,getCount,Magic Number,The method contains a magic number: 3,27
Telecine-1.6.2,com.jakewharton.telecine,VideoSizePercentageAdapter,getItem,Magic Number,The method contains a magic number: 100,31
Telecine-1.6.2,com.jakewharton.telecine,VideoSizePercentageAdapter,getItem,Magic Number,The method contains a magic number: 75,31
Telecine-1.6.2,com.jakewharton.telecine,VideoSizePercentageAdapter,getItem,Magic Number,The method contains a magic number: 2,31
Telecine-1.6.2,com.jakewharton.telecine,VideoSizePercentageAdapter,getItem,Magic Number,The method contains a magic number: 50,31
Telecine-1.6.2,com.jakewharton.telecine,VideoSizePercentageAdapter,getItem,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@24cbf894,31
Telecine-1.6.2,com.jakewharton.telecine,TelecineService,onStart,Long Statement,The length of the statement "Notification notification=new Notification.Builder(context).setContentTitle(title).setContentText(subtitle).setSmallIcon(R.drawable.ic_videocam_white_24dp).setColor(context.getResources().getColor(R.color.primary_normal)).setAutoCancel(true).setPriority(PRIORITY_MIN).build();" is 276.,43
Telecine-1.6.2,com.jakewharton.telecine,TelecineService,onStartCommand,Long Statement,The length of the statement "recordingSession=new RecordingSession(this`listener`resultCode`data`analytics`showCountdownProvider`videoSizePercentageProvider);" is 129.,80
Telecine-1.6.2,com.jakewharton.telecine,OverlayView,createLayoutParams,Long Statement,The length of the statement "final WindowManager.LayoutParams params=new WindowManager.LayoutParams(width`WRAP_CONTENT`TYPE_SYSTEM_ERROR`FLAG_NOT_FOCUSABLE | FLAG_NOT_TOUCH_MODAL | FLAG_LAYOUT_NO_LIMITS| FLAG_LAYOUT_INSET_DECOR| FLAG_LAYOUT_IN_SCREEN`TRANSLUCENT);" is 235.,45
Telecine-1.6.2,com.jakewharton.telecine,OverlayView,onCancelClicked,Long Statement,The length of the statement "animate().translationX(animationWidth).setDuration(DURATION_ENTER_EXIT).setInterpolator(new AccelerateInterpolator()).withEndAction(new Runnable(){" is 147.,127
Telecine-1.6.2,com.jakewharton.telecine,OverlayView,onStartClicked,Magic Number,The method contains a magic number: 2,138
Telecine-1.6.2,com.jakewharton.telecine,OverlayView,onStartClicked,Magic Number,The method contains a magic number: 2,138
Telecine-1.6.2,com.jakewharton.telecine,OverlayView,onStartClicked,Magic Number,The method contains a magic number: 2f,138
Telecine-1.6.2,com.jakewharton.telecine,CheatSheet,showCheatSheet,Long Statement,The length of the statement "cheatSheet.setGravity(Gravity.TOP | Gravity.CENTER_HORIZONTAL`viewCenterX - screenWidth / 2`screenPos[1] - displayFrame.top + viewHeight);" is 138.,105
Telecine-1.6.2,com.jakewharton.telecine,CheatSheet,showCheatSheet,Long Statement,The length of the statement "cheatSheet.setGravity(Gravity.TOP | Gravity.CENTER_HORIZONTAL`viewCenterX - screenWidth / 2`screenPos[1] - displayFrame.top - estimatedToastHeight);" is 148.,105
Telecine-1.6.2,com.jakewharton.telecine,CheatSheet,showCheatSheet,Magic Number,The method contains a magic number: 2,105
Telecine-1.6.2,com.jakewharton.telecine,CheatSheet,showCheatSheet,Magic Number,The method contains a magic number: 2,105
Telecine-1.6.2,com.jakewharton.telecine,CheatSheet,showCheatSheet,Magic Number,The method contains a magic number: 2,105
Telecine-1.6.2,com.jakewharton.telecine,CheatSheet,showCheatSheet,Magic Number,The method contains a magic number: 2,105
Telecine-1.6.2,com.jakewharton.telecine,TelecineModule,provideAnalytics,Magic Number,The method contains a magic number: 300,31
Telecine-1.6.2,com.jakewharton.telecine,TelecineModule,provideRecordingNotificationPreference,Long Identifier,The length of the field DEFAULT_RECORDING_NOTIFICATION is 30.,63
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,RecordingSession,Long Parameter List,The method has 7 parameters. ,97
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,showOverlay,Long Statement,The length of the statement "analytics.send(new HitBuilders.EventBuilder().setCategory(Analytics.CATEGORY_RECORDING).setAction(Analytics.ACTION_OVERLAY_SHOW).build());" is 138.,116
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,hideOverlay,Long Statement,The length of the statement "analytics.send(new HitBuilders.EventBuilder().setCategory(Analytics.CATEGORY_RECORDING).setAction(Analytics.ACTION_OVERLAY_HIDE).build());" is 138.,145
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,cancelOverlay,Long Statement,The length of the statement "analytics.send(new HitBuilders.EventBuilder().setCategory(Analytics.CATEGORY_RECORDING).setAction(Analytics.ACTION_OVERLAY_CANCEL).build());" is 140.,158
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,getRecordingInfo,Long Statement,The length of the statement "return calculateRecordingInfo(displayWidth`displayHeight`displayDensity`isLandscape`cameraWidth`cameraHeight`cameraFrameRate`sizePercentage);" is 141.,168
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,getRecordingInfo,Magic Number,The method contains a magic number: 30,168
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,startRecording,Long Statement,The length of the statement "display=projection.createVirtualDisplay(DISPLAY_NAME`recordingInfo.width`recordingInfo.height`recordingInfo.density`VIRTUAL_DISPLAY_FLAG_PRESENTATION`surface`null`null);" is 169.,195
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,startRecording,Long Statement,The length of the statement "analytics.send(new HitBuilders.EventBuilder().setCategory(Analytics.CATEGORY_RECORDING).setAction(Analytics.ACTION_RECORDING_START).build());" is 141.,195
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,startRecording,Magic Number,The method contains a magic number: 8,195
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,startRecording,Magic Number,The method contains a magic number: 1000,195
