Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeNoCamera,6,1,0,10,1,,
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeResize,6,1,0,17,1,,
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeFitsInCamera,6,1,0,24,1,,
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeFitsInCameraLandscape,6,1,0,31,1,,
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCamera,6,1,0,38,1,,
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraLandscape,6,1,0,45,1,,
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScaling,6,1,0,52,1,,
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScalingResizesFirst,6,1,0,59,1,,
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,videoSizeLargerThanCameraScalingLandscape,6,1,0,66,1,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineShortcutConfigureActivity,onCreate,13,1,1,14,0,,
Telecine-1.6.2,com.jakewharton.telecine,VideoSizePercentageAdapter,getSelectedPosition,0,4,1,12,0,,
Telecine-1.6.2,com.jakewharton.telecine,VideoSizePercentageAdapter,VideoSizePercentageAdapter,3,1,1,23,0,,
Telecine-1.6.2,com.jakewharton.telecine,VideoSizePercentageAdapter,getCount,3,1,0,27,0,,
Telecine-1.6.2,com.jakewharton.telecine,VideoSizePercentageAdapter,getItem,0,4,1,31,0,,
Telecine-1.6.2,com.jakewharton.telecine,VideoSizePercentageAdapter,getItemId,3,1,1,40,0,,
Telecine-1.6.2,com.jakewharton.telecine,VideoSizePercentageAdapter,getView,8,2,3,44,0,com.jakewharton.telecine.VideoSizePercentageAdapter,com.jakewharton.telecine.VideoSizePercentageAdapter
Telecine-1.6.2,com.jakewharton.telecine,TelecineService,newIntent,6,1,3,24,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineService,onStart,14,3,0,43,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineService,onStop,5,2,0,68,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineService,onEnd,4,1,0,74,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineService,onStartCommand,17,3,3,80,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineService,onDestroy,4,1,0,104,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineService,onBind,3,1,1,109,0,,
Telecine-1.6.2,com.jakewharton.telecine,OverlayView,create,3,1,3,41,0,,
Telecine-1.6.2,com.jakewharton.telecine,OverlayView,createLayoutParams,6,1,1,45,0,com.jakewharton.telecine.OverlayView,com.jakewharton.telecine.OverlayView
Telecine-1.6.2,com.jakewharton.telecine,OverlayView,gravityEndLocaleHack,4,1,0,59,0,,
Telecine-1.6.2,com.jakewharton.telecine,OverlayView,OverlayView,12,2,3,93,0,,
Telecine-1.6.2,com.jakewharton.telecine,OverlayView,onApplyWindowInsets,6,1,1,109,0,,
Telecine-1.6.2,com.jakewharton.telecine,OverlayView,onAttachedToWindow,5,1,0,118,0,,
Telecine-1.6.2,com.jakewharton.telecine,OverlayView,onCancelClicked,8,1,0,127,0,,
Telecine-1.6.2,com.jakewharton.telecine,OverlayView,run,3,1,0,132,0,,
Telecine-1.6.2,com.jakewharton.telecine,OverlayView,onStartClicked,24,2,0,138,0,com.jakewharton.telecine.OverlayView,com.jakewharton.telecine.OverlayView
Telecine-1.6.2,com.jakewharton.telecine,OverlayView,onAnimationEnd,3,1,1,144,0,,
Telecine-1.6.2,com.jakewharton.telecine,OverlayView,run,8,2,0,151,0,com.jakewharton.telecine.OverlayView,com.jakewharton.telecine.OverlayView
Telecine-1.6.2,com.jakewharton.telecine,OverlayView,startRecording,11,1,0,161,0,,
Telecine-1.6.2,com.jakewharton.telecine,OverlayView,onClick,3,1,1,165,0,,
Telecine-1.6.2,com.jakewharton.telecine,OverlayView,showCountDown,4,1,0,172,0,com.jakewharton.telecine.OverlayView,com.jakewharton.telecine.OverlayView
Telecine-1.6.2,com.jakewharton.telecine,OverlayView,countdownComplete,8,1,0,177,0,com.jakewharton.telecine.OverlayView,com.jakewharton.telecine.OverlayView
Telecine-1.6.2,com.jakewharton.telecine,OverlayView,run,3,1,0,182,0,com.jakewharton.telecine.OverlayView,com.jakewharton.telecine.OverlayView
Telecine-1.6.2,com.jakewharton.telecine,OverlayView,countdown,14,2,2,188,0,com.jakewharton.telecine.OverlayView,com.jakewharton.telecine.OverlayView
Telecine-1.6.2,com.jakewharton.telecine,OverlayView,run,9,2,0,190,0,com.jakewharton.telecine.OverlayView,com.jakewharton.telecine.OverlayView
Telecine-1.6.2,com.jakewharton.telecine,CheatSheet,setup,8,1,1,42,0,com.jakewharton.telecine.CheatSheet,com.jakewharton.telecine.CheatSheet
Telecine-1.6.2,com.jakewharton.telecine,CheatSheet,onLongClick,3,1,1,52,0,com.jakewharton.telecine.CheatSheet,com.jakewharton.telecine.CheatSheet
Telecine-1.6.2,com.jakewharton.telecine,CheatSheet,setup,8,1,2,59,0,com.jakewharton.telecine.CheatSheet,com.jakewharton.telecine.CheatSheet
Telecine-1.6.2,com.jakewharton.telecine,CheatSheet,onLongClick,3,1,1,70,0,com.jakewharton.telecine.CheatSheet,com.jakewharton.telecine.CheatSheet
Telecine-1.6.2,com.jakewharton.telecine,CheatSheet,setup,8,1,2,77,0,com.jakewharton.telecine.CheatSheet,com.jakewharton.telecine.CheatSheet
Telecine-1.6.2,com.jakewharton.telecine,CheatSheet,onLongClick,3,1,1,88,0,com.jakewharton.telecine.CheatSheet,com.jakewharton.telecine.CheatSheet
Telecine-1.6.2,com.jakewharton.telecine,CheatSheet,remove,3,1,1,95,0,,
Telecine-1.6.2,com.jakewharton.telecine,CheatSheet,showCheatSheet,25,3,2,105,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineApplication,onCreate,21,2,0,13,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineApplication,run,4,1,1,25,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineApplication,injector,3,1,0,39,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineComponent,inject,0,1,1,9,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineComponent,inject,0,1,1,10,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineComponent,inject,0,1,1,11,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineComponent,inject,0,1,1,13,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineComponent,inject,0,1,1,14,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineModule,TelecineModule,3,1,1,27,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineModule,provideAnalytics,14,2,0,31,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineModule,send,3,1,1,34,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineModule,provideContentResolver,3,1,0,46,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineModule,provideSharedPreferences,3,1,0,50,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineModule,provideShowCountdownPreference,3,1,1,54,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineModule,provideShowCountdown,3,1,1,59,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineModule,provideRecordingNotificationPreference,3,1,1,63,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineModule,provideRecordingNotification,3,1,1,68,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineModule,provideHideFromRecentsPreference,3,1,1,73,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineModule,provideShowTouchesPreference,3,1,1,78,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineModule,provideShowTouches,3,1,1,83,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineModule,provideVideoSizePercentagePreference,3,1,1,87,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineModule,provideVideoSizePercentage,3,1,1,92,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineShortcutLaunchActivity,createQuickTileIntent,5,1,1,13,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineShortcutLaunchActivity,onCreate,10,2,1,21,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineShortcutLaunchActivity,onActivityResult,6,2,3,38,0,,
Telecine-1.6.2,com.jakewharton.telecine,TelecineShortcutLaunchActivity,onStop,6,2,0,45,0,,
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,RecordingSession,14,1,7,97,0,,
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,showOverlay,21,1,0,116,0,com.jakewharton.telecine.RecordingSession,com.jakewharton.telecine.RecordingSession
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,onCancel,3,1,0,120,0,com.jakewharton.telecine.RecordingSession,com.jakewharton.telecine.RecordingSession
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,onStart,3,1,0,124,0,com.jakewharton.telecine.RecordingSession,com.jakewharton.telecine.RecordingSession
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,onStop,3,1,0,128,0,com.jakewharton.telecine.RecordingSession,com.jakewharton.telecine.RecordingSession
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,onResize,3,1,0,132,0,,
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,hideOverlay,8,2,0,145,0,,
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,cancelOverlay,5,1,0,158,0,com.jakewharton.telecine.RecordingSession,com.jakewharton.telecine.RecordingSession
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,getRecordingInfo,20,1,0,168,0,com.jakewharton.telecine.RecordingSession,com.jakewharton.telecine.RecordingSession
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,startRecording,36,2,0,195,0,com.jakewharton.telecine.RecordingSession,com.jakewharton.telecine.RecordingSession
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,stopRecording,43,4,0,248,0,com.jakewharton.telecine.RecordingSession,com.jakewharton.telecine.RecordingSession
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,onScanCompleted,10,2,2,297,0,com.jakewharton.telecine.RecordingSession,com.jakewharton.telecine.RecordingSession
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,run,3,1,0,301,0,com.jakewharton.telecine.RecordingSession,com.jakewharton.telecine.RecordingSession
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,showNotification,41,4,2,309,0,com.jakewharton.telecine.RecordingSession,com.jakewharton.telecine.RecordingSession
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,doInBackground,5,1,1,358,0,,
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,onPostExecute,8,2,1,364,0,com.jakewharton.telecine.RecordingSession,com.jakewharton.telecine.RecordingSession
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,calculateRecordingInfo,19,4,8,374,0,,
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,createSquareBitmap,15,2,1,416,0,,
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,destroy,6,2,0,433,0,com.jakewharton.telecine.RecordingSession,com.jakewharton.telecine.RecordingSession
Telecine-1.6.2,com.jakewharton.telecine,BugsnagTree,log,12,3,4,20,0,com.jakewharton.telecine.BugsnagTree,com.jakewharton.telecine.BugsnagTree
Telecine-1.6.2,com.jakewharton.telecine,BugsnagTree,update,8,2,1,34,0,,
Telecine-1.6.2,com.jakewharton.telecine,BugsnagTree,priorityToString,0,5,1,43,0,,
Telecine-1.6.2,com.jakewharton.telecine,CaptureHelper,CaptureHelper,3,1,0,14,0,,
Telecine-1.6.2,com.jakewharton.telecine,CaptureHelper,fireScreenCaptureIntent,6,1,2,18,0,,
Telecine-1.6.2,com.jakewharton.telecine,CaptureHelper,handleActivityResult,14,3,5,30,0,,
Telecine-1.6.2,com.jakewharton.telecine,Analytics,send,0,1,1,32,0,,
Telecine-1.6.2,com.jakewharton.telecine,BooleanPreference,BooleanPreference,3,1,2,10,0,,
Telecine-1.6.2,com.jakewharton.telecine,BooleanPreference,BooleanPreference,5,1,3,14,0,,
Telecine-1.6.2,com.jakewharton.telecine,BooleanPreference,get,3,1,0,20,0,,
