Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
Telecine-1.6.2,com.jakewharton.telecine,RecordingSessionTest,0,0,9,9,56,9,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/test/java/com/jakewharton/telecine/RecordingSessionTest.java,9
Telecine-1.6.2,com.jakewharton.telecine,TelecineShortcutConfigureActivity,1,0,1,0,16,1,0,0,0.0,1,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineShortcutConfigureActivity.java,11
Telecine-1.6.2,com.jakewharton.telecine,VideoSizePercentageAdapter,1,0,6,4,0,13,0,0,0.6666666666666666,1,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/VideoSizePercentageAdapter.java,11
Telecine-1.6.2,com.jakewharton.telecine,TelecineService,13,0,7,6,70,12,0,0,0.5714285714285714,2,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineService.java,18
Telecine-1.6.2,com.jakewharton.telecine,OverlayView,11,0,18,7,136,23,0,0,0.1111111111111111,1,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/OverlayView.java,35
Telecine-1.6.2,com.jakewharton.telecine,OverlayView.Listener,0,0,0,0,18,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/OverlayView.java,65
Telecine-1.6.2,com.jakewharton.telecine,CheatSheet,1,0,8,7,82,10,0,0,0.25,2,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/CheatSheet.java,26
Telecine-1.6.2,com.jakewharton.telecine,TelecineApplication,1,0,3,2,27,4,0,0,0.6666666666666666,1,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineApplication.java,9
Telecine-1.6.2,com.jakewharton.telecine,TelecineComponent,0,0,5,0,7,5,0,0,-1.0,1,5,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineComponent.java,6
Telecine-1.6.2,com.jakewharton.telecine,TelecineModule,7,0,14,1,59,15,0,0,0.7857142857142857,1,4,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineModule.java,16
Telecine-1.6.2,com.jakewharton.telecine,TelecineShortcutLaunchActivity,2,0,4,0,31,7,0,0,0.5,2,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineShortcutLaunchActivity.java,10
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,27,0,19,6,279,34,0,0,0.0,2,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/RecordingSession.java,53
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession.Listener,0,0,0,0,14,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/RecordingSession.java,59
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession.RecordingInfo,4,0,0,0,12,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/RecordingSession.java,402
Telecine-1.6.2,com.jakewharton.telecine,BugsnagTree,2,0,3,0,0,10,0,0,0.0,1,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/BugsnagTree.java,11
Telecine-1.6.2,com.jakewharton.telecine,CaptureHelper,1,0,3,0,26,5,0,0,0.6666666666666666,2,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/CaptureHelper.java,11
Telecine-1.6.2,com.jakewharton.telecine,Analytics,23,0,1,0,37,1,1,0,-1.0,8,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/Analytics.java,6
Telecine-1.6.2,com.jakewharton.telecine,Analytics.GoogleAnalytics,1,0,0,0,9,0,0,1,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/Analytics.java,35
Telecine-1.6.2,com.jakewharton.telecine,BooleanPreference,3,0,6,6,25,6,0,0,0.0,2,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/BooleanPreference.java,5
Telecine-1.6.2,com.jakewharton.telecine,TelecineActivity,15,0,10,0,106,18,0,0,0.0,1,6,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineActivity.java,28
Telecine-1.6.2,com.jakewharton.telecine,IntPreference,3,0,6,6,25,6,0,0,0.0,2,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/IntPreference.java,5
Telecine-1.6.2,com.jakewharton.telecine,TelecineTileService,1,0,6,6,27,6,0,0,0.8333333333333334,1,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineTileService.java,11
Telecine-1.6.2,com.jakewharton.telecine,DeleteRecordingBroadcastReceiver,0,0,2,1,21,4,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/DeleteRecordingBroadcastReceiver.java,15
