Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
Telegram-6.1.1_1946,androidx.recyclerview.widget,LinearSmoothScrollerEnd,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): RecyclerView
Telegram-6.1.1_1946,androidx.recyclerview.widget,LinearSmoothScrollerEnd,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: CameraScanActivity; CameraView; CameraSession; ApplicationLoader; TLRPC; TLObject; NativeByteBuffer; BuildVars; FileLog; DispatchQueue; AbstractSerializedData; ScreenReceiver; UserConfig; SerializedData; AccountInstance; MessagesController; Theme; BackgroundGradientDrawable; AndroidUtilities; CallReceiver; NotificationCenter; PhoneFormat; BaseFragment; ActionBarLayout; DrawerLayoutContainer; AdjustPanLayoutHelper; SharedConfig; Utilities; FileLoader; SecureDocument; WebFile; FileLoadOperation; ImageLocation; DocumentObject; ChatObject; MediaDataController; StickersArchiveAlert; RecyclerListView; RecyclerView; AdapterHelper; OpReorderer; ChildHelper; ViewInfoStore; GapWorker; RecyclerViewAccessibilityDelegate; LinearLayoutManager; LayoutState; OrientationHelper; LinearSmoothScroller; ItemTouchHelper; ItemTouchUIUtilImpl; ItemTouchUIUtil; ScrollbarHelper; LocaleController; ConnectionsManager; RequestDelegate; StatsController; TLClassStore; KeepAliveJob; UserObject; ContactsController; LayoutHelper; MessageObject; VideoEditedInfo; Emoji; MediaController; PhotoFilterView; PhotoFilterBlurControl; PhotoFilterCurvesControl; RadioButton; ChatActivity; ChatActivityEnterView; SeekBarWaveform; SeekBar; EditTextCaption; TextStyleSpan; AlertDialog; RLottieImageView; RLottieDrawable; LineProgressView; RadialProgressView; EditTextBoldCursor; FloatingToolbar; FloatingActionMode; SimpleTextView; ActionBarPopupWindow; EmojiView; PagerSlidingTabStrip; ScrollSlidingTabStrip; AvatarDrawable; BackupImageView; ImageReceiver; AnimatedFileDrawable; AnimatedFileDrawableStream; ImageLoader; Bitmaps; ChatMessageCell; RadialProgress2; MediaActionDrawable; CheckBoxBase; RoundVideoPlayingDrawable; TimerParticles; TypefaceSpan; LinkPath; URLSpanBrowser; Browser; CustomTabsHelper; TextSelectionHelper; URLSpanNoUnderline; URLSpanBotCommand; DownloadController; DownloadObject; SendMessagesHelper; AlertsCreator; LaunchActivity; DrawerLayoutAdapter; DrawerProfileCell; SnowflakesEffect; SideMenultItemAnimator; DrawerActionCell; DrawerUserCell; GroupCreateCheckBox; NotificationsController; NotificationImageProvider; NotificationBadge; WearDataLayerListenerService; MessagesStorage; SQLiteDatabase; SQLitePreparedStatement; SQLiteCursor; DialogObject; PasscodeView; FingerprintManagerCompat; FingerprintManagerCompatApi23; TermsOfServiceView; BlockingUpdateView; RadialProgress; DialogsActivity; DialogsAdapter; ArchiveHintCell; BottomPagesView; PullForegroundDrawable; DialogCell; CheckBox2; StaticLayoutEx; HeaderCell; DialogsEmptyCell; ActionBar; ActionBarMenu; ActionBarMenuItem; CloseProgressDrawable2; ActionBarMenuSubItem; FireworksEffect; BackDrawable; MenuDrawable; DialogMeUrlCell; UserCell; CheckBox; CheckBoxSquare; NotificationsSettingsActivity; ThemeDescription; RecyclerAnimationScrollHelper; DialogsItemAnimator; AnimationProperties; ClippingImageView; PhotoViewer; PickerBottomLayoutViewer; GroupedPhotosListView; Tooltip; VideoForwardDrawable; PhotoCropView; CropView; CropAreaView; CropGestureDetector; CropState; CropRotationWheel; PhotoPaintView; UndoStore; Brush; RenderView; Painting; Path; Slice; Shader; Render; ShaderSet; Input; EntitiesContainerView; EntityView; ColorPicker; StickerMasksView; GridLayoutManager; ContentPreviewViewer; BottomSheet; ContextLinkCell; LetterDrawable; StickerEmojiCell; StickerCell; StickerView; TextPaintView; ChatAttachAlert; ChatAttachAlertPhotoLayout; EmptyTextProgressView; RecyclerViewItemRangeSelector; ShutterButton; ZoomControlView; PhotoAttachPhotoCell; PhotoAttachCameraCell; CameraController; ChatAttachAlertContactsLayout; SearchField; FillLastLinearLayoutManager; ChatAttachAlertAudioLayout; SharedAudioCell; ChatAttachAlertPollLayout; SimpleItemAnimator; HintView; PollEditTextCell; ChatAttachAlertLocationLayout; LocationActivityAdapter; SendLocationCell; LocationController; LocationDirectionCell; LocationCell; SharingLiveLocationCell; LocationActivity; LocationActivitySearchAdapter; ChatAttachAlertDocumentLayout; PhotoPickerActivity; EditTextEmoji; SizeNotifierFrameLayout; WallpaperParallaxEffect; SharedDocumentCell; PhotoViewerCaptionEnterView; SizeNotifierFrameLayoutPhoto; VideoPlayer; SimpleExoPlayer; ExoPlayerFactory; VideoSeekPreviewImage; PipVideoView; EmbedBottomSheet; WebPlayerView; MentionsAdapter; SearchAdapterHelper; ChatUsersActivity; UndoView; TableLayout; ArticleViewer; ContextProgressView; SeekBarView; AnimatedArrowDrawable; ChatRightsEditActivity; TwoStepVerificationActivity; EditTextSettingsCell; SRPHelper; PassportActivity; TextSettingsCell; TextDetailSettingsCell; ShadowSectionCell; TextInfoPrivacyCell; HintEditText; CheckBoxCell; MrzRecognizer; TooManyCommunitiesActivity; TooManyCommunitiesHintCell; GroupCreateActivity; GroupCreateDividerItemDecoration; GroupCreateSpan; GroupCreateUserCell; VideoTimelinePlayView; MediaActivity; NumberTextView; FragmentContextView; VoIPService; TgVoip; XiaomiUtilities; VoIPActivity; FabBackgroundDrawable; CallSwipeView; IdenticonDrawable; VoIPBaseService; VoIPController; VoIPServerConfig; VoIPHelper; BetterRatingView; TextCheckCell; Switch; DarkTheme; ScrollSlidingTextTabStrip; SharedMediaLayout; ExtendedGridLayoutManager; ChatActionCell; ProfileActivity; ScamDrawable; ProfileGalleryView; ChatEditActivity; ImageUpdater; PhotoAlbumPickerActivity; PhotoPickerSearchActivity; PhotoCropActivity; TextDetailCell; TextCell; StatisticActivity; ChatAvatarContainer; TimerDrawable; BaseChartView; ChartPickerDelegate; LegendSignatureView; ChartHeaderView; LineViewData; ChartHorizontalLinesData; FlatCheckBox; SecretChatHelper; MessageKeyData; SharedLinkCell; SharedPhotoVideoCell; StickersAlert; ShareAlert; StickerSetBulletinLayout; Bulletin; FileRefController; LinearSmoothScrollerEnd; OtherDocumentPlaceholderDrawable; DialogsSearchAdapter; ProfileSearchCell; GraySectionCell; HashtagSearchCell; ProxyDrawable; FilterTabsView; PacmanAnimation; AccountSelectCell; LinearSmoothScrollerCustom; NewContactActivity; FilterCreateActivity; SettingsActivity; ThemeActivity; ThemesHorizontalListCell; ThemePreviewMessagesCell; ThemePreviewActivity; WallpaperCheckBoxView; WallpapersListActivity; WallpaperUpdater; WallpaperCell; ActionIntroActivity; GroupCreateFinalActivity; ChannelCreateActivity; TextBlockCell; RadioButtonCell; LoadingCell; SessionsActivity; FiltersSetupActivity; ProgressButton; ViewHelper; PhonebookShareAlert; ThemeEditorView; PipRoundVideoView; LanguageCell; SecretMediaViewer; RadioColorCell; NumberPicker; TextColorCell; URLSpanMono; FeaturedStickerSetInfoCell; TrendingStickersLayout; StickersSearchAdapter; StickerSetNameCell; FillLastGridLayoutManager; VideoTimelineView; BotKeyboardView; TrendingStickersAlert; GroupStickersActivity; GridLayoutManagerFixed; ChatBigEmptyView; StickersAdapter; EmojiReplacementCell; InstantCameraView; BlurBehindDrawable; MessagesSearchAdapter; TextSelectionHint; FireworksOverlay; PollCreateActivity; URLSpanReplacement; WebviewActivity; MediaCodecVideoConvertor; AudioRecoder; URLSpanUserMention; FileUploadOperation; PickerBottomLayout; ForegroundDetector; GcmPushListenerService; NativeLoader
Telegram-6.1.1_1946,androidx.recyclerview.widget,ItemTouchHelper,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: UP; DOWN; LEFT; RIGHT; START; END; ACTION_STATE_IDLE; ACTION_STATE_SWIPE; ACTION_STATE_DRAG; ANIMATION_TYPE_SWIPE_SUCCESS; ANIMATION_TYPE_SWIPE_CANCEL; ANIMATION_TYPE_DRAG; TAG; DEBUG; ACTIVE_POINTER_ID_NONE; DIRECTION_FLAG_COUNT; ACTION_MODE_IDLE_MASK; ACTION_MODE_SWIPE_MASK; ACTION_MODE_DRAG_MASK; PIXELS_PER_SECOND; mPendingCleanup; mTmpPosition; mSelected; mInitialTouchX; mInitialTouchY; mSwipeEscapeVelocity; mMaxSwipeVelocity; mDx; mDy; mSelectedStartX; mSelectedStartY; mActivePointerId; mCallback; mActionState; mSelectedFlags; mRecoverAnimations; mSlop; mRecyclerView; mScrollRunnable; mVelocityTracker; mSwapTargets; mDistances; mChildDrawingOrderCallback; mOverdrawChild; mOverdrawChildPosition; mGestureDetector; mItemTouchHelperGestureListener; mOnItemTouchListener; mTmpRect; mDragScrollStartTimeInMs; DEFAULT_DRAG_ANIMATION_DURATION; DEFAULT_SWIPE_ANIMATION_DURATION; RELATIVE_DIR_FLAGS; ABS_HORIZONTAL_DIR_FLAGS; sDragScrollInterpolator; sDragViewScrollCapInterpolator; DRAG_SCROLL_ACCELERATION_LIMIT_TIME_MS; mCachedMaxScrollSpeed; mDefaultSwipeDirs; mDefaultDragDirs; mShouldReactToLongPress; mStartDx; mStartDy; mTargetX; mTargetY; mViewHolder; mActionState; mValueAnimator; mAnimationType; mIsPendingCleanup; mX; mY; mOverridden; mEnded; mFraction
Telegram-6.1.1_1946,androidx.recyclerview.widget,ItemTouchHelper,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 42 methods
Telegram-6.1.1_1946,androidx.recyclerview.widget,ItemTouchHelper.ViewDropHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Telegram-6.1.1_1946,androidx.recyclerview.widget,ItemTouchHelper.Callback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Telegram-6.1.1_1946,androidx.recyclerview.widget,ItemTouchHelper.Callback,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_DRAG_ANIMATION_DURATION; DEFAULT_SWIPE_ANIMATION_DURATION; RELATIVE_DIR_FLAGS; ABS_HORIZONTAL_DIR_FLAGS; sDragScrollInterpolator; sDragViewScrollCapInterpolator; DRAG_SCROLL_ACCELERATION_LIMIT_TIME_MS; mCachedMaxScrollSpeed
Telegram-6.1.1_1946,androidx.recyclerview.widget,ItemTouchHelper.Callback,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: DEFAULT_DRAG_ANIMATION_DURATION; DEFAULT_SWIPE_ANIMATION_DURATION; RELATIVE_DIR_FLAGS; ABS_HORIZONTAL_DIR_FLAGS; sDragScrollInterpolator; sDragViewScrollCapInterpolator; DRAG_SCROLL_ACCELERATION_LIMIT_TIME_MS; mCachedMaxScrollSpeed
Telegram-6.1.1_1946,androidx.recyclerview.widget,ItemTouchHelper.SimpleCallback,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mDefaultSwipeDirs; mDefaultDragDirs
Telegram-6.1.1_1946,androidx.recyclerview.widget,ItemTouchHelper.SimpleCallback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
