Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
Telegram-6.1.1_1946,androidx.recyclerview.widget,LinearSmoothScrollerEnd,LinearSmoothScrollerEnd,3,1,1,36,0,,
Telegram-6.1.1_1946,androidx.recyclerview.widget,LinearSmoothScrollerEnd,onStart,2,1,0,40,0,,
Telegram-6.1.1_1946,androidx.recyclerview.widget,LinearSmoothScrollerEnd,onTargetFound,7,2,3,45,0,androidx.recyclerview.widget.LinearSmoothScrollerEnd,androidx.recyclerview.widget.LinearSmoothScrollerEnd
Telegram-6.1.1_1946,androidx.recyclerview.widget,LinearSmoothScrollerEnd,onSeekTargetStep,11,3,4,54,0,androidx.recyclerview.widget.LinearSmoothScrollerEnd,androidx.recyclerview.widget.LinearSmoothScrollerEnd
Telegram-6.1.1_1946,androidx.recyclerview.widget,LinearSmoothScrollerEnd,onStop,4,1,0,68,0,,
Telegram-6.1.1_1946,androidx.recyclerview.widget,LinearSmoothScrollerEnd,calculateTimeForDeceleration,3,1,1,74,0,androidx.recyclerview.widget.LinearSmoothScrollerEnd,androidx.recyclerview.widget.LinearSmoothScrollerEnd
Telegram-6.1.1_1946,androidx.recyclerview.widget,LinearSmoothScrollerEnd,calculateTimeForScrolling,3,1,1,78,0,,
Telegram-6.1.1_1946,androidx.recyclerview.widget,LinearSmoothScrollerEnd,updateActionForInterimTarget,15,2,1,82,0,androidx.recyclerview.widget.LinearSmoothScrollerEnd,androidx.recyclerview.widget.LinearSmoothScrollerEnd
Telegram-6.1.1_1946,androidx.recyclerview.widget,LinearSmoothScrollerEnd,clampApplyScroll,8,2,2,105,0,,
Telegram-6.1.1_1946,androidx.recyclerview.widget,LinearSmoothScrollerEnd,calculateDxToMakeVisible,27,5,1,114,0,,
Telegram-6.1.1_1946,androidx.recyclerview.widget,LinearSmoothScrollerEnd,computeScrollVectorForPosition,7,2,1,143,0,,
Telegram-6.1.1_1946,androidx.recyclerview.widget,ItemTouchHelper,run,9,3,0,259,0,androidx.recyclerview.widget.ItemTouchHelper,androidx.recyclerview.widget.ItemTouchHelper
Telegram-6.1.1_1946,androidx.recyclerview.widget,ItemTouchHelper,onInterceptTouchEvent,43,11,2,315,0,androidx.recyclerview.widget.ItemTouchHelper,androidx.recyclerview.widget.ItemTouchHelper
Telegram-6.1.1_1946,androidx.recyclerview.widget,ItemTouchHelper,onTouchEvent,53,13,2,361,0,androidx.recyclerview.widget.ItemTouchHelper,androidx.recyclerview.widget.ItemTouchHelper
Telegram-6.1.1_1946,androidx.recyclerview.widget,ItemTouchHelper,onRequestDisallowInterceptTouchEvent,6,2,1,419,0,androidx.recyclerview.widget.ItemTouchHelper,androidx.recyclerview.widget.ItemTouchHelper
