Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
Telegram-6.1.1_1946,androidx.recyclerview.widget,ItemTouchHelper.Callback,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,ItemTouchHelper.SimpleCallback,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,AsyncDifferConfig.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,AsyncListUtil.DataCallback,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,AsyncListUtil.ViewCallback,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,DiffUtil.Callback,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,DiffUtil.ItemCallback,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,DiffUtil.DiffResult,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,StaggeredGridLayoutManager.LayoutParams,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,StaggeredGridLayoutManager.SavedState,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,SortedList.Callback,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,SortedList.BatchedCallback,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,TileList.Tile,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,GridLayoutManager.SpanSizeLookup,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,GridLayoutManager.DefaultSpanSizeLookup,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,GridLayoutManager.LayoutParams,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,RecyclerViewAccessibilityDelegate.ItemDelegate,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,RecyclerView.EdgeEffectFactory,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,RecyclerView.RecycledViewPool,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,RecyclerView.ViewCacheExtension,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,RecyclerView.Adapter,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,RecyclerView.LayoutManager,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,RecyclerView.Properties,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,RecyclerView.ItemDecoration,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,RecyclerView.SimpleOnItemTouchListener,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,RecyclerView.OnScrollListener,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,RecyclerView.ViewHolder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,RecyclerView.LayoutParams,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,RecyclerView.AdapterDataObserver,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,RecyclerView.SmoothScroller,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,RecyclerView.Action,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,RecyclerView.SavedState,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,RecyclerView.State,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,RecyclerView.OnFlingListener,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,RecyclerView.ItemAnimator,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,RecyclerView.ItemHolderInfo,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,androidx.recyclerview.widget,LinearLayoutManager.SavedState,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,org.telegram.ui,ArticleViewer,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 69
Telegram-6.1.1_1946,org.telegram.ui,ArticleViewer.FontCell,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,org.telegram.ui,ArticleViewer.ScrollEvaluator,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Telegram-6.1.1_1946,org.telegram.ui,ArticleViewer.BlockVideoCell,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
Telegram-6.1.1_1946,org.telegram.ui,ArticleViewer.BlockPhotoCell,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
