Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
Telegram-6.1.1_1946,androidx.recyclerview.widget,LinearSmoothScrollerEnd,9,0,11,3,100,21,0,1,0.18181818181818182,1,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telegram-6.1.1_1946/TMessagesProj/src/main/java/androidx/recyclerview/widget/LinearSmoothScrollerEnd.java,18
Telegram-6.1.1_1946,androidx.recyclerview.widget,ItemTouchHelper,75,14,42,18,0,200,1,1,0.07142857142857142,16,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telegram-6.1.1_1946/TMessagesProj/src/main/java/androidx/recyclerview/widget/ItemTouchHelper.java,47
Telegram-6.1.1_1946,androidx.recyclerview.widget,ItemTouchHelper.ViewDropHandler,0,0,0,0,13,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telegram-6.1.1_1946/TMessagesProj/src/main/java/androidx/recyclerview/widget/ItemTouchHelper.java,1329
Telegram-6.1.1_1946,androidx.recyclerview.widget,ItemTouchHelper.Callback,8,2,0,0,439,0,0,0,-1.0,0,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telegram-6.1.1_1946/TMessagesProj/src/main/java/androidx/recyclerview/widget/ItemTouchHelper.java,1357
Telegram-6.1.1_1946,androidx.recyclerview.widget,ItemTouchHelper.SimpleCallback,2,0,0,0,51,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telegram-6.1.1_1946/TMessagesProj/src/main/java/androidx/recyclerview/widget/ItemTouchHelper.java,2190
Telegram-6.1.1_1946,androidx.recyclerview.widget,ItemTouchHelper.ItemTouchHelperGestureListener,1,0,0,0,47,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telegram-6.1.1_1946/TMessagesProj/src/main/java/androidx/recyclerview/widget/ItemTouchHelper.java,2300
Telegram-6.1.1_1946,androidx.recyclerview.widget,ItemTouchHelper.RecoverAnimation,14,0,0,0,78,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telegram-6.1.1_1946/TMessagesProj/src/main/java/androidx/recyclerview/widget/ItemTouchHelper.java,2370
Telegram-6.1.1_1946,androidx.recyclerview.widget,LayoutState,14,0,3,1,64,3,0,0,0.0,5,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telegram-6.1.1_1946/TMessagesProj/src/main/java/androidx/recyclerview/widget/LayoutState.java,21
Telegram-6.1.1_1946,androidx.recyclerview.widget,AsyncDifferConfig,8,0,4,3,74,4,0,0,0.0,2,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telegram-6.1.1_1946/TMessagesProj/src/main/java/androidx/recyclerview/widget/AsyncDifferConfig.java,26
Telegram-6.1.1_1946,androidx.recyclerview.widget,AsyncDifferConfig.Builder,5,0,0,0,48,0,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telegram-6.1.1_1946/TMessagesProj/src/main/java/androidx/recyclerview/widget/AsyncDifferConfig.java,73
Telegram-6.1.1_1946,androidx.recyclerview.widget,LinearSmoothScroller,15,3,16,4,0,30,0,1,0.125,11,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telegram-6.1.1_1946/TMessagesProj/src/main/java/androidx/recyclerview/widget/LinearSmoothScroller.java,26
Telegram-6.1.1_1946,androidx.recyclerview.widget,LinearSmoothScrollerCustom,12,2,11,3,109,22,0,1,0.18181818181818182,3,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Telegram-6.1.1_1946/TMessagesProj/src/main/java/androidx/recyclerview/widget/LinearSmoothScrollerCustom.java,20
