Project Name,Package Name,Architecture Smell,Cause of the Smell
Timber-1.8,com.naman14.timber,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.naman14.timber.helpers; com.naman14.timber.lastfmapi
Timber-1.8,com.naman14.timber,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ApplicationTest]; [MusicService; MusicPlayer]; [MusicService.TrackErrorExtra]; [MusicService.MusicPlayerHandler]; [MusicService.Shuffler]; [MusicService.TrackErrorInfo]; [MusicService.MultiPlayer]; [MusicService.ServiceStub]; [MusicService.MediaStoreObserver]; [TimberApp]; [MusicPlayer.ServiceBinder]; [MusicPlayer.ServiceToken]; [WearBrowserService]; [WearBrowserService.MediaSessionCallback]. LCC (Lack of Component Cohesion) = 0.93
Timber-1.8,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 6.15. All the dependencies among components: from: com.naman14.timber to: com.naman14.timber.provider; from: com.naman14.timber to: com.naman14.timber.utils; from: com.naman14.timber to: com.naman14.timber.lastfmapi.models; from: com.naman14.timber to: com.naman14.timber.helpers; from: com.naman14.timber to: com.naman14.timber.lastfmapi; from: com.naman14.timber to: com.naman14.timber.permissions; from: com.naman14.timber to: com.naman14.timber.dataloaders; from: com.naman14.timber.fragments to: com.naman14.timber.models; from: com.naman14.timber.fragments to: com.naman14.timber.lastfmapi.models; from: com.naman14.timber.fragments to: com.naman14.timber.utils; from: com.naman14.timber.fragments to: com.naman14.timber.dataloaders; from: com.naman14.timber.fragments to: com.naman14.timber.lastfmapi; from: com.naman14.timber.fragments to: com.naman14.timber.adapters; from: com.naman14.timber.fragments to: com.naman14.timber.widgets; from: com.naman14.timber.fragments to: com.naman14.timber.dialogs; from: com.naman14.timber.fragments to: com.naman14.timber.subfragments; from: com.naman14.timber.fragments to: com.naman14.timber; from: com.naman14.timber.cast to: com.naman14.timber.models; from: com.naman14.timber.cast to: com.naman14.timber.utils; from: com.naman14.timber.nowplaying to: com.naman14.timber.adapters; from: com.naman14.timber.nowplaying to: com.naman14.timber; from: com.naman14.timber.nowplaying to: com.naman14.timber.dataloaders; from: com.naman14.timber.nowplaying to: com.naman14.timber.utils; from: com.naman14.timber.nowplaying to: com.naman14.timber.widgets; from: com.naman14.timber.nowplaying to: com.naman14.timber.timely; from: com.naman14.timber.nowplaying to: com.naman14.timber.models; from: com.naman14.timber.dataloaders to: com.naman14.timber.models; from: com.naman14.timber.dataloaders to: com.naman14.timber.utils; from: com.naman14.timber.dataloaders to: com.naman14.timber.provider; from: com.naman14.timber.dataloaders to: com.naman14.timber; from: com.naman14.timber.provider to: com.naman14.timber.helpers; from: com.naman14.timber.provider to: com.naman14.timber.utils; from: com.naman14.timber.timely to: com.naman14.timber.timely.model; from: com.naman14.timber.utils to: com.naman14.timber.models; from: com.naman14.timber.utils to: com.naman14.timber.lastfmapi.models; from: com.naman14.timber.utils to: com.naman14.timber.dataloaders; from: com.naman14.timber.utils to: com.naman14.timber.lastfmapi; from: com.naman14.timber.utils to: com.naman14.timber; from: com.naman14.timber.utils to: com.naman14.timber.adapters; from: com.naman14.timber.utils to: com.naman14.timber.provider; from: com.naman14.timber.utils to: com.naman14.timber.fragments; from: com.naman14.timber.subfragments to: com.naman14.timber.widgets; from: com.naman14.timber.subfragments to: com.naman14.timber; from: com.naman14.timber.subfragments to: com.naman14.timber.utils; from: com.naman14.timber.subfragments to: com.naman14.timber.models; from: com.naman14.timber.subfragments to: com.naman14.timber.dataloaders; from: com.naman14.timber.adapters to: com.naman14.timber.widgets; from: com.naman14.timber.adapters to: com.naman14.timber.models; from: com.naman14.timber.adapters to: com.naman14.timber.utils; from: com.naman14.timber.adapters to: com.naman14.timber; from: com.naman14.timber.adapters to: com.naman14.timber.dialogs; from: com.naman14.timber.adapters to: com.naman14.timber.dataloaders; from: com.naman14.timber.adapters to: com.naman14.timber.cast; from: com.naman14.timber.adapters to: com.naman14.timber.lastfmapi.models; from: com.naman14.timber.adapters to: com.naman14.timber.lastfmapi; from: com.naman14.timber.lastfmapi to: com.naman14.timber.lastfmapi.models; from: com.naman14.timber.lastfmapi to: com.naman14.timber.lastfmapi.callbacks; from: com.naman14.timber.lastfmapi to: com.naman14.timber.utils; from: com.naman14.timber.lastfmapi.callbacks to: com.naman14.timber.lastfmapi.models; from: com.naman14.timber.lastfmapi.models to: com.naman14.timber.lastfmapi; from: com.naman14.timber.dialogs to: com.naman14.timber.models; from: com.naman14.timber.dialogs to: com.naman14.timber.dataloaders; from: com.naman14.timber.dialogs to: com.naman14.timber; from: com.naman14.timber.dialogs to: com.naman14.timber.lastfmapi; from: com.naman14.timber.activities to: com.naman14.timber.utils; from: com.naman14.timber.activities to: com.naman14.timber.adapters; from: com.naman14.timber.activities to: com.naman14.timber.widgets; from: com.naman14.timber.activities to: com.naman14.timber.models; from: com.naman14.timber.activities to: com.naman14.timber.dataloaders; from: com.naman14.timber.activities to: com.naman14.timber.slidinguppanel; from: com.naman14.timber.activities to: com.naman14.timber.permissions; from: com.naman14.timber.activities to: com.naman14.timber.fragments; from: com.naman14.timber.activities to: com.naman14.timber; from: com.naman14.timber.activities to: com.naman14.timber.cast; from: com.naman14.timber.activities to: com.naman14.timber.listeners; from: com.naman14.timber.activities to: com.naman14.timber.subfragments; from: com.naman14.timber.activities to: com.naman14.timber.provider; from: com.naman14.timber.helpers to: com.naman14.timber.utils; from: com.naman14.timber.helpers to: com.naman14.timber; from: com.naman14.timber.helpers to: com.naman14.timber.activities; from: com.naman14.timber.widgets to: com.naman14.timber.utils; from: com.naman14.timber.widgets.desktop to: com.naman14.timber; from: com.naman14.timber.widgets.desktop to: com.naman14.timber.utils.
Timber-1.8,com.naman14.timber,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.naman14.timber; com.naman14.timber.utils; com.naman14.timber
Timber-1.8,com.naman14.timber,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.naman14.timber; com.naman14.timber.helpers; com.naman14.timber
Timber-1.8,com.naman14.timber,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.naman14.timber; com.naman14.timber.dataloaders; com.naman14.timber
Timber-1.8,com.naman14.timber,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.naman14.timber; com.naman14.timber.helpers; com.naman14.timber.activities; com.naman14.timber
Timber-1.8,com.naman14.timber,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.naman14.timber; com.naman14.timber.utils; com.naman14.timber.adapters; com.naman14.timber.dialogs; com.naman14.timber
Timber-1.8,com.naman14.timber.fragments,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SimilarArtistFragment]; [ArtistMusicFragment; ArtistDetailFragment]; [SettingsFragment]; [ArtistBioFragment]; [ArtistFragment]; [ArtistFragment.loadArtists]; [ArtistFragment.SpacesItemDecoration]; [ArtistDetailFragment.setBlurredAlbumArt]; [SongsFragment]; [SongsFragment.loadSongs]; [AlbumDetailFragment]; [AlbumDetailFragment.EnterTransitionListener]; [PlaylistFragment]; [PlaylistFragment.SpacesItemDecoration]; [FoldersFragment]; [FoldersFragment.loadFolders]; [QueueFragment]; [QueueFragment.loadQueueSongs]; [AlbumFragment]; [AlbumFragment.SpacesItemDecoration]; [AlbumFragment.loadAlbums]; [MainFragment]; [MainFragment.Adapter]. LCC (Lack of Component Cohesion) = 0.96
Timber-1.8,com.naman14.timber.fragments,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.naman14.timber.fragments; com.naman14.timber.utils; com.naman14.timber.fragments
