Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
Timber-1.8,com.naman14.timber,ApplicationTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Timber-1.8,com.naman14.timber,MusicService,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PLAYSTATE_CHANGED; POSITION_CHANGED; META_CHANGED; QUEUE_CHANGED; PLAYLIST_CHANGED; REPEATMODE_CHANGED; SHUFFLEMODE_CHANGED; TRACK_ERROR; TIMBER_PACKAGE_NAME; MUSIC_PACKAGE_NAME; SERVICECMD; TOGGLEPAUSE_ACTION; PAUSE_ACTION; STOP_ACTION; PREVIOUS_ACTION; PREVIOUS_FORCE_ACTION; NEXT_ACTION; REPEAT_ACTION; SHUFFLE_ACTION; FROM_MEDIA_BUTTON; REFRESH; UPDATE_LOCKSCREEN; CMDNAME; CMDTOGGLEPAUSE; CMDSTOP; CMDPAUSE; CMDPLAY; CMDPREVIOUS; CMDNEXT; CMDNOTIF; UPDATE_PREFERENCES; CHANNEL_ID; NEXT; LAST; SHUFFLE_NONE; SHUFFLE_NORMAL; SHUFFLE_AUTO; REPEAT_NONE; REPEAT_CURRENT; REPEAT_ALL; MAX_HISTORY_SIZE; TAG; D; SHUTDOWN; IDCOLIDX; TRACK_ENDED; TRACK_WENT_TO_NEXT; RELEASE_WAKELOCK; SERVER_DIED; FOCUSCHANGE; FADEDOWN; FADEUP; IDLE_DELAY; REWIND_INSTEAD_PREVIOUS_THRESHOLD; PROJECTION; ALBUM_PROJECTION; NOTIFICATION_PROJECTION; mShuffler; NOTIFY_MODE_NONE; NOTIFY_MODE_FOREGROUND; NOTIFY_MODE_BACKGROUND; PROJECTION_MATRIX; mHistory; mBinder; mPlayer; mFileToPlay; mWakeLock; mAlarmManager; mShutdownIntent; mShutdownScheduled; mNotificationManager; mCursor; mAlbumCursor; mAudioManager; mPreferences; mServiceInUse; mIsSupposedToBePlaying; mLastPlayedTime; mNotifyMode; mNotificationPostTime; mQueueIsSaveable; mPausedByTransientLossOfFocus; mSession; mRemoteControlClient; mMediaButtonReceiverComponent; mCardId; mPlayPos; mNextPlayPos; mOpenFailedCounter; mMediaMountedCount; mShuffleMode; mRepeatMode; mServiceStartId; mPlaylist; mAutoShuffleList; mPlayerHandler; mAudioFocusListener; mHandlerThread; mUnmountReceiver; mPlaybackStateStore; mShowAlbumArtOnLockscreen; mActivateXTrackSelector; mSongPlayCount; mRecentStore; mIntentReceiver; mMediaStoreObserver; TRACK_NAME; mService; mCurrentVolume; mHistoryOfNumbers; mPreviousNumbers; mRandom; mPrevious; mId; mTrackName; mService; mCurrentMediaPlayer; mNextMediaPlayer; mHandler; mIsInitialized; mNextMediaPath; mService; REFRESH_DELAY; mHandler
Timber-1.8,com.naman14.timber,MusicService,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MainActivity; AlbumDetailFragment; AlbumSongsAdapter; TimberUtils; BaseSongAdapter; TimberCastHelper; MusicPlayer; MusicService; MusicPlaybackState; MusicDB; RecentStore; SongPlayCount; SearchHistory; MusicPlaybackTrack; PreferencesUtility; LastfmUserSession; LastFmClient; UserLoginQuery; UserLoginInfo; RestServiceFactory; MediaButtonIntentReceiver; NavigationUtils; ArtistDetailFragment; ArtistSongAdapter; ArtistAlbumAdapter; ImageUtils; AlbumLoader; AddPlaylistDialog; PlaylistLoader; CreatePlaylistDialog; ArtistAlbumLoader; ArtistMusicFragment; DividerItemDecoration; ArtistSongLoader; ArtistLoader; SongLoader; BaseQueueAdapter; AlbumSongLoader
Timber-1.8,com.naman14.timber,MusicService,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 67 public methods
Timber-1.8,com.naman14.timber,MusicService.TrackErrorExtra,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Timber-1.8,com.naman14.timber,MusicService.MusicPlayerHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mService; mCurrentVolume
Timber-1.8,com.naman14.timber,MusicService.MusicPlayerHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Timber-1.8,com.naman14.timber,MusicService.Shuffler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mHistoryOfNumbers; mPreviousNumbers; mRandom; mPrevious
Timber-1.8,com.naman14.timber,MusicService.Shuffler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Timber-1.8,com.naman14.timber,MusicService.TrackErrorInfo,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mId; mTrackName
