Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
Timber-1.8,com.naman14.timber,MusicService,setUpRemoteControlClient,Long Statement,The length of the statement "mRemoteControlClient.setTransportControlFlags(RemoteControlClient.FLAG_KEY_MEDIA_PLAY | RemoteControlClient.FLAG_KEY_MEDIA_PAUSE | RemoteControlClient.FLAG_KEY_MEDIA_PREVIOUS| RemoteControlClient.FLAG_KEY_MEDIA_NEXT| RemoteControlClient.FLAG_KEY_MEDIA_STOP);" is 258.,374
Timber-1.8,com.naman14.timber,MusicService,scrobble,Long Statement,The length of the statement "if (trackname != null) LastFmClient.getInstance(this).Scrobble(new ScrobbleQuery(getArtistName()`trackname`System.currentTimeMillis() / 1000));" is 143.,507
Timber-1.8,com.naman14.timber,MusicService,scrobble,Magic Number,The method contains a magic number: 1000,507
Timber-1.8,com.naman14.timber,MusicService,releaseServiceUiAndStop,Complex Conditional,The conditional expression isPlaying() || mPausedByTransientLossOfFocus || mPlayerHandler.hasMessages(TRACK_ENDED) is complex.,516
Timber-1.8,com.naman14.timber,MusicService,handleCommandIntent,Complex Conditional,The conditional expression CMDPREVIOUS.equals(command) || PREVIOUS_ACTION.equals(action) || PREVIOUS_FORCE_ACTION.equals(action) is complex.,535
Timber-1.8,com.naman14.timber,MusicService,handleCommandIntent,Complex Method,Cyclomatic complexity of the method is 15,535
Timber-1.8,com.naman14.timber,MusicService,updateNotification,Complex Method,Cyclomatic complexity of the method is 9,596
Timber-1.8,com.naman14.timber,MusicService,stop,Complex Conditional,The conditional expression duration > 30000 && (position >= duration / 2) || position > 240000 is complex.,709
Timber-1.8,com.naman14.timber,MusicService,stop,Magic Number,The method contains a magic number: 30000,709
Timber-1.8,com.naman14.timber,MusicService,stop,Magic Number,The method contains a magic number: 2,709
Timber-1.8,com.naman14.timber,MusicService,stop,Magic Number,The method contains a magic number: 240000,709
Timber-1.8,com.naman14.timber,MusicService,removeTracksInternal,Complex Method,Cyclomatic complexity of the method is 16,731
Timber-1.8,com.naman14.timber,MusicService,updateAlbumCursor,Long Statement,The length of the statement "mAlbumCursor=openCursorAndGoToFirst(MediaStore.Audio.Albums.EXTERNAL_CONTENT_URI`ALBUM_PROJECTION`"_id=" + albumId`null);" is 121.,840
Timber-1.8,com.naman14.timber,MusicService,openCurrentAndMaybeNext,Complex Method,Cyclomatic complexity of the method is 9,879
Timber-1.8,com.naman14.timber,MusicService,openCurrentAndMaybeNext,Magic Number,The method contains a magic number: 10,879
Timber-1.8,com.naman14.timber,MusicService,getNextPosition,Complex Conditional,The conditional expression minNumPlays > 0 && numTracksWithMinNumPlays == numTracks && mRepeatMode != REPEAT_ALL && !force is complex.,935
Timber-1.8,com.naman14.timber,MusicService,getNextPosition,Complex Method,Cyclomatic complexity of the method is 21,935
Timber-1.8,com.naman14.timber,MusicService,setNextTrack,Complex Conditional,The conditional expression mNextPlayPos >= 0 && mPlaylist != null && mNextPlayPos < mPlaylist.size() is complex.,1019
Timber-1.8,com.naman14.timber,MusicService,makeAutoShuffleList,Empty catch clause,The method has an empty catch block.,1030
Timber-1.8,com.naman14.timber,MusicService,makeAutoShuffleList,Long Statement,The length of the statement "cursor=getContentResolver().query(MediaStore.Audio.Media.EXTERNAL_CONTENT_URI`new String[]{MediaStore.Audio.Media._ID}`MediaStore.Audio.Media.IS_MUSIC + "=1"`null`null);" is 169.,1030
Timber-1.8,com.naman14.timber,MusicService,doAutoShuffleUpdate,Magic Number,The method contains a magic number: 10,1058
Timber-1.8,com.naman14.timber,MusicService,doAutoShuffleUpdate,Magic Number,The method contains a magic number: 9,1058
Timber-1.8,com.naman14.timber,MusicService,doAutoShuffleUpdate,Magic Number,The method contains a magic number: 7,1058
Timber-1.8,com.naman14.timber,MusicService,doAutoShuffleUpdate,Magic Number,The method contains a magic number: 2,1058
Timber-1.8,com.naman14.timber,MusicService,notifyChange,Complex Conditional,The conditional expression mNextPlayPos >= 0 && mNextPlayPos < mPlaylist.size() && getShuffleMode() != SHUFFLE_NONE is complex.,1105
Timber-1.8,com.naman14.timber,MusicService,notifyChange,Complex Method,Cyclomatic complexity of the method is 10,1105
Timber-1.8,com.naman14.timber,MusicService,updateMediaSession,Complex Method,Cyclomatic complexity of the method is 8,1194
Timber-1.8,com.naman14.timber,MusicService,updateMediaSession,Long Statement,The length of the statement "mSession.setPlaybackState(new PlaybackStateCompat.Builder().setState(playState`position()`1.0f).setActions(PlaybackStateCompat.ACTION_PLAY | PlaybackStateCompat.ACTION_PAUSE | PlaybackStateCompat.ACTION_PLAY_PAUSE| PlaybackStateCompat.ACTION_SKIP_TO_NEXT| PlaybackStateCompat.ACTION_SKIP_TO_PREVIOUS).build());" is 310.,1194
Timber-1.8,com.naman14.timber,MusicService,updateMediaSession,Long Statement,The length of the statement "mSession.setMetadata(new MediaMetadataCompat.Builder().putString(MediaMetadataCompat.METADATA_KEY_ARTIST`getArtistName()).putString(MediaMetadataCompat.METADATA_KEY_ALBUM_ARTIST`getAlbumArtistName()).putString(MediaMetadataCompat.METADATA_KEY_ALBUM`getAlbumName()).putString(MediaMetadataCompat.METADATA_KEY_TITLE`getTrackName()).putLong(MediaMetadataCompat.METADATA_KEY_DURATION`duration()).putLong(MediaMetadataCompat.METADATA_KEY_TRACK_NUMBER`getQueuePosition() + 1).putLong(MediaMetadataCompat.METADATA_KEY_NUM_TRACKS`getQueue().length).putString(MediaMetadataCompat.METADATA_KEY_GENRE`getGenreName()).putBitmap(MediaMetadataCompat.METADATA_KEY_ALBUM_ART`albumArt).build());" is 678.,1194
