Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
Timber-1.8,com.naman14.timber,ApplicationTest,ApplicationTest,3,1,0,10,0,,
Timber-1.8,com.naman14.timber,MusicService,onAudioFocusChange,3,1,1,228,0,,
Timber-1.8,com.naman14.timber,MusicService,onReceive,4,1,2,242,0,com.naman14.timber.MusicService,com.naman14.timber.MusicService
Timber-1.8,com.naman14.timber,MusicService,onBind,6,2,1,253,0,com.naman14.timber.MusicService,com.naman14.timber.MusicService
Timber-1.8,com.naman14.timber,MusicService,onUnbind,14,4,1,261,0,com.naman14.timber.MusicService,com.naman14.timber.MusicService
Timber-1.8,com.naman14.timber,MusicService,onRebind,4,1,1,280,0,com.naman14.timber.MusicService,com.naman14.timber.MusicService
Timber-1.8,com.naman14.timber,MusicService,onCreate,55,5,0,286,0,com.naman14.timber.MusicService,com.naman14.timber.MusicService
Timber-1.8,com.naman14.timber,MusicService,setUpRemoteControlClient,10,2,0,374,0,,
Timber-1.8,com.naman14.timber,MusicService,setUpMediaSession,29,1,0,396,0,com.naman14.timber.MusicService,com.naman14.timber.MusicService
Timber-1.8,com.naman14.timber,MusicService,onPause,4,1,0,399,0,com.naman14.timber.MusicService,com.naman14.timber.MusicService
Timber-1.8,com.naman14.timber,MusicService,onPlay,3,1,0,405,0,com.naman14.timber.MusicService,com.naman14.timber.MusicService
Timber-1.8,com.naman14.timber,MusicService,onSeekTo,3,1,1,410,0,com.naman14.timber.MusicService,com.naman14.timber.MusicService
Timber-1.8,com.naman14.timber,MusicService,onSkipToNext,3,1,0,415,0,com.naman14.timber.MusicService,com.naman14.timber.MusicService
Timber-1.8,com.naman14.timber,MusicService,onSkipToPrevious,3,1,0,420,0,com.naman14.timber.MusicService,com.naman14.timber.MusicService
Timber-1.8,com.naman14.timber,MusicService,onStop,6,1,0,425,0,com.naman14.timber.MusicService,com.naman14.timber.MusicService
Timber-1.8,com.naman14.timber,MusicService,onDestroy,27,6,0,437,0,com.naman14.timber.MusicService,com.naman14.timber.MusicService
Timber-1.8,com.naman14.timber,MusicService,onStartCommand,18,5,3,481,0,com.naman14.timber.MusicService,com.naman14.timber.MusicService
Timber-1.8,com.naman14.timber,MusicService,scrobble,7,3,0,507,0,com.naman14.timber.MusicService,com.naman14.timber.MusicService
Timber-1.8,com.naman14.timber,MusicService,releaseServiceUiAndStop,13,5,0,516,0,com.naman14.timber.MusicService,com.naman14.timber.MusicService
Timber-1.8,com.naman14.timber,MusicService,handleCommandIntent,51,15,1,535,0,com.naman14.timber.MusicService,com.naman14.timber.MusicService
Timber-1.8,com.naman14.timber,MusicService,onPreferencesUpdate,12,2,1,582,0,com.naman14.timber.MusicService,com.naman14.timber.MusicService
Timber-1.8,com.naman14.timber,MusicService,updateNotification,30,9,0,596,0,com.naman14.timber.MusicService,com.naman14.timber.MusicService
Timber-1.8,com.naman14.timber,MusicService,cancelNotification,6,1,0,628,0,,
Timber-1.8,com.naman14.timber,MusicService,getCardId,11,3,0,635,0,com.naman14.timber.MusicService,com.naman14.timber.MusicService
Timber-1.8,com.naman14.timber,MusicService,getmCardId,11,2,0,645,0,,
Timber-1.8,com.naman14.timber,MusicService,closeExternalStorageFiles,5,1,1,658,0,com.naman14.timber.MusicService,com.naman14.timber.MusicService
