Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
Timber-1.8,com.naman14.timber,ApplicationTest,0,0,1,1,8,1,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Timber-1.8/app/src/androidTest/java/com/naman14/timber/ApplicationTest.java,6
Timber-1.8,com.naman14.timber,MusicService,124,43,114,67,0,398,0,0,0.0,13,11,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/MusicService.java,98
Timber-1.8,com.naman14.timber,MusicService.TrackErrorExtra,1,0,0,0,3,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/MusicService.java,2238
Timber-1.8,com.naman14.timber,MusicService.MusicPlayerHandler,2,0,0,0,0,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/MusicService.java,2243
Timber-1.8,com.naman14.timber,MusicService.Shuffler,4,0,0,0,28,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/MusicService.java,2352
Timber-1.8,com.naman14.timber,MusicService.TrackErrorInfo,2,2,0,0,8,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/MusicService.java,2391
Timber-1.8,com.naman14.timber,MusicService.MultiPlayer,6,0,0,0,0,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/MusicService.java,2401
Timber-1.8,com.naman14.timber,MusicService.ServiceStub,1,0,0,0,138,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/MusicService.java,2599
Timber-1.8,com.naman14.timber,MusicService.MediaStoreObserver,2,0,0,0,16,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/MusicService.java,2838
Timber-1.8,com.naman14.timber,TimberApp,2,0,3,2,35,9,0,0,0.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/TimberApp.java,30
Timber-1.8,com.naman14.timber,MusicPlayer,7,2,57,57,0,138,0,0,0.14035087719298245,26,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/MusicPlayer.java,42
Timber-1.8,com.naman14.timber,MusicPlayer.ServiceBinder,2,0,0,0,21,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/MusicPlayer.java,762
