Project Name,Package Name,Architecture Smell,Cause of the Smell
TweetLanes-1.4.1,org.socialnetlib.android,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.tweetalib.android.fetch
TweetLanes-1.4.1,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 5.3. All the dependencies among components: from: org.socialnetlib.android to: org.tweetalib.android.model; from: org.socialnetlib.android to: org.appdotnet4j.model; from: org.socialnetlib.android to: org.tweetalib.android; from: org.socialnetlib.android to: org.tweetalib.android.fetch; from: org.socialnetlib.android to: org.tweetalib.android.callback; from: org.appdotnet4j.model to: org.tweetalib.android; from: org.tweetalib.android to: org.tweetalib.android.model; from: org.tweetalib.android to: org.asynctasktex; from: org.tweetalib.android to: com.twitter; from: org.tweetalib.android to: org.appdotnet4j.model; from: org.tweetalib.android to: org.socialnetlib.android; from: org.tweetalib.android to: org.tweetalib.android.callback; from: org.tweetalib.android.fetch to: org.tweetalib.android; from: org.tweetalib.android.fetch to: org.tweetalib.android.model; from: org.tweetalib.android.fetch to: org.tweetalib.android.callback; from: org.tweetalib.android.fetch to: org.appdotnet4j.model; from: org.tweetalib.android.fetch to: org.asynctasktex; from: org.tweetalib.android.model to: org.appdotnet4j.model; from: org.tweetalib.android.model to: org.tweetalib.android; from: org.tweetalib.android.model to: org.tweetalib.android.widget; from: org.tweetalib.android.model to: org.socialnetlib.android; from: org.tweetalib.android.callback to: org.tweetalib.android; from: org.tweetalib.android.callback to: org.tweetalib.android.model; from: com.tweetlanes.android.core.widget.urlimageviewhelper to: com.tweetlanes.android.core.util; from: com.tweetlanes.android.core.widget.pulltorefresh to: com.tweetlanes.android.core.widget.pulltorefresh.internal; from: com.tweetlanes.android.core.widget.pulltorefresh.internal to: com.tweetlanes.android.core.widget.pulltorefresh; from: com.tweetlanes.android.core.util to: com.tweetlanes.android.core; from: com.tweetlanes.android.core.dashclock to: com.tweetlanes.android.core.model; from: com.tweetlanes.android.core.dashclock to: com.tweetlanes.android.core; from: com.tweetlanes.android.core.dashclock to: org.socialnetlib.android; from: com.tweetlanes.android.core to: com.tweetlanes.android.core.view; from: com.tweetlanes.android.core to: org.tweetalib.android; from: com.tweetlanes.android.core to: com.tweetlanes.android.core.util; from: com.tweetlanes.android.core to: com.tweetlanes.android.core.model; from: com.tweetlanes.android.core to: org.socialnetlib.android; from: com.tweetlanes.android.core to: org.tweetalib.android.model; from: com.tweetlanes.android.core to: com.tweetlanes.android.core.widget.urlimageviewhelper; from: com.tweetlanes.android.core.urlservice.tweetmarker to: org.tweetalib.android; from: com.tweetlanes.android.core.urlservice.tweetmarker to: com.tweetlanes.android.core.model; from: com.tweetlanes.android.core.urlservice.tweetmarker to: org.asynctasktex; from: com.tweetlanes.android.core.urlservice.tweetmarker to: org.socialnetlib.android; from: com.tweetlanes.android.core.model to: org.socialnetlib.android; from: com.tweetlanes.android.core.model to: org.tweetalib.android.model; from: com.tweetlanes.android.core.model to: com.tweetlanes.android.core; from: com.tweetlanes.android.core.model to: org.tweetalib.android; from: com.tweetlanes.android.core.view to: org.tweetalib.android.callback; from: com.tweetlanes.android.core.view to: com.tweetlanes.android.core.model; from: com.tweetlanes.android.core.view to: org.tweetalib.android; from: com.tweetlanes.android.core.view to: org.tweetalib.android.model; from: com.tweetlanes.android.core.view to: com.tweetlanes.android.core.util; from: com.tweetlanes.android.core.view to: org.socialnetlib.android; from: com.tweetlanes.android.core.view to: com.tweetlanes.android.core; from: com.tweetlanes.android.core.view to: com.tweetlanes.android.core.widget.pulltorefresh; from: com.tweetlanes.android.core.view to: com.tweetlanes.android.core.widget.urlimageviewhelper; from: com.tweetlanes.android.core.view to: org.tweetalib.android.widget; from: com.tweetlanes.android.core.view to: org.appdotnet4j.model; from: com.tweetlanes.android.core.view to: com.tweetlanes.android.core.widget.viewpagerindicator; from: com.tweetlanes.android.core.view to: com.tweetlanes.android.core.widget; from: com.tweetlanes.android.core.view to: com.twitter; from: com.tweetlanes.android.core.view to: com.inscription; from: com.tweetlanes.android.core.view to: com.tweetlanes.android.core.widget.gestureimageview.
TweetLanes-1.4.1,org.socialnetlib.android,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.socialnetlib.android; org.tweetalib.android.model; org.socialnetlib.android
TweetLanes-1.4.1,org.socialnetlib.android,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.socialnetlib.android; org.tweetalib.android.fetch; org.tweetalib.android; org.socialnetlib.android
TweetLanes-1.4.1,org.appdotnet4j.model,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.tweetalib.android
TweetLanes-1.4.1,org.appdotnet4j.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AdnMedia; AdnPost; AdnInteraction; AdnUser; AdnInteractions; AdnUrl; AdnUsers; AdnPosts]; [AdnPostCompose]; [AdnPaging]; [AdnFile]. LCC (Lack of Component Cohesion) = 0.36
TweetLanes-1.4.1,org.appdotnet4j.model,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.appdotnet4j.model; org.tweetalib.android; org.appdotnet4j.model
TweetLanes-1.4.1,org.asynctasktex,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AsyncTaskEx; AsyncTaskEx.PrioritizedAsyncTaskResult; BaseExecutor; SerialExecutor; PriorityExecutor]; [AsyncTaskEx.Status]; [AsyncTaskEx.InternalHandler]; [AsyncTaskEx.WorkerRunnable]; [PriorityExecutor.PrioritizedRunnable]; [PriorityExecutor.PrioritizedRunnableComparator]. LCC (Lack of Component Cohesion) = 0.6
TweetLanes-1.4.1,org.tweetalib.android,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 78
TweetLanes-1.4.1,org.tweetalib.android,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.socialnetlib.android; org.tweetalib.android.callback
