Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
TweetLanes-1.4.1,org.socialnetlib.android,TwitterApi,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TWITTER_VERIFY_CREDENTIALS_JSON; mSocNetApi; mOAuth
TweetLanes-1.4.1,org.socialnetlib.android,SocialNetConstant,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
TweetLanes-1.4.1,org.socialnetlib.android,SocialNetConstant.Type,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
TweetLanes-1.4.1,org.socialnetlib.android,SocialNetConstant.Type,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
TweetLanes-1.4.1,org.socialnetlib.android,AppdotnetApi,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 25 public methods
TweetLanes-1.4.1,org.socialnetlib.android,SocialNetApi,Cyclic Hierarchy,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: AppdotnetApi
TweetLanes-1.4.1,org.socialnetlib.android,SocialNetApi,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: TwitterUtil; AdnPost; TwitterManager; SocialNetApi; TwitterFetchBooleans; ConnectionStatus; TwitterFetchResult; TwitterFetchDirectMessages; TwitterDirectMessages; TwitterDirectMessage; TwitterFetchStatus; TwitterStatus; TwitterFetchStatuses; TwitterStatuses; AdnPosts; TwitterFetchUser; TwitterFetchUsers; TwitterModifyStatuses; TwitterModifyDirectMessages
TweetLanes-1.4.1,org.socialnetlib.android,SocialNetApi,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 80 public methods
TweetLanes-1.4.1,org.appdotnet4j.model,AdnMedia,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mThumbnailUrl; mUrl; mExpandedUrl
TweetLanes-1.4.1,org.appdotnet4j.model,AdnPostCompose,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mText; mInReplyTo; mMediaFile
TweetLanes-1.4.1,org.appdotnet4j.model,AdnPaging,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mPage; mSinceId; mMaxId
TweetLanes-1.4.1,org.appdotnet4j.model,AdnPosts,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mPosts
