Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
TweetLanes-1.4.1,org.socialnetlib.android,TwitterApi,getAndConfigureApiInstance,Long Statement,The length of the statement "configurationBuilder.setDebugEnabled(true).setOAuthConsumerKey(mAppConsumerKey).setOAuthConsumerSecret(mAppConsumerSecret).setOAuthAccessToken(mCurrentOAuthToken).setOAuthAccessTokenSecret(mCurrentOAuthSecret).setMediaProvider("TWITTER").setIncludeEntitiesEnabled(true);" is 270.,75
TweetLanes-1.4.1,org.socialnetlib.android,TwitterApi,generateTwitterVerifyCredentialsAuthorizationHeader,Long Identifier,The length of the field TWITTER_VERIFY_CREDENTIALS_JSON is 31.,113
TweetLanes-1.4.1,org.socialnetlib.android,AppdotnetApi,isResponseValid,Magic Number,The method contains a magic number: 200,72
TweetLanes-1.4.1,org.socialnetlib.android,AppdotnetApi,isResponseValid,Magic Number,The method contains a magic number: 300,72
TweetLanes-1.4.1,org.socialnetlib.android,AppdotnetApi,getHttpClient,Magic Number,The method contains a magic number: 2000,80
TweetLanes-1.4.1,org.socialnetlib.android,AppdotnetApi,getHttpClient,Magic Number,The method contains a magic number: 2000,89
TweetLanes-1.4.1,org.socialnetlib.android,AppdotnetApi,setAdnStatus,Long Statement,The length of the statement "ann.put("value"`new JSONObject().put("+net.app.core.file"`new JSONObject().put("file_id"`file.mId).put("file_token"`file.mFileToken).put("format"`"oembed")));" is 158.,334
TweetLanes-1.4.1,org.socialnetlib.android,AppdotnetApi,setAdnFile,Long Statement,The length of the statement "json=new JSONObject().put("kind"`"image").put("type"`"com.tweetlanes.image").put("public"`"0").put("name"`file.getName());" is 122.,372
TweetLanes-1.4.1,org.socialnetlib.android,SocialNetApi,SocialNetApi,Abstract Function Call From Constructor,The constructor SocialNetApi calls a virtual method init.,86
TweetLanes-1.4.1,org.socialnetlib.android,SocialNetApi,setOAuthTokenWithSecret,Complex Conditional,The conditional expression oAuthToken != null && mCurrentOAuthToken != null && oAuthToken.equals(mCurrentOAuthToken) is complex.,428
TweetLanes-1.4.1,org.socialnetlib.android,SocialNetApi,setOAuthTokenWithSecret,Complex Conditional,The conditional expression oAuthSecret != null && mCurrentOAuthSecret != null && oAuthSecret.equals(mCurrentOAuthSecret) is complex.,428
TweetLanes-1.4.1,org.socialnetlib.android,SocialNetApi,sendDirectMessage,Long Parameter List,The method has 5 parameters. ,563
TweetLanes-1.4.1,org.appdotnet4j.model,AdnPost,AdnPost,Complex Method,Cyclomatic complexity of the method is 21,45
TweetLanes-1.4.1,org.appdotnet4j.model,AdnPost,AdnPost,Empty catch clause,The method has an empty catch block.,45
TweetLanes-1.4.1,org.appdotnet4j.model,AdnPost,AdnPost,Empty catch clause,The method has an empty catch block.,45
TweetLanes-1.4.1,org.appdotnet4j.model,AdnInteraction,AdnInteraction,Complex Conditional,The conditional expression mAction.equals("repost") || mAction.equals("star") || mAction.equals("reply") is complex.,26
TweetLanes-1.4.1,org.appdotnet4j.model,AdnInteraction,AdnInteraction,Complex Conditional,The conditional expression mAction.equals("follow") && users != null && users.mUsers != null is complex.,26
TweetLanes-1.4.1,org.appdotnet4j.model,AdnInteraction,AdnInteraction,Complex Method,Cyclomatic complexity of the method is 13,26
TweetLanes-1.4.1,org.appdotnet4j.model,AdnUser,AdnUser,Complex Method,Cyclomatic complexity of the method is 8,31
TweetLanes-1.4.1,org.appdotnet4j.model,AdnUser,AdnUser,Empty catch clause,The method has an empty catch block.,31
TweetLanes-1.4.1,org.asynctasktex,AsyncTaskEx,postResult,Long Statement,The length of the statement "@SuppressWarnings("unchecked") Message message=sHandler.obtainMessage(MESSAGE_POST_RESULT`new PrioritizedAsyncTaskResult<Result>(this`result));" is 143.,359
TweetLanes-1.4.1,org.asynctasktex,AsyncTaskEx,executeOnExecutor,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@4f158dd1,591
TweetLanes-1.4.1,org.tweetalib.android,TwitterModifyStatuses,setFavorite,Long Statement,The length of the statement "new ModifyStatusesTask().execute(AsyncTaskEx.PRIORITY_HIGH`"Set Favorite"`new ModifyStatusesTaskInput(mModifyStatusesCallbackHandle`StatusesType.SET_FAVORITE`statuses`isFavorite ? 1 : 0));" is 188.,164
TweetLanes-1.4.1,org.tweetalib.android,TwitterModifyStatuses,deleteTweets,Long Statement,The length of the statement "new ModifyStatusesTask().execute(AsyncTaskEx.PRIORITY_HIGH`"Delete"`new ModifyStatusesTaskInput(mModifyStatusesCallbackHandle`StatusesType.DELETE`statuses`1));" is 159.,176
TweetLanes-1.4.1,org.tweetalib.android,TwitterFetchLists,trigger,Long Statement,The length of the statement "new FetchListsTask().execute(AsyncTaskEx.PRIORITY_MEDIUM`"Fetch Lists"`new FetchListsTaskInput(userId`mFetchListsCallbackHandle));" is 130.,144
TweetLanes-1.4.1,org.tweetalib.android,TwitterFetchLists,trigger,Long Statement,The length of the statement "new FetchListsTask().execute(AsyncTaskEx.PRIORITY_MEDIUM`"Fetch Lists"`new FetchListsTaskInput(screenName`mFetchListsCallbackHandle));" is 134.,156
TweetLanes-1.4.1,org.tweetalib.android,TwitterFetchStatus,getStatus,Long Statement,The length of the statement "triggerFetchStatusTask(new FetchStatusTaskInput(mFetchStatusCallbackHandle`StatusType.GET_STATUS`statusId`connectionStatus)`callback`connectionStatus);" is 151.,130
TweetLanes-1.4.1,org.tweetalib.android,TwitterFetchStatus,setStatus,Long Statement,The length of the statement "triggerFetchStatusTask(new FetchStatusTaskInput(mFetchStatusCallbackHandle`statusUpdate`connectionStatus)`callback`connectionStatus);" is 133.,142
TweetLanes-1.4.1,org.tweetalib.android,TwitterFetchStatus,setRetweet,Long Statement,The length of the statement "triggerFetchStatusTask(new FetchStatusTaskInput(mFetchStatusCallbackHandle`StatusType.SET_RETWEET`statusId`connectionStatus)`callback`connectionStatus);" is 152.,153
TweetLanes-1.4.1,org.tweetalib.android,TwitterFetchBooleans,getFriendshipExists,Long Statement,The length of the statement "triggerFetchBooleanTask(new FetchBooleanTaskInput(mFetchBooleanCallbackHandle`connectionStatus`BooleanType.FRIENDSHIP_EXISTS`userScreenName`userScreenNameToCheck)`callback`connectionStatus);" is 190.,125
TweetLanes-1.4.1,org.tweetalib.android,TwitterSignIn,TwitterSignIn,Long Identifier,The length of the field mGetOAuthAccessTokenCallbackHandle is 34.,120
TweetLanes-1.4.1,org.tweetalib.android,TwitterSignIn,TwitterSignIn,Long Identifier,The length of the field mGetOAuthAccessTokenCallbackMap is 31.,120
TweetLanes-1.4.1,org.tweetalib.android,TwitterSignIn,getOAuthAccessTokenCallback,Long Identifier,The length of the field mGetOAuthAccessTokenCallbackMap is 31.,148
TweetLanes-1.4.1,org.tweetalib.android,TwitterSignIn,removeGetOAuthAccessTokenCallback,Long Identifier,The length of the field mGetOAuthAccessTokenCallbackMap is 31.,157
TweetLanes-1.4.1,org.tweetalib.android,TwitterSignIn,getAuthUrl,Long Statement,The length of the statement "new FetchAuthUrlTask().execute(AsyncTaskEx.PRIORITY_HIGHEST`"Get Auth URL"`new FetchAuthUrlTaskInput(mGetAuthUrlCallbackHandle));" is 129.,166
TweetLanes-1.4.1,org.tweetalib.android,TwitterSignIn,getOAuthAccessToken,Long Identifier,The length of the field mGetOAuthAccessTokenCallbackMap is 31.,181
TweetLanes-1.4.1,org.tweetalib.android,TwitterSignIn,getOAuthAccessToken,Long Identifier,The length of the field mGetOAuthAccessTokenCallbackHandle is 34.,181
TweetLanes-1.4.1,org.tweetalib.android,TwitterSignIn,getOAuthAccessToken,Long Statement,The length of the statement "new FetchOAuthAccessTokenTask().execute(AsyncTaskEx.PRIORITY_HIGHEST`"Get OAuth AccessToken"`new FetchOAuthAccessTokenTaskInput(requestToken`oauthVerifier`mGetOAuthAccessTokenCallbackHandle));" is 192.,181
TweetLanes-1.4.1,org.tweetalib.android,TwitterFetchResult,TwitterFetchResult,Complex Conditional,The conditional expression !mSuccessful && TwitterManager.get() != null && TwitterManager.get().getConnectionStatus() != null is complex.,27
TweetLanes-1.4.1,org.tweetalib.android,TwitterUtil,iso6801StringToDate,Magic Number,The method contains a magic number: 22,178
TweetLanes-1.4.1,org.tweetalib.android,TwitterUtil,iso6801StringToDate,Magic Number,The method contains a magic number: 23,178
TweetLanes-1.4.1,org.tweetalib.android,TwitterFetchUsers,trigger,Long Statement,The length of the statement "new FetchUsersTask().execute(AsyncTaskEx.PRIORITY_MEDIUM`"Fetch Users"`new FetchUsersTaskInput(mFetchUsersCallbackHandle`contentHandle`connectionStatus`paging));" is 161.,211
TweetLanes-1.4.1,org.tweetalib.android,TwitterFetchUsers,updateFriendshipUser,Long Parameter List,The method has 5 parameters. ,245
TweetLanes-1.4.1,org.tweetalib.android,TwitterFetchUsers,updateFriendshipUsers,Long Parameter List,The method has 5 parameters. ,252
TweetLanes-1.4.1,org.tweetalib.android,TwitterFetchUsers,updateFriendshipScreenName,Long Parameter List,The method has 5 parameters. ,266
TweetLanes-1.4.1,org.tweetalib.android,TwitterFetchUsers,updateFriendshipScreenNames,Long Parameter List,The method has 5 parameters. ,277
TweetLanes-1.4.1,org.tweetalib.android,TwitterFetchUsers,updateFriendshipScreenNames,Long Statement,The length of the statement "TwitterContentHandle contentHandle=new TwitterContentHandle(new TwitterContentHandleBase(TwitterConstant.ContentType.USERS`TwitterConstant.UsersType.UPDATE_FRIENDSHIP)`currentUserScreenName`Integer.toString(_mFriendshipCounter)`mWorkerCallbacks.getCurrentAccountKey());" is 269.,277
TweetLanes-1.4.1,org.tweetalib.android,TwitterFetchUsers,updateFriendshipScreenNames,Long Statement,The length of the statement "new FetchUsersTask().execute(AsyncTaskEx.PRIORITY_MEDIUM`"Fetch friendship"`new FetchUsersTaskInput(mFetchUsersCallbackHandle`contentHandle`connectionStatus`userScreenNamesToUpdate`null`create));" is 195.,277
TweetLanes-1.4.1,org.tweetalib.android,TwitterFetchUsers,updateFriendshipUserId,Long Parameter List,The method has 5 parameters. ,306
TweetLanes-1.4.1,org.tweetalib.android,TwitterFetchUsers,updateFriendshipUserIds,Long Parameter List,The method has 5 parameters. ,315
TweetLanes-1.4.1,org.tweetalib.android,TwitterFetchUsers,updateFriendshipUserIds,Long Statement,The length of the statement "TwitterContentHandle contentHandle=new TwitterContentHandle(new TwitterContentHandleBase(TwitterConstant.ContentType.USERS`TwitterConstant.UsersType.UPDATE_FRIENDSHIP)`Long.toString(currentUserId)`Integer.toString(_mFriendshipCounter)`mWorkerCallbacks.getCurrentAccountKey());" is 276.,315
