Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
TweetLanes-1.4.1,org.socialnetlib.android,TwitterApi,TwitterApi,3,1,4,38,0,,
TweetLanes-1.4.1,org.socialnetlib.android,TwitterApi,verifyCredentialsSync,16,1,2,43,0,org.socialnetlib.android.TwitterApi,org.socialnetlib.android.TwitterApi
TweetLanes-1.4.1,org.socialnetlib.android,TwitterApi,init,4,1,0,69,0,,
TweetLanes-1.4.1,org.socialnetlib.android,TwitterApi,getAndConfigureApiInstance,13,3,0,75,0,,
TweetLanes-1.4.1,org.socialnetlib.android,TwitterApi,clearApiInstance,4,1,0,100,0,,
TweetLanes-1.4.1,org.socialnetlib.android,TwitterApi,getSocialNetType,3,1,0,106,0,,
TweetLanes-1.4.1,org.socialnetlib.android,TwitterApi,generateTwitterVerifyCredentialsAuthorizationHeader,5,1,0,113,0,,
TweetLanes-1.4.1,org.socialnetlib.android,AppdotnetApi,AppdotnetApi,3,1,4,42,0,,
TweetLanes-1.4.1,org.socialnetlib.android,AppdotnetApi,readFile,14,2,1,47,0,,
TweetLanes-1.4.1,org.socialnetlib.android,AppdotnetApi,init,2,1,0,66,0,,
TweetLanes-1.4.1,org.socialnetlib.android,AppdotnetApi,isResponseValid,7,2,1,72,0,,
TweetLanes-1.4.1,org.socialnetlib.android,AppdotnetApi,getHttpClient,6,1,0,80,0,,
TweetLanes-1.4.1,org.socialnetlib.android,AppdotnetApi,getHttpClient,6,1,1,89,0,,
TweetLanes-1.4.1,org.socialnetlib.android,AppdotnetApi,doGet,3,1,2,98,0,org.socialnetlib.android.AppdotnetApi,org.socialnetlib.android.AppdotnetApi
TweetLanes-1.4.1,org.socialnetlib.android,AppdotnetApi,doGet,7,2,3,102,0,org.socialnetlib.android.AppdotnetApi,org.socialnetlib.android.AppdotnetApi
TweetLanes-1.4.1,org.socialnetlib.android,AppdotnetApi,doPost,8,2,2,111,0,org.socialnetlib.android.AppdotnetApi,org.socialnetlib.android.AppdotnetApi
TweetLanes-1.4.1,org.socialnetlib.android,AppdotnetApi,doPost,3,1,3,121,0,org.socialnetlib.android.AppdotnetApi,org.socialnetlib.android.AppdotnetApi
TweetLanes-1.4.1,org.socialnetlib.android,AppdotnetApi,verifyCredentialsSync,8,2,2,132,0,org.socialnetlib.android.AppdotnetApi,org.socialnetlib.android.AppdotnetApi
TweetLanes-1.4.1,org.socialnetlib.android,AppdotnetApi,getAdnUser,8,2,1,148,0,org.socialnetlib.android.AppdotnetApi,org.socialnetlib.android.AppdotnetApi
TweetLanes-1.4.1,org.socialnetlib.android,AppdotnetApi,getAdnUser,8,2,1,159,0,org.socialnetlib.android.AppdotnetApi,org.socialnetlib.android.AppdotnetApi
TweetLanes-1.4.1,org.socialnetlib.android,AppdotnetApi,getAdnFollowing,17,3,0,170,0,org.socialnetlib.android.AppdotnetApi,org.socialnetlib.android.AppdotnetApi
TweetLanes-1.4.1,org.socialnetlib.android,AppdotnetApi,getAdnFollowedBy,17,3,0,188,0,org.socialnetlib.android.AppdotnetApi,org.socialnetlib.android.AppdotnetApi
TweetLanes-1.4.1,org.socialnetlib.android,AppdotnetApi,getAdnMultipleUsers,10,3,1,206,0,org.socialnetlib.android.AppdotnetApi,org.socialnetlib.android.AppdotnetApi
TweetLanes-1.4.1,org.socialnetlib.android,AppdotnetApi,getUsersWhoReposted,3,1,1,218,0,org.socialnetlib.android.AppdotnetApi,org.socialnetlib.android.AppdotnetApi
TweetLanes-1.4.1,org.socialnetlib.android,AppdotnetApi,getAdnStream,3,1,1,225,0,org.socialnetlib.android.AppdotnetApi,org.socialnetlib.android.AppdotnetApi
