Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
TweetLanes-1.4.1,org.socialnetlib.android,SocialNetApi,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 24
TweetLanes-1.4.1,org.tweetalib.android,TwitterFetchUsers,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
TweetLanes-1.4.1,org.tweetalib.android,TwitterManager,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 21
TweetLanes-1.4.1,org.tweetalib.android.fetch,TwitterFetchStatuses,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
TweetLanes-1.4.1,org.tweetalib.android.fetch,TwitterFetchDirectMessages,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
TweetLanes-1.4.1,com.twitter,Autolink.LinkAttributeModifier,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
TweetLanes-1.4.1,com.twitter,Autolink.LinkTextModifier,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
TweetLanes-1.4.1,com.twitter,Extractor.Entity,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
TweetLanes-1.4.1,com.tweetlanes.android.core.widget.gestureimageview,GestureImageViewTouchListener,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
TweetLanes-1.4.1,com.tweetlanes.android.core.widget.viewpagerindicator,TabPageIndicator.TabView,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
TweetLanes-1.4.1,com.tweetlanes.android.core.widget.viewpagerindicator,ListTabPageIndicator.TabView,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
TweetLanes-1.4.1,com.tweetlanes.android.core.widget.urlimageviewhelper,UrlDownloader.UrlDownloaderCallback,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
TweetLanes-1.4.1,com.tweetlanes.android.core.widget.urlimageviewhelper,UrlImageViewHelper,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
TweetLanes-1.4.1,com.tweetlanes.android.core.widget.urlimageviewhelper,UrlImageViewHelper.RequestPropertiesCallback,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
TweetLanes-1.4.1,com.tweetlanes.android.core.widget.pulltorefresh,PullToRefreshBase.OnRefreshListener,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
TweetLanes-1.4.1,com.tweetlanes.android.core.widget.pulltorefresh,PullToRefreshBase.OnLastItemVisibleListener,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
TweetLanes-1.4.1,com.tweetlanes.android.core.util,LazyImageLoader.ExpiringBitmap,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
TweetLanes-1.4.1,com.tweetlanes.android.core,App,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
TweetLanes-1.4.1,com.tweetlanes.android.core.view,ComposeDirectMessageFragment,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
TweetLanes-1.4.1,com.tweetlanes.android.core.view,AlarmReceiver,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 21
TweetLanes-1.4.1,com.tweetlanes.android.core.view,DirectMessageFeedFragment,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 19
TweetLanes-1.4.1,com.tweetlanes.android.core.view,ProfileFragment,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
TweetLanes-1.4.1,com.tweetlanes.android.core.view,TweetFeedItemView,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
TweetLanes-1.4.1,com.tweetlanes.android.core.view,TweetSpotlightActivity,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
TweetLanes-1.4.1,com.tweetlanes.android.core.view,BaseLaneActivity,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 21
TweetLanes-1.4.1,com.tweetlanes.android.core.view,TweetFeedFragment,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 19
TweetLanes-1.4.1,com.tweetlanes.android.core.view,UserFeedFragment,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
TweetLanes-1.4.1,com.tweetlanes.android.core.view,DirectMessageItemView,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
TweetLanes-1.4.1,com.tweetlanes.android.core.view,ConversationView,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
TweetLanes-1.4.1,com.tweetlanes.android.core.view,ComposeBaseFragment,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
TweetLanes-1.4.1,com.tweetlanes.android.core.view,HomeActivity,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
TweetLanes-1.4.1,com.tweetlanes.android.core.view,SettingsActivity,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
