Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
TweetLanes-1.4.1,org.socialnetlib.android,TwitterApi,3,1,7,5,53,9,0,1,0.42857142857142855,1,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/socialnetlib/android/TwitterApi.java,31
TweetLanes-1.4.1,org.socialnetlib.android,SocialNetConstant,0,0,0,0,3,0,0,0,-1.0,24,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/socialnetlib/android/SocialNetConstant.java,19
TweetLanes-1.4.1,org.socialnetlib.android,SocialNetConstant.Type,0,0,0,0,1,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/socialnetlib/android/SocialNetConstant.java,21
TweetLanes-1.4.1,org.socialnetlib.android,AppdotnetApi,0,0,43,25,354,84,0,1,-1.0,1,5,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/socialnetlib/android/AppdotnetApi.java,37
TweetLanes-1.4.1,org.socialnetlib.android,SocialNetApi,17,0,99,80,402,108,2,0,0.050505050505050504,1,24,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/socialnetlib/android/SocialNetApi.java,56
TweetLanes-1.4.1,org.appdotnet4j.model,AdnMedia,3,3,2,2,33,3,0,0,0.0,3,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/appdotnet4j/model/AdnMedia.java,6
TweetLanes-1.4.1,org.appdotnet4j.model,AdnPostCompose,3,3,1,1,12,2,0,0,0.0,1,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/appdotnet4j/model/AdnPostCompose.java,21
TweetLanes-1.4.1,org.appdotnet4j.model,AdnPaging,3,1,5,5,20,5,0,0,0.6,2,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/appdotnet4j/model/AdnPaging.java,19
TweetLanes-1.4.1,org.appdotnet4j.model,AdnPosts,1,1,3,3,43,9,0,0,0.0,4,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/appdotnet4j/model/AdnPosts.java,20
TweetLanes-1.4.1,org.appdotnet4j.model,AdnPost,14,14,2,2,112,22,0,0,1.0,4,5,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/appdotnet4j/model/AdnPost.java,25
TweetLanes-1.4.1,org.appdotnet4j.model,AdnInteraction,2,2,1,1,75,13,0,0,0.0,1,4,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/appdotnet4j/model/AdnInteraction.java,21
TweetLanes-1.4.1,org.appdotnet4j.model,AdnUser,11,11,1,1,55,8,0,0,0.0,7,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/appdotnet4j/model/AdnUser.java,17
TweetLanes-1.4.1,org.appdotnet4j.model,AdnInteractions,1,0,2,2,33,8,0,0,0.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/appdotnet4j/model/AdnInteractions.java,20
TweetLanes-1.4.1,org.appdotnet4j.model,AdnFile,2,2,1,1,11,1,0,0,0.0,1,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/appdotnet4j/model/AdnFile.java,3
TweetLanes-1.4.1,org.appdotnet4j.model,AdnUrl,2,0,7,7,26,7,0,0,0.42857142857142855,1,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/appdotnet4j/model/AdnUrl.java,5
TweetLanes-1.4.1,org.appdotnet4j.model,AdnUsers,1,1,2,2,36,6,0,0,0.0,1,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/appdotnet4j/model/AdnUsers.java,20
TweetLanes-1.4.1,org.asynctasktex,AsyncTaskEx,27,7,24,11,0,30,0,0,0.25,14,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/asynctasktex/AsyncTaskEx.java,53
TweetLanes-1.4.1,org.asynctasktex,AsyncTaskEx.Status,0,0,0,0,13,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/asynctasktex/AsyncTaskEx.java,290
TweetLanes-1.4.1,org.asynctasktex,AsyncTaskEx.InternalHandler,0,0,0,0,13,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/asynctasktex/AsyncTaskEx.java,694
TweetLanes-1.4.1,org.asynctasktex,AsyncTaskEx.WorkerRunnable,1,0,0,0,3,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/asynctasktex/AsyncTaskEx.java,711
TweetLanes-1.4.1,org.asynctasktex,AsyncTaskEx.PrioritizedAsyncTaskResult,2,0,0,0,8,0,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/asynctasktex/AsyncTaskEx.java,716
TweetLanes-1.4.1,org.asynctasktex,BaseExecutor,0,0,1,1,3,1,2,0,-1.0,1,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/asynctasktex/BaseExecutor.java,21
TweetLanes-1.4.1,org.asynctasktex,SerialExecutor,2,0,4,3,28,6,0,1,0.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/asynctasktex/SerialExecutor.java,21
TweetLanes-1.4.1,org.asynctasktex,PriorityExecutor,4,2,4,3,47,6,0,1,0.0,1,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/asynctasktex/PriorityExecutor.java,23
TweetLanes-1.4.1,org.asynctasktex,PriorityExecutor.PrioritizedRunnable,2,2,0,0,8,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/asynctasktex/PriorityExecutor.java,28
TweetLanes-1.4.1,org.asynctasktex,PriorityExecutor.PrioritizedRunnableComparator,0,0,0,0,5,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/asynctasktex/PriorityExecutor.java,41
TweetLanes-1.4.1,org.tweetalib.android,TwitterModifyStatuses,16,0,11,7,205,13,0,0,0.2727272727272727,3,4,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/tweetalib/android/TwitterModifyStatuses.java,33
TweetLanes-1.4.1,org.tweetalib.android,TwitterModifyStatuses.ModifyStatusesWorkerCallbacks,0,0,0,0,4,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/tweetalib/android/TwitterModifyStatuses.java,51
TweetLanes-1.4.1,org.tweetalib.android,TwitterModifyStatuses.FinishedCallbackInterface,0,0,0,0,3,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/tweetalib/android/TwitterModifyStatuses.java,61
TweetLanes-1.4.1,org.tweetalib.android,TwitterModifyStatuses.FinishedCallback,2,0,0,0,7,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/tweetalib/android/TwitterModifyStatuses.java,70
TweetLanes-1.4.1,org.tweetalib.android,TwitterModifyStatuses.FinishedDeleteCallback,3,0,0,0,15,0,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/tweetalib/android/TwitterModifyStatuses.java,84
TweetLanes-1.4.1,org.tweetalib.android,TwitterModifyStatuses.ModifyStatusesTaskInput,4,0,0,0,12,0,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/tweetalib/android/TwitterModifyStatuses.java,191
TweetLanes-1.4.1,org.tweetalib.android,TwitterModifyStatuses.ModifyStatusesTaskOutput,4,0,0,0,12,0,0,0,-1.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/tweetalib/android/TwitterModifyStatuses.java,210
TweetLanes-1.4.1,org.tweetalib.android,TwitterModifyStatuses.ModifyStatusesTask,0,0,0,0,105,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/tweetalib/android/TwitterModifyStatuses.java,229
TweetLanes-1.4.1,org.tweetalib.android,TwitterFetchLists,11,0,11,6,125,15,0,0,0.2727272727272727,2,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/tweetalib/android/TwitterFetchLists.java,31
TweetLanes-1.4.1,org.tweetalib.android,TwitterFetchLists.FetchListsWorkerCallbacks,0,0,0,0,3,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/tweetalib/android/TwitterFetchLists.java,50
TweetLanes-1.4.1,org.tweetalib.android,TwitterFetchLists.FinishedCallbackInterface,0,0,0,0,3,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/tweetalib/android/TwitterFetchLists.java,58
TweetLanes-1.4.1,org.tweetalib.android,TwitterFetchLists.FinishedCallback,2,0,0,0,7,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/tweetalib/android/TwitterFetchLists.java,67
TweetLanes-1.4.1,org.tweetalib.android,TwitterFetchLists.FetchListsTaskInput,3,0,0,0,13,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/tweetalib/android/TwitterFetchLists.java,179
TweetLanes-1.4.1,org.tweetalib.android,TwitterFetchLists.FetchListsTaskOutput,2,0,0,0,8,0,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/tweetalib/android/TwitterFetchLists.java,199
TweetLanes-1.4.1,org.tweetalib.android,TwitterFetchLists.FetchListsTask,0,0,0,0,33,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/tweetalib/android/TwitterFetchLists.java,213
TweetLanes-1.4.1,org.tweetalib.android,ConnectionStatus,1,0,4,4,20,4,0,0,0.0,17,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/tweetalib/android/ConnectionStatus.java,19
TweetLanes-1.4.1,org.tweetalib.android,ConnectionStatus.Callbacks,0,0,0,0,5,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/tweetalib/android/ConnectionStatus.java,48
TweetLanes-1.4.1,org.tweetalib.android,TwitterFetchStatus,13,0,12,7,0,16,0,0,0.16666666666666666,4,5,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/tweetalib/android/TwitterFetchStatus.java,31
TweetLanes-1.4.1,org.tweetalib.android,TwitterFetchStatus.FetchStatusWorkerCallbacks,0,0,0,0,5,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/org/tweetalib/android/TwitterFetchStatus.java,49
