Project Name,Package Name,Architecture Smell,Cause of the Smell
bitcoin-wallet-6.31,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 7.38. All the dependencies among components: from: de.schildbach.wallet.util to: de.schildbach.wallet; from: de.schildbach.wallet.util to: de.schildbach.wallet.service; from: de.schildbach.wallet.ui to: de.schildbach.wallet.data; from: de.schildbach.wallet.ui to: de.schildbach.wallet; from: de.schildbach.wallet.ui to: de.schildbach.wallet.util; from: de.schildbach.wallet.ui to: de.schildbach.wallet.service; from: de.schildbach.wallet.ui to: de.schildbach.wallet.ui.scan; from: de.schildbach.wallet.ui to: de.schildbach.wallet.ui.send; from: de.schildbach.wallet.ui to: de.schildbach.wallet.ui.backup; from: de.schildbach.wallet.ui.monitor to: de.schildbach.wallet.util; from: de.schildbach.wallet.ui.monitor to: de.schildbach.wallet; from: de.schildbach.wallet.ui.monitor to: de.schildbach.wallet.service; from: de.schildbach.wallet.ui.monitor to: de.schildbach.wallet.ui; from: de.schildbach.wallet.ui.monitor to: de.schildbach.wallet.data; from: de.schildbach.wallet.ui.scan to: de.schildbach.wallet.util; from: de.schildbach.wallet.ui.scan to: de.schildbach.wallet.data; from: de.schildbach.wallet.ui.preference to: de.schildbach.wallet; from: de.schildbach.wallet.ui.preference to: de.schildbach.wallet.service; from: de.schildbach.wallet.ui.preference to: de.schildbach.wallet.ui; from: de.schildbach.wallet.ui.preference to: de.schildbach.wallet.util; from: de.schildbach.wallet.ui.backup to: de.schildbach.wallet; from: de.schildbach.wallet.ui.backup to: de.schildbach.wallet.data; from: de.schildbach.wallet.ui.backup to: de.schildbach.wallet.ui; from: de.schildbach.wallet.ui.backup to: de.schildbach.wallet.util; from: de.schildbach.wallet.ui.send to: de.schildbach.wallet; from: de.schildbach.wallet.ui.send to: de.schildbach.wallet.service; from: de.schildbach.wallet.ui.send to: de.schildbach.wallet.data; from: de.schildbach.wallet.ui.send to: de.schildbach.wallet.ui; from: de.schildbach.wallet.ui.send to: de.schildbach.wallet.util; from: de.schildbach.wallet.ui.send to: de.schildbach.wallet.ui.scan; from: de.schildbach.wallet.ui.send to: de.schildbach.wallet.offline; from: de.schildbach.wallet.ui.send to: de.schildbach.wallet.integration.android; from: de.schildbach.wallet to: de.schildbach.wallet.data; from: de.schildbach.wallet to: de.schildbach.wallet.util; from: de.schildbach.wallet to: de.schildbach.wallet.service; from: de.schildbach.wallet.service to: de.schildbach.wallet; from: de.schildbach.wallet.service to: de.schildbach.wallet.data; from: de.schildbach.wallet.service to: de.schildbach.wallet.util; from: de.schildbach.wallet.service to: de.schildbach.wallet.ui.send; from: de.schildbach.wallet.data to: de.schildbach.wallet; from: de.schildbach.wallet.data to: de.schildbach.wallet.service; from: de.schildbach.wallet.data to: de.schildbach.wallet.util; from: de.schildbach.wallet.data to: de.schildbach.wallet.ui.send; from: de.schildbach.wallet.offline to: de.schildbach.wallet; from: de.schildbach.wallet.offline to: de.schildbach.wallet.util; from: de.schildbach.wallet.offline to: de.schildbach.wallet.data; from: de.schildbach.wallet.offline to: de.schildbach.wallet.service; from: de.schildbach.wallet.integration.sample to: de.schildbach.wallet.integration.android.
bitcoin-wallet-6.31,de.schildbach.wallet.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): de.schildbach.wallet; de.schildbach.wallet.service
bitcoin-wallet-6.31,de.schildbach.wallet.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FormatsTest; Formats; MonetarySpannable]; [WalletUtilsTest; WalletUtils; Iso8601Format]; [CryptoTest; Io; Crypto]; [BluetoothTest; Bluetooth; GenericUtils]; [Base43Test; Base43; Qr]; [CheatSheet; Toast]; [ViewPagerTabs]; [Nfc]; [OnFirstPreDraw]; [OnFirstPreDraw.Callback]; [WalletUtils.MonospaceSpan]; [CrashReporter]; [CrashReporter.ExceptionHandler]; [WholeStringBuilder]. LCC (Lack of Component Cohesion) = 0.56
bitcoin-wallet-6.31,de.schildbach.wallet.ui,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 86
bitcoin-wallet-6.31,de.schildbach.wallet.ui,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): de.schildbach.wallet.ui.send; de.schildbach.wallet.ui.backup
bitcoin-wallet-6.31,de.schildbach.wallet.ui,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [WalletAddressesAdapter; WalletAddressesFragment; BitmapFragment; AddressBookActivity; WalletActivity; SendingAddressesFragment; WalletTransactionsFragment; DialogBuilder; FancyListFragment; InputParser; InputParser.StringInputParser; InputParser.BinaryInputParser; InputParser.StreamInputParser; AlertDialogsFragment; WalletActionsFragment; TransactionsAdapter; TransactionsAdapter.ItemAnimator; ReportIssueDialogFragment; CurrencyTextView; ExchangeRatesAdapter; ExchangeRatesAdapter.ViewHolder; WalletBalanceFragment; ExchangeRatesFragment; DividerItemDecoration; TransactionsAdapter.TransactionViewHolder; EncryptKeysDialogFragment; AbstractWalletActivity; EditAddressBookEntryFragment; ExchangeRatesActivity; WalletViewModel; RequestCoinsFragment; CurrencyAmountView; CurrencySymbolDrawable; RequestCoinsActivity; RequestCoinsViewModel; CurrencyCalculatorLink; WalletAddressFragment; WalletAddressDialogFragment; WalletAddressViewModel; MaybeMaintenanceViewModel; MaybeMaintenanceFragment; WalletAddressesViewModel; SendingAddressesViewModel; WalletTransactionsViewModel; HelpDialogFragment; WalletDisclaimerFragment; ReportIssueDialogBuilder; ReportIssueViewModel; CircularProgressView]; [EncryptKeysDialogFragment.State]; [MaybeMaintenanceViewModel.WalletMaintenanceRecommendedLiveData]; [WalletAddressesViewModel.IssuedReceiveKeysLiveData]; [WalletAddressesViewModel.ImportedKeysLiveData]; [WalletViewModel.EnterAnimationState]; [WalletViewModel.WalletEncryptedLiveData]; [SendCoinsQrActivity]; [ShowPasswordCheckListener]; [SendingAddressesViewModel.AddressesToExcludeLiveData]; [SendingAddressesViewModel.ClipLiveData]; [WalletTransactionsViewModel.Direction]; [WalletTransactionsViewModel.TransactionsLiveData]; [WalletTransactionsViewModel.WalletListener]; [WalletTransactionsViewModel.TransactionsConfidenceLiveData]; [ExchangeRatesAdapter.ListItem]; [ExchangeRatesAdapter.OnClickListener]; [WalletBalanceFragment.ViewModel]; [CurrencyAmountView.Listener]; [CurrencyAmountView.TextViewListener]; [AddressBookActivity.TwoFragmentAdapter]; [StickToTopLinearLayoutManager]; [ProgressDialogFragment]; [ExchangeRatesFragment.ViewModel]; [ExchangeRatesFragment.ExchangeRatesLiveData]; [AddressAndLabel]; [RequestCoinsViewModel.FreshReceiveAddressLiveData]; [WalletAddressViewModel.CurrentAddressLiveData]; [WalletAddressViewModel.WalletListener]; [TransactionsAdapter.ListItem]; [TransactionsAdapter.TransactionItem]; [TransactionsAdapter.WarningItem]; [TransactionsAdapter.WarningType]; [TransactionsAdapter.ChangeType]; [TransactionsAdapter.OnClickListener]; [TransactionsAdapter.WarningViewHolder]; [WalletDisclaimerFragment.ViewModel]; [WalletDisclaimerFragment.DisclaimerEnabledLiveData]. LCC (Lack of Component Cohesion) = 0.44
bitcoin-wallet-6.31,de.schildbach.wallet.ui,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: de.schildbach.wallet.ui; de.schildbach.wallet.ui.send; de.schildbach.wallet.ui
bitcoin-wallet-6.31,de.schildbach.wallet.ui,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: de.schildbach.wallet.ui; de.schildbach.wallet.ui.backup; de.schildbach.wallet.ui
bitcoin-wallet-6.31,de.schildbach.wallet.ui.monitor,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [NetworkMonitorActivity; PeerListFragment; BlockListFragment; BlockListAdapter; PeerListAdapter]; [NetworkMonitorActivity.PagerAdapter]; [PeerListFragment.ViewModel]; [PeerListFragment.PeersLiveData]; [PeerListFragment.HostnamesLiveData]; [BlockListFragment.ViewModel]; [BlockListFragment.BlocksLiveData]; [BlockListFragment.TransactionsLiveData]; [BlockListAdapter.ListItem]; [BlockListAdapter.ListTransaction]; [BlockListAdapter.OnClickListener]; [BlockListAdapter.ViewHolder]; [PeerListAdapter.ListItem]; [PeerListAdapter.ViewHolder]. LCC (Lack of Component Cohesion) = 0.78
bitcoin-wallet-6.31,de.schildbach.wallet.ui.scan,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ScanActivity; CameraManager; ScannerView; ScanViewModel]; [ScanActivity.AutoFocusRunnable]; [ScanActivity.WarnDialogFragment]. LCC (Lack of Component Cohesion) = 0.5
