Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
bitcoin-wallet-6.31,de.schildbach.wallet.util,FormatsTest,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: monetarySpannable
bitcoin-wallet-6.31,de.schildbach.wallet.util,Bluetooth,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PAYMENT_REQUESTS_UUID; BIP70_PAYMENT_PROTOCOL_UUID; BIP70_PAYMENT_PROTOCOL_NAME; CLASSIC_PAYMENT_PROTOCOL_UUID; CLASSIC_PAYMENT_PROTOCOL_NAME; MAC_URI_PARAM; MARSHMELLOW_FAKE_MAC; log
bitcoin-wallet-6.31,de.schildbach.wallet.util,OnFirstPreDraw.Callback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bitcoin-wallet-6.31,de.schildbach.wallet.util,WalletUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: log; KEYS_FILE_FILTER; BACKUP_FILE_FILTER
bitcoin-wallet-6.31,de.schildbach.wallet.util,WalletUtils,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: WalletBalanceWidgetProvider; WalletApplication; WalletUtils; BlockchainService; WalletLiveData; WalletBalanceLiveData; SelectedExchangeRateLiveData; ExchangeRatesProvider; TimeLiveData
bitcoin-wallet-6.31,de.schildbach.wallet.util,WalletUtils,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods
bitcoin-wallet-6.31,de.schildbach.wallet.util,WalletUtils.MonospaceSpan,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
bitcoin-wallet-6.31,de.schildbach.wallet.util,WalletUtils.MonospaceSpan,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bitcoin-wallet-6.31,de.schildbach.wallet.util,CrashReporter.ExceptionHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: previousHandler
bitcoin-wallet-6.31,de.schildbach.wallet.util,CrashReporter.ExceptionHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bitcoin-wallet-6.31,de.schildbach.wallet.util,Crypto,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: BASE64_ENCRYPT; BASE64_DECRYPT; NUMBER_OF_ITERATIONS; KEY_LENGTH; IV_LENGTH; SALT_LENGTH; OPENSSL_SALTED_TEXT; OPENSSL_SALTED_BYTES; OPENSSL_MAGIC_TEXT; NUMBER_OF_CHARACTERS_TO_MATCH_IN_OPENSSL_MAGIC_TEXT; secureRandom; OPENSSL_FILE_FILTER; buf
bitcoin-wallet-6.31,de.schildbach.wallet.util,MonetarySpannable,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: BOLD_SPAN; SMALLER_SPAN; STANDARD_SIGNIFICANT_SPANS; STANDARD_INSIGNIFICANT_SPANS
bitcoin-wallet-6.31,de.schildbach.wallet.util,Formats,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PATTERN_MONETARY_SPANNABLE; PATTERN_GROUP_PREFIX; PATTERN_GROUP_SIGNIFICANT; PATTERN_GROUP_INSIGNIFICANT; PATTERN_MEMO
bitcoin-wallet-6.31,de.schildbach.wallet.ui,EncryptKeysDialogFragment.State,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
bitcoin-wallet-6.31,de.schildbach.wallet.ui,EncryptKeysDialogFragment.State,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bitcoin-wallet-6.31,de.schildbach.wallet.ui,WalletAddressFragment,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bitcoin-wallet-6.31,de.schildbach.wallet.ui,MaybeMaintenanceViewModel,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: application; walletMaintenanceRecommended; blockchainState; showDialog; dialogWasShown
bitcoin-wallet-6.31,de.schildbach.wallet.ui,MaybeMaintenanceViewModel.WalletMaintenanceRecommendedLiveData,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
bitcoin-wallet-6.31,de.schildbach.wallet.ui,MaybeMaintenanceViewModel.WalletMaintenanceRecommendedLiveData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bitcoin-wallet-6.31,de.schildbach.wallet.ui,ExchangeRatesActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bitcoin-wallet-6.31,de.schildbach.wallet.ui,WalletAddressesViewModel,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: application; issuedReceiveKeys; importedKeys; addressBook; wallet; ownName
bitcoin-wallet-6.31,de.schildbach.wallet.ui,WalletAddressesViewModel.IssuedReceiveKeysLiveData,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
bitcoin-wallet-6.31,de.schildbach.wallet.ui,WalletAddressesViewModel.IssuedReceiveKeysLiveData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bitcoin-wallet-6.31,de.schildbach.wallet.ui,WalletAddressesViewModel.ImportedKeysLiveData,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
bitcoin-wallet-6.31,de.schildbach.wallet.ui,WalletAddressesViewModel.ImportedKeysLiveData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bitcoin-wallet-6.31,de.schildbach.wallet.ui,WalletViewModel,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: application; walletEncrypted; enterAnimation; doAnimation; globalLayoutFinished; balanceLoadingFinished; addressLoadingFinished; transactionsLoadingFinished
bitcoin-wallet-6.31,de.schildbach.wallet.ui,WalletViewModel.EnterAnimationState,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
bitcoin-wallet-6.31,de.schildbach.wallet.ui,WalletViewModel.EnterAnimationState,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bitcoin-wallet-6.31,de.schildbach.wallet.ui,WalletViewModel.WalletEncryptedLiveData,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
bitcoin-wallet-6.31,de.schildbach.wallet.ui,WalletViewModel.WalletEncryptedLiveData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bitcoin-wallet-6.31,de.schildbach.wallet.ui,WalletAddressesFragment,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): FancyListFragment
bitcoin-wallet-6.31,de.schildbach.wallet.ui,SendCoinsQrActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bitcoin-wallet-6.31,de.schildbach.wallet.ui,ShowPasswordCheckListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bitcoin-wallet-6.31,de.schildbach.wallet.ui,SendingAddressesViewModel,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: application; wallet; addressBook; addressesToExclude; clip; clipboardManager
bitcoin-wallet-6.31,de.schildbach.wallet.ui,SendingAddressesViewModel.AddressesToExcludeLiveData,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
bitcoin-wallet-6.31,de.schildbach.wallet.ui,SendingAddressesViewModel.AddressesToExcludeLiveData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bitcoin-wallet-6.31,de.schildbach.wallet.ui,SendingAddressesViewModel.ClipLiveData,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: clipboardManager
bitcoin-wallet-6.31,de.schildbach.wallet.ui,SendingAddressesViewModel.ClipLiveData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bitcoin-wallet-6.31,de.schildbach.wallet.ui,RequestCoinsFragment,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bitcoin-wallet-6.31,de.schildbach.wallet.ui,RequestCoinsFragment,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
bitcoin-wallet-6.31,de.schildbach.wallet.ui,WalletTransactionsViewModel,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: application; transactions; wallet; transactionsConfidence; addressBook; configFormat; direction; selectedTransaction; warning; list; TRANSACTION_COMPARATOR; THROTTLE_MS; walletListener
bitcoin-wallet-6.31,de.schildbach.wallet.ui,WalletTransactionsViewModel.Direction,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
bitcoin-wallet-6.31,de.schildbach.wallet.ui,WalletTransactionsViewModel.Direction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bitcoin-wallet-6.31,de.schildbach.wallet.ui,WalletTransactionsViewModel.TransactionsLiveData,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: THROTTLE_MS; walletListener
bitcoin-wallet-6.31,de.schildbach.wallet.ui,WalletTransactionsViewModel.TransactionsLiveData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bitcoin-wallet-6.31,de.schildbach.wallet.ui,WalletTransactionsViewModel.WalletListener,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
bitcoin-wallet-6.31,de.schildbach.wallet.ui,WalletTransactionsViewModel.WalletListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bitcoin-wallet-6.31,de.schildbach.wallet.ui,WalletTransactionsViewModel.TransactionsConfidenceLiveData,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
bitcoin-wallet-6.31,de.schildbach.wallet.ui,WalletTransactionsViewModel.TransactionsConfidenceLiveData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bitcoin-wallet-6.31,de.schildbach.wallet.ui,ExchangeRatesAdapter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: currencyCode; baseRateAsFiat; baseRateMinDecimals; balanceAsFiat; isSelected; inflater; onClickListener; defaultView; currencyCodeView; rateView; walletView; menuView
bitcoin-wallet-6.31,de.schildbach.wallet.ui,ExchangeRatesAdapter.ListItem,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: currencyCode; baseRateAsFiat; baseRateMinDecimals; balanceAsFiat; isSelected
bitcoin-wallet-6.31,de.schildbach.wallet.ui,ExchangeRatesAdapter.ListItem,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bitcoin-wallet-6.31,de.schildbach.wallet.ui,ExchangeRatesAdapter.ListItem,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: currencyCode; baseRateAsFiat; baseRateMinDecimals; balanceAsFiat; isSelected
