Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
bitcoin-wallet-6.31,de.schildbach.wallet.integration.android,BitcoinIntegration,makeBitcoinUriIntent,Long Statement,The length of the statement "if (amount != null) uri.append("?amount=").append(String.format("%d.%08d"`amount / SATOSHIS_PER_COIN`amount % SATOSHIS_PER_COIN));" is 130.,223
bitcoin-wallet-6.31,de.schildbach.wallet.integration.android,BitcoinIntegration,redirectToDownload,Long Statement,The length of the statement "final Intent binaryIntent=new Intent(Intent.ACTION_VIEW`Uri.parse("https://github.com/bitcoin-wallet/bitcoin-wallet/releases"));" is 128.,260
bitcoin-wallet-6.31,de.schildbach.wallet.util,WalletUtilsTest,restoreWalletFromProtobufOrBase58,Long Statement,The length of the statement "WalletUtils.restoreWalletFromProtobufOrBase58(getClass().getResourceAsStream("backup-protobuf-testnet")`TestNet3Params.get());" is 126.,30
bitcoin-wallet-6.31,de.schildbach.wallet.util,WalletUtilsTest,restoreWalletFromProtobufOrBase58,Long Statement,The length of the statement "WalletUtils.restoreWalletFromProtobufOrBase58(getClass().getResourceAsStream("backup-base58-testnet")`TestNet3Params.get());" is 124.,30
bitcoin-wallet-6.31,de.schildbach.wallet.util,WalletUtilsTest,restoreWalletFromProtobuf_wrongNetwork,Long Statement,The length of the statement "WalletUtils.restoreWalletFromProtobufOrBase58(getClass().getResourceAsStream("backup-protobuf-testnet")`MainNetParams.get());" is 125.,38
bitcoin-wallet-6.31,de.schildbach.wallet.util,WalletUtilsTest,restoreWalletFromBase58_wrongNetwork,Long Statement,The length of the statement "WalletUtils.restoreWalletFromProtobufOrBase58(getClass().getResourceAsStream("backup-base58-testnet")`MainNetParams.get());" is 123.,44
bitcoin-wallet-6.31,de.schildbach.wallet.util,CryptoTest,roundtripDifferentTextSizes,Magic Number,The method contains a magic number: 4096,48
bitcoin-wallet-6.31,de.schildbach.wallet.util,CryptoTest,roundtripDifferentByteSizes,Magic Number,The method contains a magic number: 4096,66
bitcoin-wallet-6.31,de.schildbach.wallet.util,CryptoTest,roundtripDifferentByteSizes,Magic Number,The method contains a magic number: 4096,66
bitcoin-wallet-6.31,de.schildbach.wallet.util,CryptoTest,roundtripDifferentByteSizes,Magic Number,The method contains a magic number: 42,66
bitcoin-wallet-6.31,de.schildbach.wallet.util,CryptoTest,roundtripDifferentPasswordSizes,Magic Number,The method contains a magic number: 4096,78
bitcoin-wallet-6.31,de.schildbach.wallet.util,CryptoTest,readBackupFromResource,Long Statement,The length of the statement "final BufferedReader reader=new BufferedReader(new InputStreamReader(getClass().getResourceAsStream(filename)`StandardCharsets.UTF_8));" is 135.,101
bitcoin-wallet-6.31,de.schildbach.wallet.util,Base43Test,encode,Magic Number,The method contains a magic number: 0xff,29
bitcoin-wallet-6.31,de.schildbach.wallet.util,Base43Test,decode,Magic Number,The method contains a magic number: 0xff,40
bitcoin-wallet-6.31,de.schildbach.wallet.util,Base43,encode,Magic Number,The method contains a magic number: 2,40
bitcoin-wallet-6.31,de.schildbach.wallet.util,Base43,decode,Complex Method,Cyclomatic complexity of the method is 9,76
bitcoin-wallet-6.31,de.schildbach.wallet.util,Base43,decode,Magic Number,The method contains a magic number: 128,76
bitcoin-wallet-6.31,de.schildbach.wallet.util,Base43,divmod43,Magic Number,The method contains a magic number: 0xFF,124
bitcoin-wallet-6.31,de.schildbach.wallet.util,Base43,divmod43,Magic Number,The method contains a magic number: 256,124
bitcoin-wallet-6.31,de.schildbach.wallet.util,Base43,divmod43,Magic Number,The method contains a magic number: 43,124
bitcoin-wallet-6.31,de.schildbach.wallet.util,Base43,divmod43,Magic Number,The method contains a magic number: 43,124
bitcoin-wallet-6.31,de.schildbach.wallet.util,Base43,divmod256,Magic Number,The method contains a magic number: 0xFF,141
bitcoin-wallet-6.31,de.schildbach.wallet.util,Base43,divmod256,Magic Number,The method contains a magic number: 43,141
bitcoin-wallet-6.31,de.schildbach.wallet.util,Base43,divmod256,Magic Number,The method contains a magic number: 256,141
bitcoin-wallet-6.31,de.schildbach.wallet.util,Base43,divmod256,Magic Number,The method contains a magic number: 256,141
bitcoin-wallet-6.31,de.schildbach.wallet.util,CheatSheet,showCheatSheet,Long Statement,The length of the statement "cheatSheet.setGravity(Gravity.TOP | Gravity.CENTER_HORIZONTAL`viewCenterX - screenWidth / 2`screenPos[1] - displayFrame.top + viewHeight);" is 138.,110
bitcoin-wallet-6.31,de.schildbach.wallet.util,CheatSheet,showCheatSheet,Long Statement,The length of the statement "cheatSheet.setGravity(Gravity.TOP | Gravity.CENTER_HORIZONTAL`viewCenterX - screenWidth / 2`screenPos[1] - displayFrame.top - estimatedToastHeight);" is 148.,110
bitcoin-wallet-6.31,de.schildbach.wallet.util,CheatSheet,showCheatSheet,Magic Number,The method contains a magic number: 2,110
bitcoin-wallet-6.31,de.schildbach.wallet.util,CheatSheet,showCheatSheet,Magic Number,The method contains a magic number: 2,110
bitcoin-wallet-6.31,de.schildbach.wallet.util,CheatSheet,showCheatSheet,Magic Number,The method contains a magic number: 2,110
bitcoin-wallet-6.31,de.schildbach.wallet.util,CheatSheet,showCheatSheet,Magic Number,The method contains a magic number: 2,110
bitcoin-wallet-6.31,de.schildbach.wallet.util,Io,copy,Magic Number,The method contains a magic number: 256,33
bitcoin-wallet-6.31,de.schildbach.wallet.util,Io,copy,Magic Number,The method contains a magic number: 1024,48
bitcoin-wallet-6.31,de.schildbach.wallet.util,ViewPagerTabs,ViewPagerTabs,Magic Number,The method contains a magic number: 2,49
bitcoin-wallet-6.31,de.schildbach.wallet.util,ViewPagerTabs,onDraw,Magic Number,The method contains a magic number: 2,79
bitcoin-wallet-6.31,de.schildbach.wallet.util,ViewPagerTabs,onDraw,Magic Number,The method contains a magic number: 32,79
bitcoin-wallet-6.31,de.schildbach.wallet.util,ViewPagerTabs,onDraw,Magic Number,The method contains a magic number: 5,79
bitcoin-wallet-6.31,de.schildbach.wallet.util,ViewPagerTabs,onDraw,Magic Number,The method contains a magic number: 5,79
bitcoin-wallet-6.31,de.schildbach.wallet.util,ViewPagerTabs,onDraw,Magic Number,The method contains a magic number: 5,79
bitcoin-wallet-6.31,de.schildbach.wallet.util,ViewPagerTabs,onDraw,Magic Number,The method contains a magic number: 2,79
bitcoin-wallet-6.31,de.schildbach.wallet.util,ViewPagerTabs,onDraw,Magic Number,The method contains a magic number: 255,79
bitcoin-wallet-6.31,de.schildbach.wallet.util,Bluetooth,decompressMac,Magic Number,The method contains a magic number: 2,78
bitcoin-wallet-6.31,de.schildbach.wallet.util,Bluetooth,decompressMac,Magic Number,The method contains a magic number: 2,78
bitcoin-wallet-6.31,de.schildbach.wallet.util,Bluetooth,getBluetoothMac,Magic Number,The method contains a magic number: 3,91
bitcoin-wallet-6.31,de.schildbach.wallet.util,Bluetooth,getBluetoothMac,Magic Number,The method contains a magic number: 3,91
bitcoin-wallet-6.31,de.schildbach.wallet.util,Nfc,extractMimePayload,Long Statement,The length of the statement "if (record.getTnf() == NdefRecord.TNF_MIME_MEDIA && Arrays.equals(record.getType()`mimeBytes)) return record.getPayload();" is 122.,38
bitcoin-wallet-6.31,de.schildbach.wallet.util,Qr,decodeDecompressBinary,Magic Number,The method contains a magic number: 4096,100
bitcoin-wallet-6.31,de.schildbach.wallet.util,WalletUtils,longHash,Long Statement,The length of the statement "return (bytes[31] & 0xFFl) | ((bytes[30] & 0xFFl) << 8) | ((bytes[29] & 0xFFl) << 16)| ((bytes[28] & 0xFFl) << 24)| ((bytes[27] & 0xFFl) << 32)| ((bytes[26] & 0xFFl) << 40)| ((bytes[25] & 0xFFl) << 48)| ((bytes[23] & 0xFFl) << 56);" is 231.,91
