Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
bitcoin-wallet-6.31,de.schildbach.wallet.integration.android,BitcoinIntegration,request,4,1,2,36,0,de.schildbach.wallet.integration.android.BitcoinIntegration,de.schildbach.wallet.integration.android.BitcoinIntegration
bitcoin-wallet-6.31,de.schildbach.wallet.integration.android,BitcoinIntegration,request,4,1,3,50,0,de.schildbach.wallet.integration.android.BitcoinIntegration,de.schildbach.wallet.integration.android.BitcoinIntegration
bitcoin-wallet-6.31,de.schildbach.wallet.integration.android,BitcoinIntegration,request,4,1,2,66,0,de.schildbach.wallet.integration.android.BitcoinIntegration,de.schildbach.wallet.integration.android.BitcoinIntegration
bitcoin-wallet-6.31,de.schildbach.wallet.integration.android,BitcoinIntegration,requestForResult,4,1,3,80,0,de.schildbach.wallet.integration.android.BitcoinIntegration,de.schildbach.wallet.integration.android.BitcoinIntegration
bitcoin-wallet-6.31,de.schildbach.wallet.integration.android,BitcoinIntegration,requestForResult,4,1,4,103,0,de.schildbach.wallet.integration.android.BitcoinIntegration,de.schildbach.wallet.integration.android.BitcoinIntegration
bitcoin-wallet-6.31,de.schildbach.wallet.integration.android,BitcoinIntegration,requestForResult,4,1,3,127,0,de.schildbach.wallet.integration.android.BitcoinIntegration,de.schildbach.wallet.integration.android.BitcoinIntegration
bitcoin-wallet-6.31,de.schildbach.wallet.integration.android,BitcoinIntegration,paymentRequestFromIntent,4,1,1,150,0,,
bitcoin-wallet-6.31,de.schildbach.wallet.integration.android,BitcoinIntegration,paymentToResult,3,1,2,163,0,,
bitcoin-wallet-6.31,de.schildbach.wallet.integration.android,BitcoinIntegration,paymentFromResult,4,1,1,175,0,,
bitcoin-wallet-6.31,de.schildbach.wallet.integration.android,BitcoinIntegration,transactionHashToResult,3,1,2,192,0,,
bitcoin-wallet-6.31,de.schildbach.wallet.integration.android,BitcoinIntegration,transactionHashFromResult,4,1,1,204,0,,
bitcoin-wallet-6.31,de.schildbach.wallet.integration.android,BitcoinIntegration,makeBitcoinUriIntent,7,3,2,223,0,,
bitcoin-wallet-6.31,de.schildbach.wallet.integration.android,BitcoinIntegration,makePaymentRequestIntent,6,1,1,236,0,,
bitcoin-wallet-6.31,de.schildbach.wallet.integration.android,BitcoinIntegration,start,5,2,2,244,0,de.schildbach.wallet.integration.android.BitcoinIntegration,de.schildbach.wallet.integration.android.BitcoinIntegration
bitcoin-wallet-6.31,de.schildbach.wallet.integration.android,BitcoinIntegration,startForResult,5,2,3,252,0,de.schildbach.wallet.integration.android.BitcoinIntegration,de.schildbach.wallet.integration.android.BitcoinIntegration
bitcoin-wallet-6.31,de.schildbach.wallet.integration.android,BitcoinIntegration,redirectToDownload,8,3,1,260,0,,
bitcoin-wallet-6.31,de.schildbach.wallet.util,FormatsTest,monetarySpannable,65,1,0,34,1,,
bitcoin-wallet-6.31,de.schildbach.wallet.util,WalletUtilsTest,restoreWalletFromProtobufOrBase58,4,1,0,30,1,,
bitcoin-wallet-6.31,de.schildbach.wallet.util,WalletUtilsTest,restoreWalletFromProtobuf_wrongNetwork,3,1,0,38,0,,
bitcoin-wallet-6.31,de.schildbach.wallet.util,WalletUtilsTest,restoreWalletFromBase58_wrongNetwork,3,1,0,44,0,,
bitcoin-wallet-6.31,de.schildbach.wallet.util,CryptoTest,roundtripText,4,1,0,42,1,,
bitcoin-wallet-6.31,de.schildbach.wallet.util,CryptoTest,roundtripDifferentTextSizes,9,2,0,48,1,,
bitcoin-wallet-6.31,de.schildbach.wallet.util,CryptoTest,roundtripBytes,4,1,0,60,1,,
bitcoin-wallet-6.31,de.schildbach.wallet.util,CryptoTest,roundtripDifferentByteSizes,9,2,0,66,1,,
bitcoin-wallet-6.31,de.schildbach.wallet.util,CryptoTest,roundtripDifferentPasswordSizes,9,2,0,78,1,,
bitcoin-wallet-6.31,de.schildbach.wallet.util,CryptoTest,backups,6,1,0,90,1,,
bitcoin-wallet-6.31,de.schildbach.wallet.util,CryptoTest,readBackupFromResource,7,1,1,101,0,,
bitcoin-wallet-6.31,de.schildbach.wallet.util,BluetoothTest,compressDecompressMac,4,1,0,29,1,,
bitcoin-wallet-6.31,de.schildbach.wallet.util,BluetoothTest,isBluetoothUri,4,1,0,35,1,,
bitcoin-wallet-6.31,de.schildbach.wallet.util,BluetoothTest,getBluetooth,8,1,0,41,1,,
bitcoin-wallet-6.31,de.schildbach.wallet.util,Base43Test,encode,6,1,0,29,1,,
bitcoin-wallet-6.31,de.schildbach.wallet.util,Base43Test,decode,6,1,0,40,1,,
