Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
bitcoin-wallet-6.31,de.schildbach.wallet.util,OnFirstPreDraw.Callback,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
bitcoin-wallet-6.31,de.schildbach.wallet.util,Formats,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PATTERN_GROUP_PREFIX (36); PATTERN_GROUP_SIGNIFICANT (37); PATTERN_GROUP_INSIGNIFICANT (38)
bitcoin-wallet-6.31,de.schildbach.wallet.ui,MaybeMaintenanceViewModel.WalletMaintenanceRecommendedLiveData,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
bitcoin-wallet-6.31,de.schildbach.wallet.ui,WalletAddressesViewModel.IssuedReceiveKeysLiveData,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
bitcoin-wallet-6.31,de.schildbach.wallet.ui,WalletAddressesViewModel.ImportedKeysLiveData,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
bitcoin-wallet-6.31,de.schildbach.wallet.ui,WalletViewModel.EnterAnimationState,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
bitcoin-wallet-6.31,de.schildbach.wallet.ui,WalletViewModel.WalletEncryptedLiveData,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
bitcoin-wallet-6.31,de.schildbach.wallet.ui,WalletAddressesFragment,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
bitcoin-wallet-6.31,de.schildbach.wallet.ui,SendingAddressesViewModel.ClipLiveData,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
bitcoin-wallet-6.31,de.schildbach.wallet.ui,RequestCoinsFragment,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
bitcoin-wallet-6.31,de.schildbach.wallet.ui,WalletTransactionsViewModel.TransactionsLiveData,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
bitcoin-wallet-6.31,de.schildbach.wallet.ui,ExchangeRatesAdapter.ListItem,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
