Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
bitcoin-wallet-6.31,de.schildbach.wallet.integration.android,BitcoinIntegration,5,0,16,11,142,22,0,0,0.1875,2,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/bitcoin-wallet-6.31/integration-android/src/de/schildbach/wallet/integration/android/BitcoinIntegration.java,26
bitcoin-wallet-6.31,de.schildbach.wallet.util,FormatsTest,0,0,1,1,70,1,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/bitcoin-wallet-6.31/wallet/test/de/schildbach/wallet/util/FormatsTest.java,30
bitcoin-wallet-6.31,de.schildbach.wallet.util,WalletUtilsTest,0,0,3,3,15,3,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/bitcoin-wallet-6.31/wallet/test/de/schildbach/wallet/util/WalletUtilsTest.java,26
bitcoin-wallet-6.31,de.schildbach.wallet.util,CryptoTest,3,0,7,6,56,10,0,0,0.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/bitcoin-wallet-6.31/wallet/test/de/schildbach/wallet/util/CryptoTest.java,34
bitcoin-wallet-6.31,de.schildbach.wallet.util,BluetoothTest,0,0,3,3,21,3,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/bitcoin-wallet-6.31/wallet/test/de/schildbach/wallet/util/BluetoothTest.java,25
bitcoin-wallet-6.31,de.schildbach.wallet.util,Base43Test,0,0,2,2,17,2,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/bitcoin-wallet-6.31/wallet/test/de/schildbach/wallet/util/Base43Test.java,25
bitcoin-wallet-6.31,de.schildbach.wallet.util,Base43,2,0,5,2,78,21,0,0,0.0,2,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/bitcoin-wallet-6.31/wallet/src/de/schildbach/wallet/util/Base43.java,21
bitcoin-wallet-6.31,de.schildbach.wallet.util,CheatSheet,1,0,8,7,82,10,0,0,0.25,1,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/bitcoin-wallet-6.31/wallet/src/de/schildbach/wallet/util/CheatSheet.java,26
bitcoin-wallet-6.31,de.schildbach.wallet.util,Io,0,0,3,3,29,6,0,0,-1.0,4,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/bitcoin-wallet-6.31/wallet/src/de/schildbach/wallet/util/Io.java,25
bitcoin-wallet-6.31,de.schildbach.wallet.util,ViewPagerTabs,6,0,10,7,107,18,0,0,0.2,2,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/bitcoin-wallet-6.31/wallet/src/de/schildbach/wallet/util/ViewPagerTabs.java,37
bitcoin-wallet-6.31,de.schildbach.wallet.util,Bluetooth,8,6,6,6,71,14,0,0,0.6666666666666666,14,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/bitcoin-wallet-6.31/wallet/src/de/schildbach/wallet/util/Bluetooth.java,31
bitcoin-wallet-6.31,de.schildbach.wallet.util,Nfc,0,0,2,2,17,4,0,0,-1.0,3,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/bitcoin-wallet-6.31/wallet/src/de/schildbach/wallet/util/Nfc.java,28
bitcoin-wallet-6.31,de.schildbach.wallet.util,GenericUtils,0,0,2,2,17,2,0,0,-1.0,5,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/bitcoin-wallet-6.31/wallet/src/de/schildbach/wallet/util/GenericUtils.java,22
bitcoin-wallet-6.31,de.schildbach.wallet.util,OnFirstPreDraw,4,0,3,2,26,5,0,0,0.0,2,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/bitcoin-wallet-6.31/wallet/src/de/schildbach/wallet/util/OnFirstPreDraw.java,30
bitcoin-wallet-6.31,de.schildbach.wallet.util,OnFirstPreDraw.Callback,0,0,0,0,3,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/bitcoin-wallet-6.31/wallet/src/de/schildbach/wallet/util/OnFirstPreDraw.java,34
bitcoin-wallet-6.31,de.schildbach.wallet.util,Qr,2,0,5,5,67,9,0,0,1.0,7,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/bitcoin-wallet-6.31/wallet/src/de/schildbach/wallet/util/Qr.java,41
bitcoin-wallet-6.31,de.schildbach.wallet.util,WalletUtils,3,2,20,20,222,39,0,0,0.6,16,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/bitcoin-wallet-6.31/wallet/src/de/schildbach/wallet/util/WalletUtils.java,72
bitcoin-wallet-6.31,de.schildbach.wallet.util,WalletUtils.MonospaceSpan,0,0,0,0,13,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/bitcoin-wallet-6.31/wallet/src/de/schildbach/wallet/util/WalletUtils.java,99
