Project Name,Package Name,Architecture Smell,Cause of the Smell
gnucash-android-2.4.1,org.gnucash.android.test.ui,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PieChartReportTest]; [PieChartReportTest.Position]; [ExportTransactionsTest]; [AccountsActivityTest]; [TransactionsActivityTest]; [FirstRunWizardActivityTest]; [CalculatorEditTextTest]; [MultiBookTest]; [OwnCloudExportTest]. LCC (Lack of Component Cohesion) = 1.0
gnucash-android-2.4.1,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 10.9. All the dependencies among components: from: org.gnucash.android.test.ui to: org.gnucash.android.model; from: org.gnucash.android.test.ui to: org.gnucash.android.db.adapter; from: org.gnucash.android.test.ui to: org.gnucash.android.ui.report; from: org.gnucash.android.test.ui to: org.gnucash.android.test.ui.util; from: org.gnucash.android.test.ui to: org.gnucash.android.ui.report.piechart; from: org.gnucash.android.test.ui to: org.gnucash.android.app; from: org.gnucash.android.test.ui to: org.gnucash.android.importer; from: org.gnucash.android.test.ui to: org.gnucash.android.util; from: org.gnucash.android.test.ui to: org.gnucash.android.ui.settings; from: org.gnucash.android.test.ui to: org.gnucash.android.db; from: org.gnucash.android.test.ui to: org.gnucash.android.ui.account; from: org.gnucash.android.test.ui to: org.gnucash.android.ui.transaction; from: org.gnucash.android.test.ui to: org.gnucash.android.ui.common; from: org.gnucash.android.test.ui to: org.gnucash.android.ui.wizard; from: org.gnucash.android.test.ui.util to: org.gnucash.android.ui.account; from: org.gnucash.android.test.unit.importer to: org.gnucash.android.db.adapter; from: org.gnucash.android.test.unit.importer to: org.gnucash.android.importer; from: org.gnucash.android.test.unit.importer to: org.gnucash.android.db; from: org.gnucash.android.test.unit.importer to: org.gnucash.android.model; from: org.gnucash.android.test.unit.importer to: org.gnucash.android.app; from: org.gnucash.android.test.unit.importer to: org.gnucash.android.export.xml; from: org.gnucash.android.test.unit.util to: org.gnucash.android.util; from: org.gnucash.android.test.unit.model to: org.gnucash.android.model; from: org.gnucash.android.test.unit.db to: org.gnucash.android.db.adapter; from: org.gnucash.android.test.unit.db to: org.gnucash.android.model; from: org.gnucash.android.test.unit.db to: org.gnucash.android.app; from: org.gnucash.android.test.unit.db to: org.gnucash.android.importer; from: org.gnucash.android.test.unit.db to: org.gnucash.android.db; from: org.gnucash.android.test.unit.db to: org.gnucash.android.util; from: org.gnucash.android.test.unit.export to: org.gnucash.android.db; from: org.gnucash.android.test.unit.export to: org.gnucash.android.db.adapter; from: org.gnucash.android.test.unit.export to: org.gnucash.android.model; from: org.gnucash.android.test.unit.export to: org.gnucash.android.export; from: org.gnucash.android.test.unit.export to: org.gnucash.android.export.qif; from: org.gnucash.android.test.unit.export to: org.gnucash.android.app; from: org.gnucash.android.test.unit.export to: org.gnucash.android.util; from: org.gnucash.android.test.unit.export to: org.gnucash.android.export.ofx; from: org.gnucash.android.test.unit.export to: org.gnucash.android.importer; from: org.gnucash.android.test.unit.export to: org.gnucash.android.export.xml; from: org.gnucash.android.test.unit.service to: org.gnucash.android.model; from: org.gnucash.android.test.unit.service to: org.gnucash.android.db.adapter; from: org.gnucash.android.test.unit.service to: org.gnucash.android.export; from: org.gnucash.android.test.unit.service to: org.gnucash.android.db; from: org.gnucash.android.test.unit.service to: org.gnucash.android.importer; from: org.gnucash.android.test.unit.service to: org.gnucash.android.app; from: org.gnucash.android.test.unit.service to: org.gnucash.android.util; from: org.gnucash.android.test.unit.service to: org.gnucash.android.service; from: org.gnucash.android.util to: org.gnucash.android.db.adapter; from: org.gnucash.android.util to: org.gnucash.android.importer; from: org.gnucash.android.util to: org.gnucash.android.app; from: org.gnucash.android.util to: org.gnucash.android.db; from: org.gnucash.android.util to: org.gnucash.android.export; from: org.gnucash.android.util to: org.gnucash.android.model; from: org.gnucash.android.util to: org.gnucash.android.receivers; from: org.gnucash.android.util to: org.gnucash.android.ui.settings; from: org.gnucash.android.util to: org.gnucash.android.ui.account; from: org.gnucash.android.app to: org.gnucash.android.db.adapter; from: org.gnucash.android.app to: org.gnucash.android.db; from: org.gnucash.android.app to: org.gnucash.android.model; from: org.gnucash.android.app to: org.gnucash.android.receivers; from: org.gnucash.android.app to: org.gnucash.android.ui.settings; from: org.gnucash.android.app to: org.gnucash.android.service; from: org.gnucash.android.ui.transaction to: org.gnucash.android.db.adapter; from: org.gnucash.android.ui.transaction to: org.gnucash.android.model; from: org.gnucash.android.ui.transaction to: org.gnucash.android.ui.common; from: org.gnucash.android.ui.transaction to: org.gnucash.android.ui.account; from: org.gnucash.android.ui.transaction to: org.gnucash.android.db; from: org.gnucash.android.ui.transaction to: org.gnucash.android.app; from: org.gnucash.android.ui.transaction to: org.gnucash.android.util; from: org.gnucash.android.ui.transaction to: org.gnucash.android.ui.util.widget; from: org.gnucash.android.ui.transaction to: org.gnucash.android.ui.transaction.dialog; from: org.gnucash.android.ui.transaction to: org.gnucash.android.ui.settings; from: org.gnucash.android.ui.transaction to: org.gnucash.android.ui.homescreen; from: org.gnucash.android.ui.transaction to: org.gnucash.android.ui.util; from: org.gnucash.android.ui.transaction to: org.gnucash.android.export; from: org.gnucash.android.ui.transaction.dialog to: org.gnucash.android.db.adapter; from: org.gnucash.android.ui.transaction.dialog to: org.gnucash.android.ui.common; from: org.gnucash.android.ui.transaction.dialog to: org.gnucash.android.db; from: org.gnucash.android.ui.transaction.dialog to: org.gnucash.android.ui.homescreen; from: org.gnucash.android.ui.transaction.dialog to: org.gnucash.android.model; from: org.gnucash.android.ui.transaction.dialog to: org.gnucash.android.ui.transaction; from: org.gnucash.android.ui.transaction.dialog to: org.gnucash.android.util; from: org.gnucash.android.ui.transaction.dialog to: org.gnucash.android.app; from: org.gnucash.android.ui.settings to: org.gnucash.android.ui.account; from: org.gnucash.android.ui.settings to: org.gnucash.android.app; from: org.gnucash.android.ui.settings to: org.gnucash.android.ui.settings.dialog; from: org.gnucash.android.ui.settings to: org.gnucash.android.util; from: org.gnucash.android.ui.settings to: org.gnucash.android.db.adapter; from: org.gnucash.android.ui.settings to: org.gnucash.android.export; from: org.gnucash.android.ui.settings to: org.gnucash.android.db; from: org.gnucash.android.ui.settings to: org.gnucash.android.model; from: org.gnucash.android.ui.settings to: org.gnucash.android.ui.common; from: org.gnucash.android.ui.settings.dialog to: org.gnucash.android.util; from: org.gnucash.android.ui.settings.dialog to: org.gnucash.android.db.adapter; from: org.gnucash.android.ui.settings.dialog to: org.gnucash.android.app; from: org.gnucash.android.ui.settings.dialog to: org.gnucash.android.ui.homescreen; from: org.gnucash.android.ui.util to: org.gnucash.android.db.adapter; from: org.gnucash.android.ui.util to: org.gnucash.android.model; from: org.gnucash.android.ui.util to: org.gnucash.android.ui.transaction; from: org.gnucash.android.ui.util.widget to: org.gnucash.android.model; from: org.gnucash.android.ui.util.widget to: org.gnucash.android.util; from: org.gnucash.android.ui.wizard to: org.gnucash.android.db.adapter; from: org.gnucash.android.ui.wizard to: org.gnucash.android.util; from: org.gnucash.android.ui.wizard to: org.gnucash.android.app; from: org.gnucash.android.ui.wizard to: org.gnucash.android.ui.account; from: org.gnucash.android.ui.common to: org.gnucash.android.ui.util.widget; from: org.gnucash.android.ui.common to: org.gnucash.android.ui.account; from: org.gnucash.android.ui.common to: org.gnucash.android.ui.transaction; from: org.gnucash.android.ui.common to: org.gnucash.android.ui.export; from: org.gnucash.android.ui.common to: org.gnucash.android.ui.budget; from: org.gnucash.android.ui.common to: org.gnucash.android.db.adapter; from: org.gnucash.android.ui.common to: org.gnucash.android.util; from: org.gnucash.android.ui.common to: org.gnucash.android.app; from: org.gnucash.android.ui.common to: org.gnucash.android.ui.settings; from: org.gnucash.android.ui.common to: org.gnucash.android.db; from: org.gnucash.android.ui.homescreen to: org.gnucash.android.db.adapter; from: org.gnucash.android.ui.homescreen to: org.gnucash.android.model; from: org.gnucash.android.ui.homescreen to: org.gnucash.android.db; from: org.gnucash.android.ui.homescreen to: org.gnucash.android.ui.common; from: org.gnucash.android.ui.homescreen to: org.gnucash.android.ui.settings; from: org.gnucash.android.ui.report.barchart to: org.gnucash.android.db.adapter; from: org.gnucash.android.ui.report.barchart to: org.gnucash.android.model; from: org.gnucash.android.ui.report.barchart to: org.gnucash.android.ui.report; from: org.gnucash.android.ui.report.piechart to: org.gnucash.android.db.adapter; from: org.gnucash.android.ui.report.piechart to: org.gnucash.android.ui.report; from: org.gnucash.android.ui.report.piechart to: org.gnucash.android.model; from: org.gnucash.android.ui.report to: org.gnucash.android.model; from: org.gnucash.android.ui.report to: org.gnucash.android.db.adapter; from: org.gnucash.android.ui.report to: org.gnucash.android.app; from: org.gnucash.android.ui.report to: org.gnucash.android.ui.util.dialog; from: org.gnucash.android.ui.report to: org.gnucash.android.ui.report.piechart; from: org.gnucash.android.ui.report to: org.gnucash.android.ui.transaction; from: org.gnucash.android.ui.report.linechart to: org.gnucash.android.db.adapter; from: org.gnucash.android.ui.report.linechart to: org.gnucash.android.model; from: org.gnucash.android.ui.report.linechart to: org.gnucash.android.ui.report; from: org.gnucash.android.ui.report.sheet to: org.gnucash.android.db.adapter; from: org.gnucash.android.ui.report.sheet to: org.gnucash.android.model; from: org.gnucash.android.ui.report.sheet to: org.gnucash.android.ui.report; from: org.gnucash.android.ui.report.sheet to: org.gnucash.android.db; from: org.gnucash.android.ui.report.sheet to: org.gnucash.android.ui.transaction; from: org.gnucash.android.ui.passcode to: org.gnucash.android.ui.common; from: org.gnucash.android.ui.passcode to: org.gnucash.android.app; from: org.gnucash.android.ui.export to: org.gnucash.android.export; from: org.gnucash.android.ui.export to: org.gnucash.android.model; from: org.gnucash.android.ui.export to: org.gnucash.android.ui.settings.dialog; from: org.gnucash.android.ui.export to: org.gnucash.android.ui.common; from: org.gnucash.android.ui.export to: org.gnucash.android.db.adapter; from: org.gnucash.android.ui.export to: org.gnucash.android.ui.settings; from: org.gnucash.android.ui.export to: org.gnucash.android.ui.transaction; from: org.gnucash.android.ui.export to: org.gnucash.android.app; from: org.gnucash.android.ui.export to: org.gnucash.android.util; from: org.gnucash.android.ui.export to: org.gnucash.android.ui.util; from: org.gnucash.android.ui.account to: org.gnucash.android.db.adapter; from: org.gnucash.android.ui.account to: org.gnucash.android.model; from: org.gnucash.android.ui.account to: org.gnucash.android.ui.colorpicker; from: org.gnucash.android.ui.account to: org.gnucash.android.util; from: org.gnucash.android.ui.account to: org.gnucash.android.ui.common; from: org.gnucash.android.ui.account to: org.gnucash.android.db; from: org.gnucash.android.ui.account to: org.gnucash.android.ui.settings; from: org.gnucash.android.ui.account to: org.gnucash.android.app; from: org.gnucash.android.ui.account to: org.gnucash.android.ui.homescreen; from: org.gnucash.android.ui.account to: org.gnucash.android.ui.util.widget; from: org.gnucash.android.ui.account to: org.gnucash.android.ui.util; from: org.gnucash.android.ui.budget to: org.gnucash.android.ui.util.widget; from: org.gnucash.android.ui.budget to: org.gnucash.android.db.adapter; from: org.gnucash.android.ui.budget to: org.gnucash.android.model; from: org.gnucash.android.ui.budget to: org.gnucash.android.ui.common; from: org.gnucash.android.ui.budget to: org.gnucash.android.db; from: org.gnucash.android.ui.budget to: org.gnucash.android.util; from: org.gnucash.android.ui.budget to: org.gnucash.android.ui.transaction; from: org.gnucash.android.ui.budget to: org.gnucash.android.ui.util; from: org.gnucash.android.ui.budget to: org.gnucash.android.app; from: org.gnucash.android.importer to: org.gnucash.android.ui.util; from: org.gnucash.android.importer to: org.gnucash.android.db; from: org.gnucash.android.importer to: org.gnucash.android.db.adapter; from: org.gnucash.android.importer to: org.gnucash.android.util; from: org.gnucash.android.importer to: org.gnucash.android.model; from: org.gnucash.android.importer to: org.gnucash.android.export.xml; from: org.gnucash.android.importer to: org.gnucash.android.app; from: org.gnucash.android.receivers to: org.gnucash.android.app; from: org.gnucash.android.receivers to: org.gnucash.android.util; from: org.gnucash.android.receivers to: org.gnucash.android.model; from: org.gnucash.android.receivers to: org.gnucash.android.db.adapter; from: org.gnucash.android.receivers to: org.gnucash.android.ui.homescreen; from: org.gnucash.android.receivers to: org.gnucash.android.service; from: org.gnucash.android.model to: org.gnucash.android.util; from: org.gnucash.android.model to: org.gnucash.android.db.adapter; from: org.gnucash.android.model to: org.gnucash.android.export.ofx; from: org.gnucash.android.model to: org.gnucash.android.app; from: org.gnucash.android.model to: org.gnucash.android.ui.util; from: org.gnucash.android.db to: org.gnucash.android.importer; from: org.gnucash.android.db to: org.gnucash.android.export; from: org.gnucash.android.db to: org.gnucash.android.model; from: org.gnucash.android.db to: org.gnucash.android.db.adapter; from: org.gnucash.android.db to: org.gnucash.android.util; from: org.gnucash.android.db to: org.gnucash.android.app; from: org.gnucash.android.db.adapter to: org.gnucash.android.model; from: org.gnucash.android.db.adapter to: org.gnucash.android.app; from: org.gnucash.android.db.adapter to: org.gnucash.android.db; from: org.gnucash.android.db.adapter to: org.gnucash.android.util; from: org.gnucash.android.db.adapter to: org.gnucash.android.ui.settings; from: org.gnucash.android.export to: org.gnucash.android.app; from: org.gnucash.android.export to: org.gnucash.android.util; from: org.gnucash.android.export to: org.gnucash.android.db.adapter; from: org.gnucash.android.export to: org.gnucash.android.ui.account; from: org.gnucash.android.export to: org.gnucash.android.ui.settings; from: org.gnucash.android.export to: org.gnucash.android.db; from: org.gnucash.android.export.ofx to: org.gnucash.android.export; from: org.gnucash.android.export.ofx to: org.gnucash.android.db.adapter; from: org.gnucash.android.export.ofx to: org.gnucash.android.app; from: org.gnucash.android.export.ofx to: org.gnucash.android.util; from: org.gnucash.android.export.xml to: org.gnucash.android.model; from: org.gnucash.android.export.xml to: org.gnucash.android.ui.transaction; from: org.gnucash.android.export.xml to: org.gnucash.android.export; from: org.gnucash.android.export.xml to: org.gnucash.android.db; from: org.gnucash.android.export.xml to: org.gnucash.android.db.adapter; from: org.gnucash.android.export.xml to: org.gnucash.android.util; from: org.gnucash.android.export.csv to: org.gnucash.android.export; from: org.gnucash.android.export.csv to: org.gnucash.android.model; from: org.gnucash.android.export.csv to: org.gnucash.android.util; from: org.gnucash.android.export.qif to: org.gnucash.android.export; from: org.gnucash.android.export.qif to: org.gnucash.android.db.adapter; from: org.gnucash.android.export.qif to: org.gnucash.android.util; from: org.gnucash.android.export.qif to: org.gnucash.android.model; from: org.gnucash.android.service to: org.gnucash.android.db.adapter; from: org.gnucash.android.service to: org.gnucash.android.db; from: org.gnucash.android.service to: org.gnucash.android.model; from: org.gnucash.android.service to: org.gnucash.android.export; from: org.gnucash.android.service to: org.gnucash.android.app.
gnucash-android-2.4.1,org.gnucash.android.test.ui.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.gnucash.android.ui.account
gnucash-android-2.4.1,org.gnucash.android.test.unit.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MoneyTest]; [AccountTest]; [BudgetTest]; [TransactionTest]; [SplitTest]; [CommodityTest]; [RecurrenceTest]; [PriceTest]; [ScheduledActionTest]. LCC (Lack of Component Cohesion) = 1.0
gnucash-android-2.4.1,org.gnucash.android.test.unit.db,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BooksDbAdapterTest]; [SplitsDbAdapterTest]; [ScheduledActionDbAdapterTest]; [TransactionsDbAdapterTest]; [AccountsDbAdapterTest]; [BudgetsDbAdapterTest]; [MigrationHelperTest]; [PriceDbAdapterTest]. LCC (Lack of Component Cohesion) = 1.0
gnucash-android-2.4.1,org.gnucash.android.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.gnucash.android.importer; org.gnucash.android.db; org.gnucash.android.export; org.gnucash.android.receivers; org.gnucash.android.ui.settings; org.gnucash.android.ui.account
gnucash-android-2.4.1,org.gnucash.android.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BackupManagerTest; BackupManager; BookUtils; BackupJob]; [AmountParser]; [TimestampHelper; PreferencesHelper]; [FileUtils]; [RecursiveMoveFiles]; [CommoditiesCursorAdapter]; [QualifiedAccountNameCursorAdapter]. LCC (Lack of Component Cohesion) = 0.64
gnucash-android-2.4.1,org.gnucash.android.app,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.gnucash.android.db; org.gnucash.android.receivers; org.gnucash.android.ui.settings; org.gnucash.android.service
gnucash-android-2.4.1,org.gnucash.android.app,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.gnucash.android.app; org.gnucash.android.db.adapter; org.gnucash.android.app
gnucash-android-2.4.1,org.gnucash.android.app,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.gnucash.android.app; org.gnucash.android.db; org.gnucash.android.app
