Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TAG; TRANSACTION_NAME; TRANSACTION_AMOUNT; TRANSACTION2_NAME; TRANSACTION2_AMOUNT; TRANSACTION3_NAME; TRANSACTION3_AMOUNT; CASH_IN_WALLET_ASSET_ACCOUNT_UID; DINING_EXPENSE_ACCOUNT_UID; DINING_EXPENSE_ACCOUNT_NAME; BOOKS_EXPENSE_ACCOUNT_UID; BOOKS_EXPENSE_ACCOUNT_NAME; GIFTS_RECEIVED_INCOME_ACCOUNT_UID; GIFTS_RECEIVED_INCOME_ACCOUNT_NAME; CURRENCY; mAccountsDbAdapter; mTransactionsDbAdapter; mReportsActivity; mActivityRule; animationPermissionsRule; disableAnimationsRule; testBookUID; oldActiveBookUID
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest.Position,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest.Position,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
gnucash-android-2.4.1,org.gnucash.android.test.ui,ExportTransactionsTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mDbHelper; mDb; mAccountsDbAdapter; mTransactionsDbAdapter; mSplitsDbAdapter; mAcccountsActivity; animationPermissionsRule; mActivityRule
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ACCOUNTS_CURRENCY_CODE; ACCOUNTS_CURRENCY; SIMPLE_ACCOUNT_NAME; SIMPLE_ACCOUNT_UID; ROOT_ACCOUNT_NAME; ROOT_ACCOUNT_UID; PARENT_ACCOUNT_NAME; PARENT_ACCOUNT_UID; CHILD_ACCOUNT_UID; CHILD_ACCOUNT_NAME; TEST_DB_NAME; mDbHelper; mDb; mAccountsDbAdapter; mTransactionsDbAdapter; mSplitsDbAdapter; mAccountsActivity; animationPermissionsRule; disableAnimationsRule; mActivityRule; first
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TRANSACTION_AMOUNT; TRANSACTION_NAME; TRANSACTIONS_ACCOUNT_UID; TRANSACTIONS_ACCOUNT_NAME; TRANSFER_ACCOUNT_NAME; TRANSFER_ACCOUNT_UID; CURRENCY_CODE; COMMODITY; mTransaction; mTransactionTimeMillis; mAccountsDbAdapter; mTransactionsDbAdapter; mSplitsDbAdapter; mTransactionsActivity; animationPermissionsRule; disableAnimationsRule; mActivityRule; mBaseAccount; mTransferAccount
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
gnucash-android-2.4.1,org.gnucash.android.test.ui,FirstRunWizardActivityTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mDbHelper; mDb; mAccountsDbAdapter; mTransactionsDbAdapter; mSplitsDbAdapter; mActivity; animationPermissionsRule; mActivityRule
gnucash-android-2.4.1,org.gnucash.android.test.ui,CalculatorEditTextTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DUMMY_ACCOUNT_UID; DUMMY_ACCOUNT_NAME; TRANSFER_ACCOUNT_NAME; TRANSFER_ACCOUNT_UID; CURRENCY_CODE; mDbHelper; mAccountsDbAdapter; mTransactionsDbAdapter; mSplitsDbAdapter; mTransactionsActivity; animationPermissionsRule; disableAnimationsRule; mActivityRule
