Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,PieChartReportTest,Magic Number,The method contains a magic number: 100,115
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,prepareTestCase,Long Statement,The length of the statement "PreferenceActivity.getActiveBookSharedPreferences().edit().putString(context.getString(R.string.key_default_currency)`CURRENCY.getCurrencyCode()).commit();" is 155.,120
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,setUp,Magic Number,The method contains a magic number: 20,138
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,addTransactionForCurrentMonth,Long Identifier,The length of the field CASH_IN_WALLET_ASSET_ACCOUNT_UID is 32.,146
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,addTransactionForPreviousMonth,Long Identifier,The length of the field CASH_IN_WALLET_ASSET_ACCOUNT_UID is 32.,163
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,testSelectingValue,Long Statement,The length of the statement "String selectedText=String.format(Locale.US`BaseReportFragment.SELECTED_VALUE_PATTERN`DINING_EXPENSE_ACCOUNT_NAME`TRANSACTION_AMOUNT`percent);" is 142.,187
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,testSelectingValue,Magic Number,The method contains a magic number: 100,187
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,testSpinner,Long Identifier,The length of the field GIFTS_RECEIVED_INCOME_ACCOUNT_UID is 33.,199
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,testSpinner,Long Identifier,The length of the field CASH_IN_WALLET_ASSET_ACCOUNT_UID is 32.,199
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,testSpinner,Long Identifier,The length of the field GIFTS_RECEIVED_INCOME_ACCOUNT_NAME is 34.,199
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,testSpinner,Long Statement,The length of the statement "String selectedText=String.format(PieChartFragment.SELECTED_VALUE_PATTERN`GIFTS_RECEIVED_INCOME_ACCOUNT_NAME`TRANSACTION3_AMOUNT`100f);" is 135.,199
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,testSpinner,Magic Number,The method contains a magic number: 1000,199
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,testSpinner,Magic Number,The method contains a magic number: 100f,199
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,clickXY,Magic Number,The method contains a magic number: 2,225
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,calculateCoordinates,Magic Number,The method contains a magic number: 2,229
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,getPosition,Magic Number,The method contains a magic number: 0.15f,244
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,getPosition,Magic Number,The method contains a magic number: 0.5f,250
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,getPosition,Magic Number,The method contains a magic number: 0.85f,256
gnucash-android-2.4.1,org.gnucash.android.test.ui,ExportTransactionsTest,assertToastDisplayed,Long Statement,The length of the statement "onView(withText(toastString)).inRoot(withDecorView(not(is(mAcccountsActivity.getWindow().getDecorView())))).check(matches(isDisplayed()));" is 138.,140
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,testDisplayAccountsList,Magic Number,The method contains a magic number: 1000,164
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,testCreateAccount,Magic Number,The method contains a magic number: 1000,193
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,testCreateAccount,Magic Number,The method contains a magic number: 2,193
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,should_IncludeFutureTransactionsInAccountBalance,Magic Number,The method contains a magic number: 4815162342L,220
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,shouldHideParentAccountViewWhenNoParentsExist,Magic Number,The method contains a magic number: 1000,266
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,shouldHideParentAccountViewWhenNoParentsExist,Magic Number,The method contains a magic number: 1000,266
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,shouldHideParentAccountViewWhenNoParentsExist,Magic Number,The method contains a magic number: 2,266
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,testEditAccount,Magic Number,The method contains a magic number: 1000,298
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,editingAccountShouldNotDeleteTransactions,Long Statement,The length of the statement "onView(allOf(withParent(hasDescendant(withText(SIMPLE_ACCOUNT_NAME)))`withId(R.id.options_menu)`isDisplayed())).perform(click());" is 129.,322
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,editingAccountShouldNotDeleteTransactions,Magic Number,The method contains a magic number: 2,322
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,editingAccountShouldNotDeleteTransactions,Magic Number,The method contains a magic number: 2,322
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,testDeleteSimpleAccount,Magic Number,The method contains a magic number: 2,362
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,testDeleteAccountMovingSubaccounts,Long Statement,The length of the statement "onView(allOf(withParent(withId(R.id.accounts_options))`withId(R.id.radio_move))).check(matches(isEnabled())).perform(click());" is 126.,398
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,testDeleteAccountMovingSubaccounts,Magic Number,The method contains a magic number: 2,398
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,setUp,Magic Number,The method contains a magic number: 3,149
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testAddTransactionShouldRequireAmount,Magic Number,The method contains a magic number: 1000,184
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,assertToastDisplayed,Long Statement,The length of the statement "onView(withText(toastString)).inRoot(withDecorView(not(mTransactionsActivity.getWindow().getDecorView()))).check(matches(isDisplayed()));" is 137.,223
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,validateEditTransactionFields,Long Statement,The length of the statement "onView(withId(R.id.input_date)).check(matches(withText(TransactionFormFragment.DATE_FORMATTER.format(transaction.getTimeMillis()))));" is 133.,234
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,validateEditTransactionFields,Long Statement,The length of the statement "onView(withId(R.id.input_time)).check(matches(withText(TransactionFormFragment.TIME_FORMATTER.format(transaction.getTimeMillis()))));" is 133.,234
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,validateEditTransactionFields,Magic Number,The method contains a magic number: 2,234
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,validateEditTransactionFields,Magic Number,The method contains a magic number: 2,234
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testAddTransaction,Long Statement,The length of the statement "onView(withId(R.id.input_transaction_type)).check(matches(allOf(isDisplayed()`withText(R.string.label_receive)))).perform(click()).check(matches(withText(R.string.label_spend)));" is 178.,251
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testAddTransaction,Magic Number,The method contains a magic number: 899,251
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testAddTransaction,Magic Number,The method contains a magic number: 2,251
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testAddTransaction,Magic Number,The method contains a magic number: 2,251
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testAddMultiCurrencyTransaction,Long Statement,The length of the statement "assertThat(multiTrans.getSplits()).extracting("mAccountUID").contains(TRANSACTIONS_ACCOUNT_UID).contains(euroAccount.getUID());" is 127.,284
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testAddMultiCurrencyTransaction,Magic Number,The method contains a magic number: 2,284
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testEditTransaction,Magic Number,The method contains a magic number: 2,334
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testAutoBalanceTransactions,Magic Number,The method contains a magic number: 2,359
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testSplitEditor,Long Statement,The length of the statement "onView(withId(R.id.split_list_layout)).check(matches(allOf(isDisplayed()`hasDescendant(withId(R.id.input_split_amount)))));" is 123.,395
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testSplitEditor,Magic Number,The method contains a magic number: 3,395
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testToggleTransactionType,Long Statement,The length of the statement "onView(withId(R.id.input_transaction_type)).check(matches(allOf(isDisplayed()`withText(R.string.label_receive)))).perform(click()).check(matches(withText(R.string.label_spend)));" is 178.,502
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testToggleTransactionType,Magic Number,The method contains a magic number: 2,502
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testOpenTransactionEditShouldNotModifyTransaction,Long Statement,The length of the statement "assertThat(TransactionFormFragment.DATE_FORMATTER.format(expectedDate)).isEqualTo(TransactionFormFragment.DATE_FORMATTER.format(trxDate));" is 138.,524
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testOpenTransactionEditShouldNotModifyTransaction,Long Statement,The length of the statement "assertThat(TransactionFormFragment.TIME_FORMATTER.format(expectedDate)).isEqualTo(TransactionFormFragment.TIME_FORMATTER.format(trxDate));" is 138.,524
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,editingSplit_shouldNotSetAmountToZero,Magic Number,The method contains a magic number: 500,585
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testDuplicateTransaction,Magic Number,The method contains a magic number: 2,626
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testLegacyIntentTransactionRecording,Magic Number,The method contains a magic number: 4.99,641
