Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,PieChartReportTest,3,1,0,115,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,prepareTestCase,10,1,0,120,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,setUp,6,1,0,138,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,addTransactionForCurrentMonth,9,1,0,146,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,addTransactionForPreviousMonth,9,1,1,163,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,testNoData,4,1,0,181,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,testSelectingValue,9,1,0,187,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,testSpinner,18,1,0,199,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,clickXY,12,1,2,225,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,calculateCoordinates,7,1,1,229,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,getPosition,3,1,2,244,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,getPosition,3,1,2,250,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,getPosition,3,1,2,256,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,getPosition,0,1,2,262,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,refreshReport,13,1,0,265,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,run,3,1,0,271,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,tearDown,3,1,0,281,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,cleanup,5,1,0,286,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,ExportTransactionsTest,ExportTransactionsTest,2,1,0,81,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,ExportTransactionsTest,setupClass,3,1,0,84,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,ExportTransactionsTest,setUp,29,1,0,89,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,ExportTransactionsTest,testCreateBackup,8,1,0,129,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,ExportTransactionsTest,assertToastDisplayed,3,1,1,140,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,ExportTransactionsTest,tearDown,4,1,0,152,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,AccountsActivityTest,2,1,0,118,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,prepTest,16,1,0,130,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,setUp,9,1,0,148,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,testDisplayAccountsList,9,1,0,164,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,testSearchAccounts,11,1,0,175,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,testCreateAccount,16,1,0,193,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,should_IncludeFutureTransactionsInAccountBalance,10,1,0,220,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,testChangeParentAccount,19,1,0,235,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,shouldHideParentAccountViewWhenNoParentsExist,19,1,0,266,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,testEditAccount,14,1,0,298,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,editingAccountShouldNotDeleteTransactions,19,1,0,322,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,sleep,8,1,1,350,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,testDeleteSimpleAccount,9,1,0,362,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,testDeleteAccountWithSubaccounts,14,1,0,376,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,testDeleteAccountMovingSubaccounts,18,1,0,398,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,accountExists,9,1,1,429,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,testIntentAccountCreation,13,1,0,445,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,shouldShowWizardOnFirstRun,12,1,0,462,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,run,3,1,0,474,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,tearDown,5,2,0,487,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,refreshAccountsList,14,1,0,494,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,run,4,1,0,500,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,first,15,2,1,511,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,matchesSafely,6,2,1,521,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,describeTo,3,1,1,531,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,TransactionsActivityTest,16,1,0,113,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,prepareTestCase,8,1,0,134,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,setUp,11,1,0,149,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,validateTransactionListDisplayed,3,1,0,168,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,getTransactionCount,3,1,0,172,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,validateTimeInput,6,1,1,176,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testAddTransactionShouldRequireAmount,13,1,0,184,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,sleep,8,1,1,211,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,assertToastDisplayed,3,1,1,223,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,validateEditTransactionFields,12,1,1,234,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testAddTransaction,21,1,0,251,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testAddMultiCurrencyTransaction,35,1,0,284,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testEditTransaction,17,1,0,334,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testAutoBalanceTransactions,21,1,0,359,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testSplitEditor,33,1,0,395,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,setDoubleEntryEnabled,6,1,1,452,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testDefaultTransactionType,5,1,0,459,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,setDefaultTransactionType,6,1,1,467,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,childAccountsShouldUseParentTransferAccountSetting,20,1,0,475,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testToggleTransactionType,13,1,0,502,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testOpenTransactionEditShouldNotModifyTransaction,23,1,0,524,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testDeleteTransaction,5,1,0,558,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testMoveTransaction,11,1,0,566,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,editingSplit_shouldNotSetAmountToZero,22,1,0,585,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testDuplicateTransaction,9,1,0,626,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testLegacyIntentTransactionRecording,21,3,0,641,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,openingAndSavingMultiCurrencyTransaction_shouldNotModifyTheSplits,34,1,0,669,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,testEditingTransferAccountOfMultiCurrencyTransaction,37,1,0,726,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,editingTransferAccount_shouldKeepSplitAmountsConsistent,45,1,0,795,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,clickOnView,3,1,1,871,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,refreshTransactionsList,13,1,0,879,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,run,3,1,0,885,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,tearDown,3,2,0,895,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,FirstRunWizardActivityTest,setUp,15,1,0,67,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,FirstRunWizardActivityTest,shouldRunWizardToEnd,19,1,0,84,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,FirstRunWizardActivityTest,shouldDisplayFullCurrencyList,20,1,0,115,1,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,CalculatorEditTextTest,CalculatorEditTextTest,2,1,0,75,0,,
gnucash-android-2.4.1,org.gnucash.android.test.ui,CalculatorEditTextTest,prepTestCase,16,1,0,89,0,,
