Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CURRENCY (96); disableAnimationsRule (108)
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18
gnucash-android-2.4.1,org.gnucash.android.test.ui,ExportTransactionsTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: disableAnimationsRule (125)
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: COMMODITY (91); disableAnimationsRule (103)
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 19
gnucash-android-2.4.1,org.gnucash.android.test.ui,CalculatorEditTextTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: disableAnimationsRule (81)
gnucash-android-2.4.1,org.gnucash.android.test.ui,CalculatorEditTextTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
gnucash-android-2.4.1,org.gnucash.android.test.ui,MultiBookTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: disableAnimationsRule (61)
gnucash-android-2.4.1,org.gnucash.android.test.ui,OwnCloudExportTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
gnucash-android-2.4.1,org.gnucash.android.test.unit.importer,GncXmlHandlerTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
gnucash-android-2.4.1,org.gnucash.android.test.unit.db,SplitsDbAdapterTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
gnucash-android-2.4.1,org.gnucash.android.test.unit.db,TransactionsDbAdapterTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
gnucash-android-2.4.1,org.gnucash.android.test.unit.db,AccountsDbAdapterTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 24
gnucash-android-2.4.1,org.gnucash.android.test.unit.db,BudgetsDbAdapterTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
gnucash-android-2.4.1,org.gnucash.android.test.unit.export,QifExporterTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
gnucash-android-2.4.1,org.gnucash.android.test.unit.export,OfxExporterTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
gnucash-android-2.4.1,org.gnucash.android.test.unit.service,ScheduledActionServiceTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 22
gnucash-android-2.4.1,org.gnucash.android.util,BackupManager,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
gnucash-android-2.4.1,org.gnucash.android.app,GnuCashApplication,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PASSCODE_SESSION_INIT_TIME (81)
gnucash-android-2.4.1,org.gnucash.android.app,GnuCashApplication,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18
gnucash-android-2.4.1,org.gnucash.android.ui.transaction,TransactionsActivity,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
gnucash-android-2.4.1,org.gnucash.android.ui.transaction,TransactionFormFragment,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 25
gnucash-android-2.4.1,org.gnucash.android.ui.transaction,TransactionDetailActivity,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
gnucash-android-2.4.1,org.gnucash.android.ui.transaction,TransactionsListFragment,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
gnucash-android-2.4.1,org.gnucash.android.ui.transaction,ScheduledActionsListFragment,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
gnucash-android-2.4.1,org.gnucash.android.ui.transaction,SplitEditorFragment,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
gnucash-android-2.4.1,org.gnucash.android.ui.transaction.dialog,TransferFundsDialogFragment,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
gnucash-android-2.4.1,org.gnucash.android.ui.settings,BackupPreferenceFragment,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: mGoogleApiClient (98)
gnucash-android-2.4.1,org.gnucash.android.ui.settings,AccountPreferencesFragment,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
gnucash-android-2.4.1,org.gnucash.android.ui.common,FormActivity,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
gnucash-android-2.4.1,org.gnucash.android.ui.homescreen,WidgetConfigurationActivity,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
gnucash-android-2.4.1,org.gnucash.android.ui.report,ReportsOverviewFragment,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
