Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest,23,5,18,14,154,18,0,0,0.3888888888888889,0,18,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/gnucash-android-2.4.1/app/src/androidTest/java/org/gnucash/android/test/ui/PieChartReportTest.java,71
gnucash-android-2.4.1,org.gnucash.android.test.ui,PieChartReportTest.Position,0,0,0,0,17,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/gnucash-android-2.4.1/app/src/androidTest/java/org/gnucash/android/test/ui/PieChartReportTest.java,242
gnucash-android-2.4.1,org.gnucash.android.test.ui,ExportTransactionsTest,8,2,6,5,63,6,0,0,0.5,0,14,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/gnucash-android-2.4.1/app/src/androidTest/java/org/gnucash/android/test/ui/ExportTransactionsTest.java,64
gnucash-android-2.4.1,org.gnucash.android.test.ui,AccountsActivityTest,21,4,25,21,309,28,0,0,0.12,0,17,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/gnucash-android-2.4.1/app/src/androidTest/java/org/gnucash/android/test/ui/AccountsActivityTest.java,96
gnucash-android-2.4.1,org.gnucash.android.test.ui,TransactionsActivityTest,19,5,33,23,540,36,0,0,0.0,0,19,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/gnucash-android-2.4.1/app/src/androidTest/java/org/gnucash/android/test/ui/TransactionsActivityTest.java,81
gnucash-android-2.4.1,org.gnucash.android.test.ui,FirstRunWizardActivityTest,8,2,3,3,68,3,0,0,0.0,0,7,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/gnucash-android-2.4.1/app/src/androidTest/java/org/gnucash/android/test/ui/FirstRunWizardActivityTest.java,47
gnucash-android-2.4.1,org.gnucash.android.test.ui,CalculatorEditTextTest,13,4,7,6,75,9,0,0,0.42857142857142855,0,13,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/gnucash-android-2.4.1/app/src/androidTest/java/org/gnucash/android/test/ui/CalculatorEditTextTest.java,60
gnucash-android-2.4.1,org.gnucash.android.test.ui,MultiBookTest,4,3,7,6,67,7,0,0,0.0,0,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/gnucash-android-2.4.1/app/src/androidTest/java/org/gnucash/android/test/ui/MultiBookTest.java,51
gnucash-android-2.4.1,org.gnucash.android.test.ui,OwnCloudExportTest,8,2,6,4,110,6,0,0,0.0,0,11,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/gnucash-android-2.4.1/app/src/androidTest/java/org/gnucash/android/test/ui/OwnCloudExportTest.java,73
gnucash-android-2.4.1,org.gnucash.android.test.ui.util,DisableAnimationsRule,3,0,4,3,43,4,0,0,0.0,5,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/gnucash-android-2.4.1/app/src/androidTest/java/org/gnucash/android/test/ui/util/DisableAnimationsRule.java,12
gnucash-android-2.4.1,org.gnucash.android.test.ui.util,GnucashAndroidTestRunner,4,0,6,3,97,11,0,0,0.3333333333333333,4,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/gnucash-android-2.4.1/app/src/androidTest/java/org/gnucash/android/test/ui/util/GnucashAndroidTestRunner.java,36
gnucash-android-2.4.1,org.gnucash.android.test.unit.importer,GncXmlHandlerTest,4,0,10,8,242,10,0,0,0.2,0,15,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/gnucash-android-2.4.1/app/src/test/java/org/gnucash/android/test/unit/importer/GncXmlHandlerTest.java,62
gnucash-android-2.4.1,org.gnucash.android.test.unit.util,AmountParserTest,1,0,8,8,29,8,0,0,0.875,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/gnucash-android-2.4.1/app/src/test/java/org/gnucash/android/test/unit/util/AmountParserTest.java,14
gnucash-android-2.4.1,org.gnucash.android.test.unit.util,PreferencesHelperTest,0,0,2,2,12,2,0,0,-1.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/gnucash-android-2.4.1/app/src/test/java/org/gnucash/android/test/unit/util/PreferencesHelperTest.java,31
gnucash-android-2.4.1,org.gnucash.android.test.unit.util,TimestampHelperTest,0,0,4,4,36,4,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/gnucash-android-2.4.1/app/src/test/java/org/gnucash/android/test/unit/util/TimestampHelperTest.java,30
gnucash-android-2.4.1,org.gnucash.android.test.unit.model,MoneyTest,4,0,15,15,98,15,0,0,0.2,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/gnucash-android-2.4.1/app/src/test/java/org/gnucash/android/test/unit/model/MoneyTest.java,37
gnucash-android-2.4.1,org.gnucash.android.test.unit.model,AccountTest,0,0,8,8,47,8,0,0,-1.0,0,4,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/gnucash-android-2.4.1/app/src/test/java/org/gnucash/android/test/unit/model/AccountTest.java,33
gnucash-android-2.4.1,org.gnucash.android.test.unit.model,BudgetTest,0,0,6,6,108,6,0,0,-1.0,0,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/gnucash-android-2.4.1/app/src/test/java/org/gnucash/android/test/unit/model/BudgetTest.java,29
gnucash-android-2.4.1,org.gnucash.android.test.unit.model,TransactionTest,0,0,4,4,61,4,0,0,-1.0,0,5,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/gnucash-android-2.4.1/app/src/test/java/org/gnucash/android/test/unit/model/TransactionTest.java,20
gnucash-android-2.4.1,org.gnucash.android.test.unit.model,SplitTest,0,0,6,6,60,6,0,0,-1.0,0,5,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/gnucash-android-2.4.1/app/src/test/java/org/gnucash/android/test/unit/model/SplitTest.java,19
gnucash-android-2.4.1,org.gnucash.android.test.unit.model,CommodityTest,0,0,2,2,19,2,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/gnucash-android-2.4.1/app/src/test/java/org/gnucash/android/test/unit/model/CommodityTest.java,23
gnucash-android-2.4.1,org.gnucash.android.test.unit.model,RecurrenceTest,0,0,3,3,41,3,0,0,-1.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/gnucash-android-2.4.1/app/src/test/java/org/gnucash/android/test/unit/model/RecurrenceTest.java,28
gnucash-android-2.4.1,org.gnucash.android.test.unit.model,PriceTest,0,0,5,5,52,5,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/gnucash-android-2.4.1/app/src/test/java/org/gnucash/android/test/unit/model/PriceTest.java,29
gnucash-android-2.4.1,org.gnucash.android.test.unit.model,ScheduledActionTest,0,0,10,9,123,10,0,0,-1.0,0,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/gnucash-android-2.4.1/app/src/test/java/org/gnucash/android/test/unit/model/ScheduledActionTest.java,34
gnucash-android-2.4.1,org.gnucash.android.test.unit.db,BooksDbAdapterTest,1,0,11,10,124,11,0,0,0.0,0,6,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/gnucash-android-2.4.1/app/src/test/java/org/gnucash/android/test/unit/db/BooksDbAdapterTest.java,42
