Project Name,Package Name,Architecture Smell,Cause of the Smell
k-9-5.600,com.fsck.k9.mail.ssl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TrustManagerFactoryTest; LocalKeyStore; LocalKeyStore.LocalKeyStoreHolder; TrustManagerFactory; DefaultTrustedSocketFactory; TrustedSocketFactory]; [KeyChainKeyManager]; [TrustManagerFactory.SecureX509TrustManager]. LCC (Lack of Component Cohesion) = 0.38
k-9-5.600,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 11.19. All the dependencies among components: from: com.fsck.k9.mail to: com.fsck.k9.mail.internet; from: com.fsck.k9.mail to: com.fsck.k9.mail.filter; from: com.fsck.k9.mail to: com.fsck.k9.mail.store; from: com.fsck.k9.mail to: com.fsck.k9.mail.oauth; from: com.fsck.k9.mail to: com.fsck.k9.mail.store.webdav; from: com.fsck.k9.mail.transport.mockServer to: com.fsck.k9.mail.helpers; from: com.fsck.k9.mail.transport.smtp to: com.fsck.k9.mail.ssl; from: com.fsck.k9.mail.transport.smtp to: com.fsck.k9.mail.oauth; from: com.fsck.k9.mail.transport.smtp to: com.fsck.k9.mail.store; from: com.fsck.k9.mail.transport.smtp to: com.fsck.k9.mail.transport.mockServer; from: com.fsck.k9.mail.transport.smtp to: com.fsck.k9.mail.internet; from: com.fsck.k9.mail.transport.smtp to: com.fsck.k9.mail; from: com.fsck.k9.mail.transport.smtp to: com.fsck.k9.mail.helpers; from: com.fsck.k9.mail.transport.smtp to: com.fsck.k9.mail.filter; from: com.fsck.k9.mail.internet to: com.fsck.k9.mail; from: com.fsck.k9.mail.internet to: com.fsck.k9.mailstore; from: com.fsck.k9.mail.internet to: com.fsck.k9.mail.filter; from: com.fsck.k9.mail.helpers to: com.fsck.k9.mail; from: com.fsck.k9.mail.store.imap to: com.fsck.k9.mail.ssl; from: com.fsck.k9.mail.store.imap to: com.fsck.k9.mail.oauth; from: com.fsck.k9.mail.store.imap to: com.fsck.k9.mail.store.imap.mockserver; from: com.fsck.k9.mail.store.imap to: com.fsck.k9.mail; from: com.fsck.k9.mail.store.imap to: com.fsck.k9.mail.helpers; from: com.fsck.k9.mail.store.imap to: com.fsck.k9.mail.store; from: com.fsck.k9.mail.store.imap to: com.fsck.k9.mail.internet; from: com.fsck.k9.mail.store.imap to: com.fsck.k9.mail.filter; from: com.fsck.k9.mail.store.imap to: com.fsck.k9.mail.power; from: com.fsck.k9.mail.store.imap.mockserver to: com.fsck.k9.mail.helpers; from: com.fsck.k9.mail.store.pop3 to: com.fsck.k9.mail.store; from: com.fsck.k9.mail.store.pop3 to: com.fsck.k9.mail.ssl; from: com.fsck.k9.mail.store.pop3 to: com.fsck.k9.mail; from: com.fsck.k9.mail.store.webdav to: com.fsck.k9.mail; from: com.fsck.k9.mail.store.webdav to: com.fsck.k9.mail.store; from: com.fsck.k9.mail.store.webdav to: com.fsck.k9.mail.internet; from: com.fsck.k9.mail.store.webdav to: com.fsck.k9.mail.filter; from: com.fsck.k9.mail.store.webdav to: com.fsck.k9.mail.ssl; from: com.fsck.k9.mail.power to: com.fsck.k9.mail; from: com.fsck.k9.mail.oauth to: com.fsck.k9.mail.filter; from: com.fsck.k9.mail.oauth to: com.fsck.k9.mail; from: com.fsck.k9.mail.transport to: com.fsck.k9.mail.store.webdav; from: com.fsck.k9.mail.transport to: com.fsck.k9.mail.store; from: com.fsck.k9.mail.transport to: com.fsck.k9.mail; from: com.fsck.k9.mail.message to: com.fsck.k9.mail; from: com.fsck.k9.mail.store to: com.fsck.k9.mail; from: com.fsck.k9.mail.store to: com.fsck.k9.mail.ssl; from: com.fsck.k9.mail.store to: com.fsck.k9.mail.oauth; from: com.fsck.k9.mail.store to: com.fsck.k9.mail.store.imap; from: com.fsck.k9.mail.store to: com.fsck.k9.mail.store.pop3; from: com.fsck.k9.mail.store to: com.fsck.k9.mail.store.webdav; from: com.fsck.k9.mailstore to: com.fsck.k9; from: com.fsck.k9.mailstore to: com.fsck.k9.mail.internet; from: com.fsck.k9.mailstore to: com.fsck.k9.mail; from: com.fsck.k9.mailstore to: com.fsck.k9.message.extractors; from: com.fsck.k9.mailstore to: com.fsck.k9.message.html; from: com.fsck.k9.mailstore to: com.fsck.k9.ui.crypto; from: com.fsck.k9.mailstore to: com.fsck.k9.activity; from: com.fsck.k9.mailstore to: com.fsck.k9.mailstore.util; from: com.fsck.k9.mailstore to: org.openintents.openpgp.util; from: com.fsck.k9.mailstore to: org.openintents.openpgp; from: com.fsck.k9.mailstore to: com.fsck.k9.mail.message; from: com.fsck.k9.mailstore to: com.fsck.k9.mailstore.migrations; from: com.fsck.k9.mailstore to: com.fsck.k9.controller; from: com.fsck.k9.mailstore to: com.fsck.k9.search; from: com.fsck.k9.mailstore to: com.fsck.k9.provider; from: com.fsck.k9.mailstore to: com.fsck.k9.helper; from: com.fsck.k9.mailstore to: com.fsck.k9.crypto; from: com.fsck.k9.mailstore to: com.fsck.k9.preferences; from: com.fsck.k9.mailstore to: com.fsck.k9.mail.filter; from: org.openintents.openpgp to: org.openintents.openpgp.util; from: org.openintents.openpgp.util to: org.openintents.openpgp; from: com.fsck.k9.provider to: com.fsck.k9.mail.internet; from: com.fsck.k9.provider to: com.fsck.k9; from: com.fsck.k9.provider to: com.fsck.k9.mail; from: com.fsck.k9.provider to: com.fsck.k9.helper; from: com.fsck.k9.provider to: com.fsck.k9.activity; from: com.fsck.k9.provider to: com.fsck.k9.mailstore; from: com.fsck.k9.provider to: com.fsck.k9.search; from: com.fsck.k9.provider to: org.openintents.openpgp.util; from: com.fsck.k9.provider to: com.fsck.k9.mail.filter; from: com.fsck.k9.provider to: com.fsck.k9.controller; from: com.fsck.k9.helper to: com.fsck.k9.mail; from: com.fsck.k9.helper to: com.fsck.k9.power; from: com.fsck.k9.helper to: com.fsck.k9; from: com.fsck.k9.helper to: com.fsck.k9.mail.internet; from: com.fsck.k9.helper to: com.fsck.k9.activity; from: com.fsck.k9.helper to: com.fsck.k9.mailstore; from: com.fsck.k9.helper to: com.fsck.k9.controller; from: com.fsck.k9.helper to: com.fsck.k9.search; from: com.fsck.k9.helper to: com.fsck.k9.ui; from: com.fsck.k9 to: com.fsck.k9.preferences; from: com.fsck.k9 to: com.fsck.k9.mail.store; from: com.fsck.k9 to: com.fsck.k9.mailstore; from: com.fsck.k9 to: com.fsck.k9.power; from: com.fsck.k9 to: com.fsck.k9.service; from: com.fsck.k9 to: com.fsck.k9.mail; from: com.fsck.k9 to: com.fsck.k9.mail.internet; from: com.fsck.k9 to: com.fsck.k9.mail.ssl; from: com.fsck.k9 to: com.fsck.k9.controller; from: com.fsck.k9 to: com.fsck.k9.provider; from: com.fsck.k9 to: com.fsck.k9.widget.list; from: com.fsck.k9 to: com.fsck.k9.view; from: com.fsck.k9 to: com.fsck.k9.search; from: com.fsck.k9 to: com.larswerkman.colorpicker; from: com.fsck.k9 to: com.fsck.k9.mail.filter; from: com.fsck.k9 to: com.fsck.k9.helper; from: com.fsck.k9.ui.crypto to: org.openintents.openpgp.util; from: com.fsck.k9.ui.crypto to: com.fsck.k9.autocrypt; from: com.fsck.k9.ui.crypto to: com.fsck.k9.mail.internet; from: com.fsck.k9.ui.crypto to: com.fsck.k9.mail; from: com.fsck.k9.ui.crypto to: org.openintents.openpgp; from: com.fsck.k9.ui.crypto to: com.fsck.k9.mailstore; from: com.fsck.k9.ui.crypto to: com.fsck.k9; from: com.fsck.k9.ui.crypto to: com.fsck.k9.mailstore.util; from: com.fsck.k9.ui.crypto to: com.fsck.k9.crypto; from: com.fsck.k9.ui.crypto to: com.fsck.k9.provider; from: com.fsck.k9.crypto to: com.fsck.k9; from: com.fsck.k9.crypto to: com.fsck.k9.ui.crypto; from: com.fsck.k9.crypto to: com.fsck.k9.mail; from: com.fsck.k9.crypto to: com.fsck.k9.mail.internet; from: com.fsck.k9.crypto to: com.fsck.k9.mailstore; from: com.fsck.k9.preferences to: com.fsck.k9; from: com.fsck.k9.preferences to: com.fsck.k9.mail; from: com.fsck.k9.preferences to: com.fsck.k9.mail.filter; from: com.fsck.k9.preferences to: com.fsck.k9.helper; from: com.fsck.k9.preferences to: com.fsck.k9.mail.store; from: com.fsck.k9.autocrypt to: com.fsck.k9.mail.internet; from: com.fsck.k9.autocrypt to: com.fsck.k9.mail; from: com.fsck.k9.autocrypt to: org.openintents.openpgp.util; from: com.fsck.k9.autocrypt to: org.openintents.openpgp; from: com.fsck.k9.cache to: com.fsck.k9.mailstore; from: com.fsck.k9.cache to: com.fsck.k9.provider; from: com.fsck.k9.cache to: com.fsck.k9.helper; from: com.fsck.k9.notification to: com.fsck.k9; from: com.fsck.k9.notification to: com.fsck.k9.mailstore; from: com.fsck.k9.notification to: com.fsck.k9.activity; from: com.fsck.k9.notification to: com.fsck.k9.mail; from: com.fsck.k9.notification to: com.fsck.k9.controller; from: com.fsck.k9.notification to: com.fsck.k9.activity.setup; from: com.fsck.k9.notification to: com.fsck.k9.search; from: com.fsck.k9.notification to: com.fsck.k9.activity.compose; from: com.fsck.k9.notification to: com.fsck.k9.helper; from: com.fsck.k9.activity.misc to: com.fsck.k9.mail; from: com.fsck.k9.activity.misc to: com.fsck.k9.helper; from: com.fsck.k9.activity to: com.fsck.k9.mail; from: com.fsck.k9.activity to: com.fsck.k9; from: com.fsck.k9.activity to: com.fsck.k9.search; from: com.fsck.k9.activity to: com.fsck.k9.ui.compose; from: com.fsck.k9.activity to: com.fsck.k9.activity.compose; from: com.fsck.k9.activity to: com.fsck.k9.helper; from: com.fsck.k9.activity to: com.fsck.k9.message; from: com.fsck.k9.activity to: com.fsck.k9.ui; from: com.fsck.k9.activity to: com.fsck.k9.controller; from: com.fsck.k9.activity to: com.fsck.k9.fragment; from: com.fsck.k9.activity to: com.fsck.k9.mailstore; from: com.fsck.k9.activity to: com.fsck.k9.mail.internet; from: com.fsck.k9.activity to: com.fsck.k9.activity.misc; from: com.fsck.k9.activity to: org.openintents.openpgp.util; from: com.fsck.k9.activity to: com.fsck.k9.mail.filter; from: com.fsck.k9.activity to: com.fsck.k9.ui.crypto; from: com.fsck.k9.activity to: org.openintents.openpgp; from: com.fsck.k9.activity to: com.fsck.k9.ui.message; from: com.fsck.k9.activity to: com.fsck.k9.autocrypt; from: com.fsck.k9.activity to: com.fsck.k9.view; from: com.fsck.k9.activity to: com.fsck.k9.activity.setup; from: com.fsck.k9.activity to: com.fsck.k9.preferences; from: com.fsck.k9.activity to: com.fsck.k9.service; from: com.fsck.k9.activity to: com.fsck.k9.mail.power; from: com.fsck.k9.activity to: com.larswerkman.colorpicker; from: com.fsck.k9.activity to: com.fsck.k9.notification; from: com.fsck.k9.activity to: com.fsck.k9.provider; from: com.fsck.k9.activity to: com.fsck.k9.ui.messageview; from: com.fsck.k9.activity.compose to: com.fsck.k9.mail; from: com.fsck.k9.activity.compose to: com.fsck.k9.helper; from: com.fsck.k9.activity.compose to: com.fsck.k9.message; from: com.fsck.k9.activity.compose to: com.fsck.k9; from: com.fsck.k9.activity.compose to: org.openintents.openpgp.util; from: com.fsck.k9.activity.compose to: com.fsck.k9.activity; from: com.fsck.k9.activity.compose to: com.fsck.k9.view; from: com.fsck.k9.activity.compose to: com.fsck.k9.controller; from: com.fsck.k9.activity.compose to: com.fsck.k9.mailstore; from: com.fsck.k9.activity.compose to: com.fsck.k9.activity.misc; from: com.fsck.k9.activity.compose to: com.fsck.k9.provider; from: com.fsck.k9.activity.compose to: org.openintents.openpgp; from: com.fsck.k9.message to: com.fsck.k9.mail; from: com.fsck.k9.message to: com.fsck.k9.mail.internet; from: com.fsck.k9.message to: com.fsck.k9.activity.misc; from: com.fsck.k9.message to: com.fsck.k9; from: com.fsck.k9.message to: com.fsck.k9.mailstore; from: com.fsck.k9.message to: org.openintents.openpgp.util; from: com.fsck.k9.message to: com.fsck.k9.autocrypt; from: com.fsck.k9.message to: com.fsck.k9.activity.compose; from: com.fsck.k9.message to: org.openintents.openpgp; from: com.fsck.k9.message to: com.fsck.k9.message.quote; from: com.fsck.k9.message to: com.fsck.k9.mail.filter; from: com.fsck.k9.message to: com.fsck.k9.activity; from: com.fsck.k9.message to: com.fsck.k9.crypto; from: com.fsck.k9.message to: com.fsck.k9.message.html; from: com.fsck.k9.message.signature to: com.fsck.k9.helper.jsoup; from: com.fsck.k9.message.signature to: com.fsck.k9.message.html; from: com.fsck.k9.message.html to: com.fsck.k9; from: com.fsck.k9.message.extractors to: com.fsck.k9.mail; from: com.fsck.k9.message.extractors to: com.fsck.k9.mailstore; from: com.fsck.k9.message.extractors to: com.fsck.k9.mail.internet; from: com.fsck.k9.message.extractors to: com.fsck.k9.provider; from: com.fsck.k9.message.extractors to: com.fsck.k9.message.html; from: com.fsck.k9.message.extractors to: com.fsck.k9; from: com.fsck.k9.message.extractors to: com.fsck.k9.crypto; from: com.fsck.k9.message.extractors to: com.fsck.k9.message; from: com.fsck.k9.controller to: com.fsck.k9.mail; from: com.fsck.k9.controller to: com.fsck.k9.helper; from: com.fsck.k9.controller to: com.fsck.k9; from: com.fsck.k9.controller to: com.fsck.k9.search; from: com.fsck.k9.controller to: com.fsck.k9.mailstore; from: com.fsck.k9.controller to: com.fsck.k9.notification; from: com.fsck.k9.controller to: com.fsck.k9.controller.imap; from: com.fsck.k9.controller to: com.fsck.k9.cache; from: com.fsck.k9.controller to: com.fsck.k9.activity; from: com.fsck.k9.controller to: com.fsck.k9.mail.power; from: com.fsck.k9.controller to: com.fsck.k9.provider; from: com.fsck.k9.controller to: com.fsck.k9.mail.internet; from: com.fsck.k9.controller to: com.fsck.k9.service; from: com.fsck.k9.controller.imap to: com.fsck.k9.controller; from: com.fsck.k9.controller.imap to: com.fsck.k9; from: com.fsck.k9.controller.imap to: com.fsck.k9.mailstore; from: com.fsck.k9.controller.imap to: com.fsck.k9.mail; from: com.fsck.k9.controller.imap to: com.fsck.k9.notification; from: com.fsck.k9.controller.imap to: com.fsck.k9.activity; from: com.fsck.k9.controller.imap to: com.fsck.k9.mail.internet; from: com.fsck.k9.mailstore.migrations to: com.fsck.k9.mail; from: com.fsck.k9.mailstore.migrations to: com.fsck.k9.mailstore; from: com.fsck.k9.mailstore.migrations to: com.fsck.k9.message.extractors; from: com.fsck.k9.mailstore.migrations to: com.fsck.k9; from: com.fsck.k9.mailstore.migrations to: com.fsck.k9.preferences; from: com.fsck.k9.mailstore.migrations to: com.fsck.k9.helper; from: com.fsck.k9.mailstore.migrations to: com.fsck.k9.controller; from: com.fsck.k9.mailstore.migrations to: com.fsck.k9.mail.internet; from: com.fsck.k9.account to: com.fsck.k9.mail; from: com.fsck.k9.power to: com.fsck.k9.service; from: com.fsck.k9.ui.messageview to: com.fsck.k9.mailstore; from: com.fsck.k9.ui.messageview to: com.fsck.k9; from: com.fsck.k9.ui.messageview to: com.fsck.k9.view; from: com.fsck.k9.ui.messageview to: com.fsck.k9.helper; from: com.fsck.k9.ui.messageview to: com.fsck.k9.message.html; from: com.fsck.k9.ui.messageview to: org.openintents.openpgp; from: com.fsck.k9.ui.messageview to: com.fsck.k9.mail; from: com.fsck.k9.ui.messageview to: com.fsck.k9.activity; from: com.fsck.k9.ui.messageview to: com.fsck.k9.controller; from: com.fsck.k9.ui.messageview to: com.fsck.k9.fragment; from: com.fsck.k9.ui.messageview to: com.fsck.k9.mail.internet; from: com.fsck.k9.ui.messageview to: com.fsck.k9.provider; from: com.fsck.k9.ui.messageview to: com.fsck.k9.cache; from: com.fsck.k9.ui.compose to: com.fsck.k9.activity; from: com.fsck.k9.ui.compose to: com.fsck.k9.message; from: com.fsck.k9.ui.compose to: com.fsck.k9.message.quote; from: com.fsck.k9.ui.compose to: com.fsck.k9; from: com.fsck.k9.ui.compose to: com.fsck.k9.mailstore; from: com.fsck.k9.ui.compose to: com.fsck.k9.mail; from: com.fsck.k9.ui.compose to: com.fsck.k9.mail.internet; from: com.fsck.k9.ui.compose to: com.fsck.k9.message.extractors; from: com.fsck.k9.ui.compose to: com.fsck.k9.message.signature; from: com.fsck.k9.ui.compose to: com.fsck.k9.message.html; from: com.fsck.k9.ui.compose to: com.fsck.k9.ui; from: com.fsck.k9.ui.compose to: com.fsck.k9.view; from: com.fsck.k9.ui.message to: com.fsck.k9.mailstore; from: com.fsck.k9.ui.message to: com.fsck.k9.mail; from: com.fsck.k9.ui.message to: com.fsck.k9.ui.crypto; from: com.fsck.k9.ui.message to: com.fsck.k9.controller; from: com.fsck.k9.ui.message to: com.fsck.k9; from: com.fsck.k9.ui.message to: com.fsck.k9.activity; from: com.fsck.k9.widget.list to: com.fsck.k9.activity; from: com.fsck.k9.widget.list to: com.fsck.k9.provider; from: com.fsck.k9.widget.list to: com.fsck.k9; from: com.fsck.k9.activity.setup to: com.fsck.k9.mail; from: com.fsck.k9.activity.setup to: com.fsck.k9.message.html; from: com.fsck.k9.activity.setup to: com.fsck.k9.activity; from: com.fsck.k9.activity.setup to: com.fsck.k9; from: com.fsck.k9.activity.setup to: com.fsck.k9.view; from: com.fsck.k9.activity.setup to: com.fsck.k9.helper; from: com.fsck.k9.activity.setup to: com.fsck.k9.account; from: com.fsck.k9.activity.setup to: com.fsck.k9.mail.store.imap; from: com.fsck.k9.activity.setup to: com.fsck.k9.mail.store.webdav; from: com.fsck.k9.activity.setup to: com.fsck.k9.mail.store; from: com.fsck.k9.activity.setup to: com.fsck.k9.service; from: com.fsck.k9.activity.setup to: com.fsck.k9.mail.filter; from: com.fsck.k9.activity.setup to: com.fsck.k9.fragment; from: com.fsck.k9.activity.setup to: com.fsck.k9.setup; from: com.fsck.k9.activity.setup to: com.fsck.k9.preferences; from: com.fsck.k9.activity.setup to: org.openintents.openpgp.util; from: com.fsck.k9.activity.setup to: com.fsck.k9.mailstore; from: com.fsck.k9.activity.setup to: com.fsck.k9.crypto; from: com.fsck.k9.activity.setup to: com.fsck.k9.notification; from: com.fsck.k9.activity.loader to: com.fsck.k9.activity.misc; from: com.fsck.k9.activity.loader to: com.fsck.k9.mail.internet; from: com.fsck.k9.message.quote to: com.fsck.k9.mail; from: com.fsck.k9.message.quote to: com.fsck.k9.helper; from: com.fsck.k9.message.quote to: com.fsck.k9.message.html; from: com.fsck.k9.message.quote to: com.fsck.k9; from: com.fsck.k9.search to: com.fsck.k9; from: com.fsck.k9.search to: com.fsck.k9.mailstore; from: com.fsck.k9.search to: com.fsck.k9.mail; from: com.fsck.k9.fragment to: com.fsck.k9.activity; from: com.fsck.k9.fragment to: com.fsck.k9; from: com.fsck.k9.fragment to: com.fsck.k9.ui; from: com.fsck.k9.fragment to: com.fsck.k9.mail; from: com.fsck.k9.fragment to: com.fsck.k9.mailstore; from: com.fsck.k9.fragment to: com.fsck.k9.helper; from: com.fsck.k9.fragment to: com.fsck.k9.controller; from: com.fsck.k9.fragment to: com.fsck.k9.search; from: com.fsck.k9.fragment to: com.fsck.k9.activity.misc; from: com.fsck.k9.fragment to: com.fsck.k9.preferences; from: com.fsck.k9.fragment to: com.fsck.k9.cache; from: com.fsck.k9.fragment to: com.fsck.k9.provider; from: com.fsck.k9.view to: com.fsck.k9; from: com.fsck.k9.view to: org.openintents.openpgp; from: com.fsck.k9.view to: com.fsck.k9.activity.compose; from: com.fsck.k9.view to: com.fsck.k9.activity; from: com.fsck.k9.view to: com.fsck.k9.mail; from: com.fsck.k9.view to: com.fsck.k9.mailstore; from: com.fsck.k9.view to: com.fsck.k9.helper; from: com.fsck.k9.view to: com.fsck.k9.activity.misc; from: com.fsck.k9.view to: com.fsck.k9.ui; from: com.fsck.k9.view to: com.fsck.k9.ui.messageview; from: com.fsck.k9.view to: com.fsck.k9.mail.internet; from: com.fsck.k9.service to: com.fsck.k9.controller; from: com.fsck.k9.service to: com.fsck.k9.mail.power; from: com.fsck.k9.service to: com.fsck.k9; from: com.fsck.k9.service to: com.fsck.k9.mailstore; from: com.fsck.k9.service to: com.fsck.k9.preferences; from: com.fsck.k9.service to: com.fsck.k9.helper; from: com.fsck.k9.service to: com.fsck.k9.remotecontrol.
k-9-5.600,com.fsck.k9.mail,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 46
k-9-5.600,com.fsck.k9.mail,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.fsck.k9.mail.internet; com.fsck.k9.mail.store; com.fsck.k9.mail.oauth; com.fsck.k9.mail.store.webdav
k-9-5.600,com.fsck.k9.mail,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ReconstructMessageTest; MessagingException; CertificateValidationException; Body; DefaultBodyFactory; Part; Transport; TransportProvider; Authentication; AuthenticationFailedException; Store; Folder; Multipart; BodyFactory; PgpMimeMessageTest; BodyPart; Message; Flag; MessageRetrievalListener; PushReceiver; FetchProfile; Pusher; Address_quoteAtoms; Address; AddressTest]; [XOAuth2ChallengeParserTest]; [K9LibRobolectricTestRunner]; [BoundaryGeneratorTest; BoundaryGenerator]; [TransportUrisTest; ServerSettings; AuthType; TransportUris; ConnectionSecurity]; [Message.RecipientType]; [ServerSettings.Type]; [NetworkType]; [CertificateValidationException.Reason]; [FetchProfile.Item]; [CertificateChainException]; [K9MailLib]; [K9MailLib.DebugStatus]; [K9MailLib.WritableDebugStatus]; [K9MailLib.DefaultDebugStatus]; [Folder.FolderClass]; [Folder.FolderType]. LCC (Lack of Component Cohesion) = 0.37
k-9-5.600,com.fsck.k9.mail,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.fsck.k9.mail; com.fsck.k9.mail.internet; com.fsck.k9.mail
k-9-5.600,com.fsck.k9.mail,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.fsck.k9.mail; com.fsck.k9.mail.store; com.fsck.k9.mail
k-9-5.600,com.fsck.k9.mail,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.fsck.k9.mail; com.fsck.k9.mail.oauth; com.fsck.k9.mail
k-9-5.600,com.fsck.k9.mail,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.fsck.k9.mail; com.fsck.k9.mail.store.webdav; com.fsck.k9.mail
k-9-5.600,com.fsck.k9.mail,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.fsck.k9.mail; com.fsck.k9.mail.internet; com.fsck.k9.mailstore; com.fsck.k9.mail.message; com.fsck.k9.mail
