Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MATCHING_HOST; NOT_MATCHING_HOST; PORT1; PORT2; K9_EXAMPLE_COM_CERT1; K9_EXAMPLE_COM_CERT2; CA_CERT; CERT3; LINUX_COM_FIRST_PARENT_CERT; LINUX_COM_CERT; mKeyStoreFile; mKeyStore; mCert1; mCert2; mCaCert; mCert3; mLinuxComFirstParentCert; mLinuxComCert
k-9-5.600,com.fsck.k9.mail.ssl,LocalKeyStore.LocalKeyStoreHolder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: INSTANCE
k-9-5.600,com.fsck.k9.mail.ssl,LocalKeyStore.LocalKeyStoreHolder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
k-9-5.600,com.fsck.k9.mail.ssl,KeyChainKeyManager,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactory.SecureX509TrustManager,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mTrustManager; mHost; mPort
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactory.SecureX509TrustManager,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
k-9-5.600,com.fsck.k9.mail,XOAuth2ChallengeParserTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: STATUS_400_RESPONSE; STATUS_401_RESPONSE; MISSING_STATUS_RESPONSE; INVALID_RESPONSE
k-9-5.600,com.fsck.k9.mail,XOAuth2ChallengeParserTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: STATUS_400_RESPONSE; STATUS_401_RESPONSE; MISSING_STATUS_RESPONSE; INVALID_RESPONSE
k-9-5.600,com.fsck.k9.mail,K9LibRobolectricTestRunner,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
k-9-5.600,com.fsck.k9.mail,BodyPart,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: EncoderUtil; CharsetSupport; MimeHeader; MimeUtility; Multipart; BodyPart; DecoderUtil
