Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,TrustManagerFactoryTest,8,1,0,195,0,,
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,loadCert,4,1,1,204,0,,
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,setUp,5,1,0,210,0,,
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,tearDown,5,2,0,218,0,,
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,testDifferentCertificatesOnSameServer,8,1,0,225,1,,
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,testSelfSignedCertificateMatchingHost,5,1,0,248,1,,
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,testSelfSignedCertificateNotMatchingHost,5,1,0,255,1,,
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,testWrongCertificate,5,1,0,262,1,,
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,testCertificateOfOtherHost,6,1,0,269,1,,
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,testUntrustedCertificateChain,4,1,0,278,1,,
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,testLocallyTrustedCertificateChain,5,1,0,284,1,,
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,testLocallyTrustedCertificateChainNotMatchingHost,5,1,0,292,1,,
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,testGloballyTrustedCertificateChain,5,1,0,300,1,,
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,testGloballyTrustedCertificateNotMatchingHost,4,1,0,307,1,,
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,testGloballyTrustedCertificateNotMatchingHostOverride,6,1,0,313,1,,
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,assertCertificateRejection,11,1,2,322,0,,
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,testKeyStoreLoading,15,2,0,334,1,,
k-9-5.600,com.fsck.k9.mail.ssl,TrustedSocketFactory,createSocket,0,1,4,11,0,,
k-9-5.600,com.fsck.k9.mail.ssl,LocalKeyStore,setKeyStoreLocation,3,1,1,23,0,,
k-9-5.600,com.fsck.k9.mail.ssl,LocalKeyStore,getInstance,3,1,0,31,0,,
k-9-5.600,com.fsck.k9.mail.ssl,LocalKeyStore,LocalKeyStore,9,1,0,40,0,com.fsck.k9.mail.ssl.LocalKeyStore,com.fsck.k9.mail.ssl.LocalKeyStore
k-9-5.600,com.fsck.k9.mail.ssl,LocalKeyStore,setKeyStoreFile,30,4,1,55,0,com.fsck.k9.mail.ssl.LocalKeyStore,com.fsck.k9.mail.ssl.LocalKeyStore
k-9-5.600,com.fsck.k9.mail.ssl,LocalKeyStore,addCertificate,12,2,3,104,0,com.fsck.k9.mail.ssl.LocalKeyStore,com.fsck.k9.mail.ssl.LocalKeyStore
k-9-5.600,com.fsck.k9.mail.ssl,LocalKeyStore,writeCertificateFile,25,1,0,119,0,,
k-9-5.600,com.fsck.k9.mail.ssl,LocalKeyStore,isValidCertificate,13,2,3,144,0,com.fsck.k9.mail.ssl.LocalKeyStore,com.fsck.k9.mail.ssl.LocalKeyStore
k-9-5.600,com.fsck.k9.mail.ssl,LocalKeyStore,getCertKey,3,1,2,158,0,,
k-9-5.600,com.fsck.k9.mail.ssl,LocalKeyStore,deleteCertificate,14,2,2,162,0,com.fsck.k9.mail.ssl.LocalKeyStore,com.fsck.k9.mail.ssl.LocalKeyStore
k-9-5.600,com.fsck.k9.mail.ssl,LocalKeyStore,upgradeKeyStoreFile,8,3,0,176,0,com.fsck.k9.mail.ssl.LocalKeyStore,com.fsck.k9.mail.ssl.LocalKeyStore
k-9-5.600,com.fsck.k9.mail.ssl,LocalKeyStore,getKeyStoreFilePath,11,3,1,186,0,,
k-9-5.600,com.fsck.k9.mail.ssl,KeyChainKeyManager,savePrivateKeyReference,5,2,1,38,0,,
k-9-5.600,com.fsck.k9.mail.ssl,KeyChainKeyManager,KeyChainKeyManager,13,1,2,50,0,com.fsck.k9.mail.ssl.KeyChainKeyManager,com.fsck.k9.mail.ssl.KeyChainKeyManager
k-9-5.600,com.fsck.k9.mail.ssl,KeyChainKeyManager,fetchCertificateChain,15,3,2,70,0,,
k-9-5.600,com.fsck.k9.mail.ssl,KeyChainKeyManager,fetchPrivateKey,10,3,2,88,0,com.fsck.k9.mail.ssl.KeyChainKeyManager,com.fsck.k9.mail.ssl.KeyChainKeyManager
k-9-5.600,com.fsck.k9.mail.ssl,KeyChainKeyManager,chooseClientAlias,3,1,3,109,0,com.fsck.k9.mail.ssl.KeyChainKeyManager,com.fsck.k9.mail.ssl.KeyChainKeyManager
k-9-5.600,com.fsck.k9.mail.ssl,KeyChainKeyManager,getCertificateChain,3,1,1,114,0,,
k-9-5.600,com.fsck.k9.mail.ssl,KeyChainKeyManager,getPrivateKey,3,1,1,119,0,,
k-9-5.600,com.fsck.k9.mail.ssl,KeyChainKeyManager,chooseServerAlias,3,1,3,124,0,com.fsck.k9.mail.ssl.KeyChainKeyManager,com.fsck.k9.mail.ssl.KeyChainKeyManager
k-9-5.600,com.fsck.k9.mail.ssl,KeyChainKeyManager,getClientAliases,4,1,2,129,0,com.fsck.k9.mail.ssl.KeyChainKeyManager,com.fsck.k9.mail.ssl.KeyChainKeyManager
k-9-5.600,com.fsck.k9.mail.ssl,KeyChainKeyManager,getServerAliases,4,1,2,135,0,com.fsck.k9.mail.ssl.KeyChainKeyManager,com.fsck.k9.mail.ssl.KeyChainKeyManager
k-9-5.600,com.fsck.k9.mail.ssl,KeyChainKeyManager,chooseEngineClientAlias,3,1,3,141,0,com.fsck.k9.mail.ssl.KeyChainKeyManager,com.fsck.k9.mail.ssl.KeyChainKeyManager
k-9-5.600,com.fsck.k9.mail.ssl,KeyChainKeyManager,chooseEngineServerAlias,3,1,3,146,0,com.fsck.k9.mail.ssl.KeyChainKeyManager,com.fsck.k9.mail.ssl.KeyChainKeyManager
k-9-5.600,com.fsck.k9.mail.ssl,KeyChainKeyManager,chooseAlias,42,10,2,151,0,,
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactory,TrustManagerFactory,2,1,0,114,0,,
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactory,get,3,1,2,117,0,,
k-9-5.600,com.fsck.k9.mail.ssl,DefaultTrustedSocketFactory,DefaultTrustedSocketFactory,3,1,1,131,0,,
k-9-5.600,com.fsck.k9.mail.ssl,DefaultTrustedSocketFactory,hasWeakSslImplementation,3,1,0,135,0,,
k-9-5.600,com.fsck.k9.mail.ssl,DefaultTrustedSocketFactory,reorder,17,5,3,139,0,,
k-9-5.600,com.fsck.k9.mail.ssl,DefaultTrustedSocketFactory,remove,10,3,2,165,0,,
k-9-5.600,com.fsck.k9.mail.ssl,DefaultTrustedSocketFactory,createSocket,21,3,4,181,0,com.fsck.k9.mail.ssl.DefaultTrustedSocketFactory,com.fsck.k9.mail.ssl.DefaultTrustedSocketFactory
k-9-5.600,com.fsck.k9.mail.ssl,DefaultTrustedSocketFactory,hardenSocket,8,3,1,209,0,,
k-9-5.600,com.fsck.k9.mail.ssl,DefaultTrustedSocketFactory,setSniHost,9,2,3,218,0,com.fsck.k9.mail.ssl.DefaultTrustedSocketFactory,com.fsck.k9.mail.ssl.DefaultTrustedSocketFactory
k-9-5.600,com.fsck.k9.mail.ssl,DefaultTrustedSocketFactory,setHostnameViaReflection,8,1,2,228,0,,
k-9-5.600,com.fsck.k9.mail,ReconstructMessageTest,testMessage,21,1,0,23,1,,
k-9-5.600,com.fsck.k9.mail,PgpMimeMessageTest,testSignedMessage,22,1,0,159,1,,
k-9-5.600,com.fsck.k9.mail,PgpMimeMessageTest,verifySignature,28,3,2,244,0,,
k-9-5.600,com.fsck.k9.mail,K9LibRobolectricTestRunner,K9LibRobolectricTestRunner,3,1,1,9,0,,
k-9-5.600,com.fsck.k9.mail,K9LibRobolectricTestRunner,buildGlobalConfig,3,1,0,13,0,,
k-9-5.600,com.fsck.k9.mail,Address_quoteAtoms,testNoQuote,33,1,0,12,1,,
k-9-5.600,com.fsck.k9.mail,Address_quoteAtoms,testQuote,4,1,0,56,1,,
k-9-5.600,com.fsck.k9.mail,Address_quoteAtoms,noQuote,3,1,1,62,0,,
k-9-5.600,com.fsck.k9.mail,Address_quoteAtoms,quote,3,1,1,66,0,,
k-9-5.600,com.fsck.k9.mail,AddressTest,parse_withMissingEmail__shouldSetPersonal,6,1,0,15,1,,
k-9-5.600,com.fsck.k9.mail,AddressTest,parse_withValidEmailAndPersonal_shouldSetBoth,6,1,0,29,1,,
k-9-5.600,com.fsck.k9.mail,AddressTest,parse_withUnusualEmails_shouldSetAddress,8,2,0,41,1,,
k-9-5.600,com.fsck.k9.mail,AddressTest,parse_withEncodedPersonal_shouldDecode,5,1,0,74,1,,
k-9-5.600,com.fsck.k9.mail,AddressTest,parse_withQuotedEncodedPersonal_shouldDecode,5,1,0,84,1,,
k-9-5.600,com.fsck.k9.mail,AddressTest,parse_withMultipleEmails_shouldDecodeBoth,8,1,0,94,1,,
k-9-5.600,com.fsck.k9.mail,AddressTest,stringQuotationShouldCorrectlyQuote,8,1,0,107,1,,
k-9-5.600,com.fsck.k9.mail,AddressTest,hashCode_withoutAddress,5,1,0,117,1,,
k-9-5.600,com.fsck.k9.mail,AddressTest,hashCode_withoutPersonal,5,1,0,125,1,,
k-9-5.600,com.fsck.k9.mail,AddressTest,equals_withoutAddress_matchesSame,7,1,0,133,1,,
k-9-5.600,com.fsck.k9.mail,AddressTest,equals_withoutAddress_doesNotMatchWithAddress,6,1,0,144,1,,
