Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,TrustManagerFactoryTest,Constructor initialization,The tool detected the smell in this class because the class uses its constructor to initialize fields rather than test setup method.
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,testDifferentCertificatesOnSameServer,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,testSelfSignedCertificateMatchingHost,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,testSelfSignedCertificateNotMatchingHost,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,testWrongCertificate,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,testCertificateOfOtherHost,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,testUntrustedCertificateChain,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,testLocallyTrustedCertificateChain,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,testLocallyTrustedCertificateChainNotMatchingHost,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,testGloballyTrustedCertificateChain,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,testGloballyTrustedCertificateNotMatchingHost,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,testGloballyTrustedCertificateNotMatchingHostOverride,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,testKeyStoreLoading,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,testKeyStoreLoading,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
k-9-5.600,com.fsck.k9.mail,Address_quoteAtoms,testNoQuote,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
k-9-5.600,com.fsck.k9.mail,Address_quoteAtoms,testQuote,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
