Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactoryTest,18,4,17,15,133,19,0,0,0.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/k-9-5.600/k9mail-library/src/androidTest/java/com/fsck/k9/mail/ssl/TrustManagerFactoryTest.java,22
k-9-5.600,com.fsck.k9.mail.ssl,TrustedSocketFactory,0,0,1,0,3,1,1,0,-1.0,9,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/k-9-5.600/k9mail-library/src/main/java/com/fsck/k9/mail/ssl/TrustedSocketFactory.java,10
k-9-5.600,com.fsck.k9.mail.ssl,LocalKeyStore,5,0,11,6,145,21,0,0,0.18181818181818182,5,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/k-9-5.600/k9mail-library/src/main/java/com/fsck/k9/mail/ssl/LocalKeyStore.java,18
k-9-5.600,com.fsck.k9.mail.ssl,LocalKeyStore.LocalKeyStoreHolder,1,0,0,0,3,0,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/k-9-5.600/k9mail-library/src/main/java/com/fsck/k9/mail/ssl/LocalKeyStore.java,27
k-9-5.600,com.fsck.k9.mail.ssl,KeyChainKeyManager,4,0,13,9,124,27,0,0,0.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/k-9-5.600/k9mail-library/src/main/java/com/fsck/k9/mail/ssl/KeyChainKeyManager.java,29
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactory,5,0,2,1,79,2,0,0,1.0,3,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/k-9-5.600/k9mail-library/src/main/java/com/fsck/k9/mail/ssl/TrustManagerFactory.java,21
k-9-5.600,com.fsck.k9.mail.ssl,TrustManagerFactory.SecureX509TrustManager,3,0,0,0,48,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/k-9-5.600/k9mail-library/src/main/java/com/fsck/k9/mail/ssl/TrustManagerFactory.java,27
k-9-5.600,com.fsck.k9.mail.ssl,DefaultTrustedSocketFactory,7,0,8,3,114,19,0,1,0.5,1,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/k-9-5.600/k9mail-library/src/main/java/com/fsck/k9/mail/ssl/DefaultTrustedSocketFactory.java,26
k-9-5.600,com.fsck.k9.mail,ReconstructMessageTest,0,0,1,1,23,1,0,0,-1.0,0,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/k-9-5.600/k9mail-library/src/androidTest/java/com/fsck/k9/mail/ReconstructMessageTest.java,20
k-9-5.600,com.fsck.k9.mail,PgpMimeMessageTest,1,0,2,1,53,4,0,0,0.0,0,6,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Mobile/k-9-5.600/k9mail-library/src/androidTest/java/com/fsck/k9/mail/PgpMimeMessageTest.java,31
